right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.856,16,6.4351,-11.3379,-16.442,0.0431,-1.3212,1.4216,91,0.707,13,6.3477,4.4805,-15.3966,-1.9001,-0.3602,-1.4054,88,6379.934,123352,3.2718,9.8423,-9.6215,-0.1167,0.0287,0.2815,60
0.908,17,6.477,-13.4726,-17.7239,0.6101,-1.6336,1.7142,91,0.759,14,3.793,4.3714,-14.3156,-1.8978,0.1919,-0.9312,88,6379.986,123353,2.8392,11.437,-10.1035,-0.1905,0.0132,0.0926,60
0.959,18,6.9566,-12.6451,-18.268,1.069,-1.8616,1.9277,91,0.811,15,0.1473,3.7566,-13.3789,-1.8861,0.7342,-0.8756,88,6380.037,123354,2.5292,13.6783,-10.8226,0.0903,-0.075,-0.0398,60
1.011,19,7.2522,-7.0297,-15.2734,0.1204,-1.6407,2.0836,91,0.863,16,-2.792,2.8336,-13.2381,-1.5502,0.8952,-0.8497,88,6380.089,123355,2.2077,15.3141,-12.3025,0.6139,-0.3176,-0.5326,60
1.063,20,7.3888,-2.7989,-12.3632,0.7445,-0.7639,2.1926,91,0.915,17,-4.4297,2.4788,-12.856,-1.3438,0.9448,-0.4856,88,6380.141,123356,2.6175,16.508,-13.0654,1.0095,-0.6361,-1.0648,60
1.115,21,6.8624,-3.0829,-11.5068,0.7601,-0.0387,1.364,91,0.966,18,-5.2526,2.5117,-12.2614,-1.1731,0.8687,0.0072,88,6380.193,123357,4.0918,17.3793,-12.1128,1.2317,-0.886,-1.4532,60
1.166,22,5.5313,-2.548,-11.6196,1.2291,0.6385,0.3431,91,1.018,19,-6.2787,2.358,-12.1946,-0.9258,0.9713,0.4415,88,6380.245,123358,5.0429,14.809,-10.7415,0.9275,-1.1977,-1.2848,60
1.218,23,4.3339,-3.3145,-12.3618,1.2018,1.1484,-0.4247,91,1.07,20,-6.6315,2.9289,-12.7495,-0.7042,1.3344,0.9522,88,6380.296,123359,3.7638,10.9105,-10.316,0.6174,-1.5202,-0.6151,60
1.27,24,4.3104,-4.9072,-13.7261,0.934,1.5206,-0.9851,91,1.122,21,-7.3683,5.702,-13.4055,-1.194,1.5565,1.3603,88,6380.348,123360,2.8031,8.0721,-10.0245,0.3863,-1.7556,-0.1265,60
1.322,25,5.008,-6.2523,-15.0151,0.8667,1.7922,-1.3941,91,1.174,22,-7.1111,6.7247,-13.0468,-1.5515,0.4705,1.6582,88,6380.4,123361,2.107,6.0049,-9.7976,0.214,-1.9273,0.2294,60
1.374,26,5.6706,-7.4072,-15.8292,0.6016,1.9905,-1.6926,91,1.225,23,-6.3194,8.2564,-10.703,-1.8124,-0.3293,1.8756,88,6380.452,123362,1.5975,4.5038,-9.6413,0.0833,-2.0506,0.4892,60
1.425,27,6.2136,-8.2659,-16.3692,-0.1788,2.1351,-1.7635,91,1.277,24,-3.1456,5.5963,-7.779,-1.9082,-0.913,1.7065,88,6380.503,123363,1.2181,3.4111,-9.5276,-0.0165,-2.1412,0.6783,60
1.477,28,6.5889,-9.2257,-17.2582,-0.4513,2.2407,-1.6679,91,1.329,25,-0.9583,5.2023,-5.8631,-0.7324,-1.1448,1.6834,88,6380.555,123364,0.9394,2.6175,-9.4384,-0.0946,-2.2069,0.816,60
1.529,29,6.3689,-9.5965,-17.5849,-0.3398,2.3178,-1.5638,91,1.381,26,0.4306,6.3916,-5.1392,0.1372,-1.208,1.6105,88,6380.607,123365,0.7351,2.0473,-9.3671,-0.1565,-2.2561,0.9156,60
1.581,30,4.8838,-10.4564,-17.5258,0.2141,2.2778,-1.2938,91,1.433,27,1.2777,7.118,-5.323,0.7718,-1.262,1.4684,88,6380.659,123366,0.5889,1.6487,-9.323,-0.2068,-2.2902,0.9875,60
