right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.78,15,-7.8517,-8.1239,-5.6744,0.1998,0.6427,1.5884,90,0.369,7,-5.7452,11.0216,-7.5447,-0.1286,-0.2776,-0.0768,90,6645.223,128481,-8.1486,-5.2704,-9.1289,0.1721,-0.0564,0.0659,60
0.831,16,-7.4707,-7.7144,-6.144,0.1584,0.5127,1.5691,90,0.421,8,-5.7851,11.9983,-6.9808,-0.432,-0.4131,-0.485,90,6645.274,128482,-7.8113,-4.9284,-9.2546,0.1387,-0.0704,0.0877,60
0.883,17,-6.8236,-7.0562,-6.3955,0.2286,0.5274,1.4356,90,0.473,9,-6.1752,11.4605,-7.3986,-0.9953,-0.1772,-1.0297,90,6645.326,128483,-8.0147,-5.1475,-9.3557,0.2677,-0.309,0.109,60
0.935,18,-5.9735,-5.3321,-6.854,0.5972,0.4747,1.1328,90,0.524,10,-5.9624,11.3554,-6.7968,-0.9495,-0.0527,-1.4379,90,6645.378,128484,-9.5962,-5.8577,-9.4084,0.3556,-0.5133,0.1377,60
0.987,19,-4.4557,-3.6226,-7.735,0.5384,0.1523,0.602,90,0.576,11,-6.4995,9.8421,-6.6843,-1.373,0.1133,-1.6144,90,6645.43,128485,-11.0655,-6.5766,-9.0555,0.2999,-0.3844,0.2078,60
1.039,20,-2.1589,-2.2429,-8.1571,0.3334,-0.3713,-0.2065,90,0.628,12,-5.8686,8.1186,-6.7274,-1.5292,0.2758,-1.4369,90,6645.482,128486,-11.7929,-6.4506,-8.5229,0.1482,-0.0564,0.2589,60
1.09,21,0.4537,-2.3104,-7.3862,0.1823,-0.9403,-0.8258,90,0.68,13,-5.1616,6.6171,-7.092,-1.7961,0.2091,-1.1792,90,6645.533,128487,-11.5951,-6.3359,-7.7792,-0.0305,0.138,0.2257,60
1.142,22,1.488,-4.9692,-8.374,0.8074,-1.3556,-1.2778,90,0.732,14,-4.3076,4.5895,-8.4425,-1.2214,0.2519,-0.9795,90,6645.585,128488,-10.7223,-6.0731,-7.7881,-0.2928,0.37,0.0268,60
1.194,23,0.5054,-6.3014,-6.3116,1.2637,-1.6587,-1.6077,90,0.783,15,-2.7206,3.1598,-9.0157,-1.1443,-0.2222,-0.5453,90,6645.637,128489,-9.4266,-4.9105,-8.052,-0.445,0.5277,-0.1459,60
1.246,24,5.4252,0.5386,-2.0153,0.2719,-1.6843,-1.8485,90,0.835,16,-0.8218,1.6228,-9.5103,-0.5184,-0.8348,0.2455,90,6645.689,128490,-7.2796,-3.9715,-8.233,-0.333,0.6056,-0.1451,60
1.297,25,5.4952,-4.8046,-3.5375,-0.4789,-0.5469,-2.0242,90,0.887,17,1.1254,2.6746,-10.1068,0.2934,-1.282,0.8446,90,6645.74,128491,-5.395,-3.2238,-8.3422,-0.2617,0.5136,-0.0929,60
1.349,26,2.4166,-5.3972,-3.8866,0.3249,-0.0794,-1.6685,90,0.939,18,2.5462,6.4371,-9.9358,0.8859,-1.6083,1.2818,90,6645.792,128492,-3.4046,-1.4887,-8.8556,-0.2867,0.3158,-0.293,60
1.401,27,1.5663,-3.6864,-3.728,0.0133,-0.1624,-1.3736,90,0.991,19,6.5313,7.4124,-4.7283,-0.0335,-1.829,1.6009,90,6645.844,128493,-0.6538,0.8369,-8.9666,-0.2915,0.1931,-0.4386,60
1.453,28,1.4622,-3.8389,-4.1791,-0.6677,-0.0054,-1.302,90,1.042,20,8.0883,7.4014,-2.7172,0.6473,-1.2611,1.827,90,6645.895,128494,2.6192,3.1926,-8.5466,-0.0303,0.0615,-0.5045,60
1.505,29,1.7599,-7.7206,-6.6258,-1.1647,-0.0376,-0.9097,90,1.094,21,5.2506,10.7287,-4.479,1.1442,-0.2413,1.3863,90,6645.947,128495,3.2982,2.3383,-7.6928,0.0318,0.0836,-0.0898,60
1.557,30,3.4195,-10.297,-8.3732,-1.5029,-0.6968,0.0127,90,1.146,22,3.4081,9.9051,-5.3259,0.2119,-0.5101,1.067,90,6645.999,128496,2.4126,1.653,-8.2509,-0.1915,0.1348,0.4789,60
1.608,31,5.4555,-12.7129,-9.7285,-1.7742,-1.1779,0.6859,90,1.198,23,3.1182,7.2207,-6.4179,0.5543,-0.413,0.7643,90,6646.051,128497,1.73,1.128,-8.6232,-0.3518,0.1732,0.8949,60
1.66,32,4.4735,-14.4761,-9.7707,-1.9723,-1.523,1.1773,90,1.25,24,3.1543,6.8651,-8.8938,1.0763,-0.5204,0.2764,90,6646.102,128498,-0.5873,-0.3881,-9.2112,-0.466,0.1998,1.1989,60
1.712,33,1.7935,-12.8481,-10.113,-1.3666,-1.78,1.5359,90,1.302,25,5.056,10.0018,-14.0055,1.4573,-0.844,-0.4846,90,6646.154,128499,-0.1886,-0.3989,-9.7946,-0.1314,0.4493,0.9735,60
1.764,34,1.0188,-11.3501,-12.042,-0.47,-1.9684,1.7976,90,1.354,26,6.9813,12.6266,-16.6847,1.6797,-1.2886,-1.0401,90,6646.206,128500,-0.1308,-0.3128,-9.7652,0.1154,0.631,0.809,60
1.815,35,-4.7887,-13.4815,-14.2782,-0.9901,-0.7542,1.0148,90,1.405,27,5.5487,13.9518,-15.1638,0.9323,-1.6132,-1.4455,90,6646.258,128501,-0.0852,-0.2572,-9.7226,0.2972,0.7622,0.6896,60
1.867,36,-2.8254,-9.8905,-12.3794,-0.437,-0.7005,1.2257,90,1.457,28,2.1812,10.6599,-15.7824,0.0004,-1.6455,-1.6504,90,6646.31,128502,-0.0597,-0.2217,-9.7149,0.4306,0.8571,0.6026,60
1.919,37,-2.936,-9.0263,-11.0324,-0.1099,-0.6007,1.1166,90,1.509,29,-2.1578,12.9494,-19.3827,-0.6104,-1.8217,-1.8909,90,6646.361,128503,-0.0448,-0.1916,-9.7177,0.5284,0.9264,0.5388,60
1.971,38,-3.5527,-7.0509,-11.4326,0.2075,-0.5211,0.6708,90,1.561,30,-0.509,13.0771,-18.062,0.2262,-0.6763,-1.9608,90,6646.413,128504,-0.0417,-0.1598,-9.7255,0.6018,0.9747,0.4926,60
2.023,39,-4.2936,-5.7297,-11.0113,0.0532,-0.4687,0.1982,90,1.613,31,-2.1062,11.1712,-17.5108,-0.4883,-0.5727,-2.0598,90,6646.465,128505,-0.0414,-0.1364,-9.7235,0.6562,1.0084,0.4596,60
2.074,40,-4.857,-5.8423,-8.7947,0.3086,-0.6106,-0.1413,90,1.665,32,-1.5768,10.1587,-15.869,-0.5315,-0.473,-1.6354,90,6646.517,128506,-0.0263,-0.136,-9.7193,0.6975,1.0311,0.4353,60
2.126,41,-5.7322,-8.9833,-9.7642,-0.4186,-0.0133,-0.702,90,1.716,33,-2.2602,7.2039,-14.9317,-1.0431,-0.1048,-1.2045,90,6646.568,128507,-5.2507,-5.3571,-4.7192,0.5048,1.4279,0.0061,60
2.178,42,-6.7989,-9.6321,-8.6614,0.3672,0.1597,-0.6522,90,1.768,34,-3.7311,6.4757,-14.2588,-0.7583,0.0152,-0.7061,90,6646.62,128508,-4.3512,-3.6743,-5.7114,0.2603,1.1958,-0.1073,60
2.23,43,-7.5467,-8.486,-7.8101,0.9328,0.0875,-0.5527,90,1.82,35,-4.1205,6.4382,-13.3366,-0.9652,0.1652,-0.2147,90,6646.672,128509,-3.7972,-2.9214,-7.6051,0.1441,1.1034,-0.0885,60
2.281,44,-8.3311,-9.0382,-7.5686,1.0325,0.15,-0.2625,90,1.872,36,-5.2393,6.9466,-13.2976,-0.9437,0.1576,0.243,90,6646.724,128510,-2.5313,-2.5998,-9.6092,0.0129,0.7445,-0.2271,60
2.333,45,-8.4757,-8.2635,-6.5068,0.7618,0.3753,0.0451,90,1.924,37,-6.1722,8.8216,-12.0099,-0.8672,0.1804,0.4791,90,6646.775,128511,-1.8982,-2.2975,-10.3893,-0.2074,0.2129,-0.2696,60
2.385,46,-8.8229,-8.0561,-6.1749,0.9074,0.4122,0.4502,90,1.975,38,-7.364,8.9925,-11.8296,-0.5739,0.1485,0.5589,90,6646.827,128512,-1.6468,-1.2632,-10.5661,-0.3574,-0.3893,-0.3328,60
