right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.82,15,2.3911,-5.4471,-25.345,-0.1636,-1.6125,0.4864,92,0.083,1,-1.2031,8.3533,-7.8222,0.4345,0.7381,1.846,87,7198.343,139175,0.0496,-0.2748,-8.89,1.2126,-0.9422,0.3626,60
0.872,16,1.7607,1.4144,-26.4944,0.4169,-0.6665,-0.1417,92,0.134,2,-2.4384,6.4277,-9.1843,0.9888,1.2178,1.6098,87,7198.395,139176,0.9776,-1.165,-9.6987,0.5711,-1.234,0.4524,60
0.924,17,2.0907,0.5395,-23.6142,-0.3731,-0.2,-0.2101,92,0.186,3,-0.9699,6.9302,-11.1336,0.9477,0.5277,1.8377,87,7198.446,139177,0.1289,-0.2435,-11.9425,1.0907,-0.213,0.6949,60
0.976,18,-1.0297,0.1636,-18.7311,-0.7745,0.2129,-0.5571,92,0.238,4,4.0488,5.9249,-16.0656,1.2678,-0.2875,1.166,87,7198.498,139178,0.3431,1.5696,-14.5907,1.4699,0.0528,0.5651,60
1.027,19,-2.9263,-1.579,-16.1186,-0.7688,0.4185,-0.7345,92,0.29,5,4.824,9.6511,-19.6652,1.5971,-0.8567,0.1646,87,7198.55,139179,4.7355,-3.797,-14.143,1.6051,-0.4872,0.7248,60
1.079,20,-4.043,-3.5107,-14.9613,-1.0001,0.0647,-0.9607,92,0.342,6,6.1954,12.2338,-22.2924,1.5753,-1.2979,-0.5644,87,7198.602,139180,-1.2518,-3.5275,-12.0207,1.5512,-0.1435,0.7981,60
1.131,21,-3.6818,-3.6992,-13.5033,-1.3916,0.15,-1.3762,92,0.393,7,2.0207,13.9566,-18.8525,0.7193,-1.5794,-1.0983,87,7198.653,139181,0.6602,-2.8779,-12.2973,1.5477,0.2603,0.7351,60
1.183,22,-3.0174,-4.8837,-13.8279,-1.6848,-0.0658,-1.6795,92,0.445,8,0.2887,11.4193,-17.9044,0.5379,-1.8254,-1.488,87,7198.705,139182,1.32,-4.63,-11.6459,1.7196,-0.0728,1.0772,60
1.235,23,-3.5881,-6.2447,-13.1938,-1.907,0.6246,-1.9009,92,0.497,9,0.805,8.9949,-18.1437,0.6435,-0.7533,-0.9196,87,7198.757,139183,0.2121,-5.3131,-10.7616,1.5446,-0.3054,1.0019,60
1.286,24,-1.7583,-7.9651,-13.3862,-1.3311,0.3947,-1.9251,92,0.549,10,-2.3549,8.2805,-21.1819,-0.2103,-1.1339,-0.9305,87,7198.808,139184,-1.161,-4.1679,-10.8335,1.2343,-0.3679,1.0328,60
1.338,25,1.7477,-8.0955,-12.6624,-1.3563,0.0018,-1.6368,92,0.601,11,3.2006,2.3999,-14.2458,-0.7214,-0.8475,-0.2342,87,7198.86,139185,-2.4772,-3.9022,-9.4017,1.2772,-0.5913,1.4295,60
