right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.538,10,-4.2377,-5.3083,-21.4864,0.3303,-0.4624,0.5354,84,0.382,7,-6.3572,10.5708,-5.1801,-0.7934,0.2168,-1.8492,91,6130.006,118520,-3.0111,-5.9696,-8.1808,0.3272,0.6242,-0.4353,60
0.59,11,-4.6016,-5.0896,-21.4446,0.6,-1.0068,0.7067,84,0.434,8,-6.8117,9.2638,-5.3033,-1.2102,0.1491,-1.9955,91,6130.058,118521,-2.2921,-5.6925,-8.0268,0.6325,0.3577,-0.6935,60
0.642,12,-5.2827,-5.4088,-20.4795,0.6955,-1.4042,0.7663,84,0.485,9,-7.3499,8.5581,-5.6029,-0.9207,0.0668,-1.9759,91,6130.109,118522,-1.8121,-6.6604,-7.4062,0.9701,0.0329,-0.8368,60
0.693,13,-5.4809,-4.9273,-19.61,0.9181,-1.6942,0.6062,84,0.537,10,-6.6377,7.7323,-5.2772,-1.3252,0.0321,-1.8876,91,6130.161,118523,-2.7904,-9.8356,-5.575,1.1016,-0.4125,-0.9189,60
0.745,14,-5.9948,-4.5642,-18.1842,1.0852,-1.8679,0.489,84,0.589,11,-6.7941,5.758,-5.236,-1.636,0.2047,-1.6071,91,6130.213,118524,-4.1398,-12.4363,-4.9718,0.81,-0.4156,-0.649,60
0.797,15,-6.3185,-5.0278,-17.8797,0.9601,-1.8768,0.5424,84,0.641,12,-6.8055,4.0188,-6.5287,-1.7792,0.489,-1.0769,91,6130.265,118525,-4.9714,-13.2298,-4.6725,0.4035,-0.098,-0.1659,60
0.849,16,-6.2736,-5.0607,-16.8893,1.3331,-1.8816,0.6153,84,0.693,13,-5.5529,1.5832,-7.3581,-1.9493,0.4261,-0.4175,91,6130.316,118526,-5.368,-13.596,-4.6532,0.0135,0.2647,0.2857,60
0.901,17,-6.5373,-5.0666,-14.9774,1.199,-1.7759,0.7584,84,0.745,14,-4.1579,0.0209,-8.8192,-1.7027,-0.0707,0.3606,91,6130.368,118527,-4.9375,-13.3123,-4.8815,-0.4185,0.6975,0.7413,60
0.952,18,-6.2655,-3.64,-13.2637,1.2667,-1.3486,0.5662,84,0.796,15,-2.9903,-1.0775,-9.7872,-1.3398,-0.7243,0.9286,91,6130.42,118528,-4.4378,-12.1304,-5.5207,-0.6744,0.9776,0.9362,60
1.004,19,-5.1457,-3.0298,-11.4007,1.2825,-0.6583,0.2006,84,0.848,16,-2.2784,-0.1441,-10.2016,-1.2468,-1.2013,1.29,91,6130.472,118529,-4.1117,-11.6369,-5.8083,-0.8059,1.0886,0.8385,60
