right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.624,12,-5.4718,-7.3042,-13.8087,-0.0359,-0.0665,0.003,91,0.516,9,-6.2174,6.3875,-4.1326,0.0391,0.0997,0.1559,87,6877.408,132970,2.0764,9.6482,-8.5379,0.0138,-0.0329,-0.0121,60
0.675,13,-5.4376,-7.3342,-13.8299,-0.0438,-0.0736,-0.0138,91,0.568,10,-6.1835,6.4713,-4.1533,0.038,0.0757,0.1561,87,6877.46,132971,2.0307,9.6485,-8.5535,0.0464,-0.0196,-0.0167,60
0.727,14,-5.4581,-7.4105,-13.8294,-0.0374,-0.0649,-0.0235,91,0.62,11,-6.1612,6.5301,-4.1952,0.0336,0.0596,0.1514,87,6877.511,132972,1.9891,9.6114,-8.5439,0.0693,-0.0089,-0.0104,60
0.779,15,-5.458,-7.4006,-13.8086,-0.0082,-0.0632,-0.0297,91,0.671,12,-6.074,6.5448,-4.2655,0.031,0.0181,0.141,87,6877.563,132973,1.9935,9.547,-8.6176,0.0698,-0.002,0.0143,60
0.831,16,-5.4619,-7.3648,-13.7766,-0.0005,-0.0495,-0.0404,91,0.723,13,-6.0889,6.5307,-4.2704,0.0111,-0.005,0.1521,87,6877.615,132974,1.9665,9.563,-8.7217,0.0526,0.0159,0.0343,60
0.883,17,-5.4575,-7.3082,-13.7708,-0.0092,-0.0368,-0.0596,91,0.775,14,-6.0188,6.5847,-4.2569,0.0198,-0.018,0.1608,87,6877.667,132975,1.9993,9.6006,-8.7617,0.0443,0.0414,0.0456,60
0.934,18,-5.4621,-7.3542,-13.7759,-0.0235,-0.0269,-0.0815,91,0.827,15,-5.9909,6.6186,-4.2147,0.0326,-0.0302,0.1524,87,6877.719,132976,2.0446,9.6513,-8.79,0.0593,0.0511,0.0533,60
0.986,19,-5.4524,-7.416,-13.7537,-0.0372,-0.0122,-0.0933,91,0.879,16,-5.9865,6.6534,-4.1816,0.0277,-0.0491,0.1532,87,6877.77,132977,2.0474,9.6664,-8.837,0.0889,0.0398,0.062,60
1.038,20,-5.4005,-7.4944,-13.7621,-0.0313,-0.0056,-0.0922,91,0.93,17,-6.0091,6.7727,-4.0531,-0.0009,-0.0651,0.1447,87,6877.822,132978,2.055,9.6449,-8.9005,0.1093,0.0234,0.0631,60
1.09,21,-5.3559,-7.5159,-13.8061,-0.0131,0.0096,-0.0899,91,0.982,18,-6.1512,6.7777,-3.9003,-0.0898,-0.1099,0.0903,87,6877.874,132979,2.0345,9.6008,-8.9273,0.1073,0.019,0.0709,60
1.142,22,-5.3105,-7.499,-13.7958,0.0063,0.0264,-0.0969,91,1.034,19,-6.3927,6.7976,-3.6735,-0.0749,-0.1585,-0.0313,87,6877.926,132980,2.052,9.6384,-8.9625,0.0935,0.0297,0.0869,60
1.193,23,-5.3094,-7.4606,-13.8311,0.0219,0.024,-0.0981,91,1.086,20,-6.369,6.6533,-3.5426,-0.1362,-0.1746,-0.2043,87,6877.977,132981,2.1116,9.6976,-9.0483,0.0931,0.0445,0.0978,60
1.245,24,-5.2865,-7.5404,-13.8627,0.0348,0.0101,-0.0825,91,1.138,21,-6.5209,6.3932,-3.2121,-0.3207,-0.1408,-0.3644,87,6878.029,132982,2.1309,9.7279,-9.0741,0.1035,0.0533,0.0819,60
1.297,25,-5.4731,-7.6359,-13.9029,0.0171,-0.0011,-0.0582,91,1.189,22,-6.7468,6.1136,-3.0514,-0.3289,-0.0483,-0.4891,87,6878.081,132983,2.167,9.6805,-9.1225,0.113,0.0435,0.0711,60
1.349,26,-5.8434,-7.9457,-13.9682,0.0654,-0.0977,0.0194,91,1.241,23,-6.5046,6.5436,-3.4746,-0.2515,0.1211,-0.5957,87,6878.132,132984,2.2109,9.6512,-9.1657,0.1117,0.0266,0.0604,60
1.401,27,-6.0846,-8.4599,-13.7803,0.4066,-0.2509,0.1552,91,1.293,24,-6.2278,5.9425,-3.7105,-0.219,0.1618,-0.6487,87,6878.184,132985,2.1756,9.6611,-9.1664,0.1064,0.0093,0.0613,60
1.452,28,-6.3872,-8.6723,-13.6414,0.7499,-0.2912,0.3339,91,1.345,25,-5.9437,4.8443,-4.6532,-0.1573,0.1005,-0.5013,87,6878.236,132986,2.2065,9.6906,-9.1984,0.1104,-0.0026,0.0784,60
1.504,29,-6.5172,-8.6122,-13.1231,1.0381,-0.4395,0.6193,91,1.397,26,-4.3289,3.6604,-6.5964,0.0033,-0.5474,-0.0243,87,6878.288,132987,2.2112,9.7709,-9.235,0.0957,-0.0275,0.1104,60
1.556,30,-6.603,-8.0972,-12.5166,1.3249,-0.4284,0.9398,91,1.449,27,-2.0912,2.3151,-7.9699,0.4622,-1.0722,0.6418,87,6878.339,132988,2.2273,10.0419,-9.2118,0.0083,-0.0649,0.1194,60
