right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.04,0,-2.3677,-8.247,-11.1252,1.9561,-0.4978,1.4119,93,0.378,7,-4.8083,7.7676,-12.1422,-0.7228,-0.8603,-0.5675,82,1034.947,20002,9.2403,-2.8519,-6.2445,-1.7194,-1.9176,0.8906,62
0.091,1,-2.6134,-8.2045,-10.1929,2.102,-0.3448,1.4391,93,0.43,8,-3.9463,6.5064,-11.2413,-0.0466,-1.1759,-0.3395,82,1034.998,20003,7.7329,-2.3005,-7.1638,-1.7713,-2.0626,0.8513,62
0.143,2,-3.1732,-7.0864,-10.2988,2.2085,-0.3001,1.3213,93,0.481,9,-4.7141,5.2238,-10.8523,-0.5427,-0.6753,0.3649,82,1035.05,20004,6.6633,-1.032,-8.2141,-1.6892,-2.1445,1.0056,62
0.195,3,-3.159,-5.3784,-10.2289,2.2863,-0.286,1.0154,93,0.533,10,-3.387,3.8821,-9.6681,-0.827,-0.88,0.9317,82,1035.102,20005,4.7995,0.0979,-8.828,-1.6069,-2.1396,1.3108,62
0.247,4,-3.4932,-2.862,-12.0946,2.343,-0.7494,0.3581,93,0.585,11,0.0002,5.5743,-8.9776,-0.0991,-0.7964,1.3454,82,1035.154,20006,-0.6825,2.7077,-10.7799,-1.3107,-2.0758,1.4089,62
0.299,5,-2.7023,1.0882,-11.7944,1.6105,-1.2163,-0.4138,93,0.637,12,-0.7824,8.1141,-10.1081,-0.7523,0.0979,1.6473,82,1035.206,20007,-2.7346,5.1671,-7.8999,-0.8718,-1.8762,1.3008,62
0.351,6,-1.9013,-0.617,-11.9299,1.7791,-1.557,-0.9771,93,0.689,13,1.7027,1.917,-11.5943,-1.2291,-0.6012,1.8676,82,1035.257,20008,-3.7389,2.5898,-5.8464,-1.2788,-1.7049,0.6728,62
0.402,7,3.6698,-4.2866,-11.6155,1.9728,-1.8057,-1.3882,93,0.74,14,4.9757,6.7259,-15.891,-0.2253,0.2403,0.6767,82,1035.309,20009,-2.8369,1.853,-6.5434,-1.6112,-1.5325,0.0036,62
0.454,8,7.7358,-2.0816,-9.1599,0.7625,-1.9038,-0.4178,93,0.792,15,4.6461,7.2424,-13.6611,0.0261,0.6708,-0.0692,82,1035.361,20010,-2.1582,1.2958,-7.1089,-1.8538,-1.419,-0.4835,62
0.506,9,7.0685,-3.0985,-6.7842,-0.1209,-0.8945,-0.1449,93,0.844,16,1.8877,7.1494,-12.1478,0.6908,1.0506,-0.3663,82,1035.413,20011,3.7832,5.8285,-13.2139,-1.6148,-1.0515,-0.5519,62
0.558,10,5.6116,-2.5293,-3.9715,-0.7656,-0.8382,-0.273,93,0.896,17,2.3484,10.0875,-12.4813,1.1759,0.0974,-0.4734,82,1035.464,20012,2.7192,4.2894,-12.5306,-0.7522,-0.5931,-0.1515,62
0.61,11,6.7792,-5.0725,-3.1941,-1.2361,-0.6744,-0.0167,93,0.948,18,2.9341,10.6566,-13.4502,1.4621,0.1425,-1.0319,82,1035.516,20013,2.0084,3.1312,-11.7816,-0.1249,-0.2635,0.1398,62
0.661,12,6.9686,-6.915,-4.2672,-1.5796,-0.0672,0.6645,93,1.0,19,2.9364,10.871,-14.4664,1.7114,-0.3236,-1.4395,82,1035.568,20014,1.479,2.2658,-11.2165,0.3342,-0.0247,0.3516,62
