right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.439,8,4.2486,-3.2883,-11.7996,0.7588,0.6186,-1.2654,91,0.201,3,9.7706,-0.91,-9.8832,0.0943,-0.746,0.2122,85,12768.213,246880,-3.7578,-3.1323,-4.4678,-0.5733,0.3386,0.1375,59
0.49,9,8.1576,-3.6091,-9.802,1.2282,-0.2178,-1.5986,91,0.253,4,7.8929,4.6627,-6.6721,0.7406,0.1346,-0.4324,85,12768.265,246881,-3.0167,-1.9776,-6.5902,-0.4716,0.4294,0.0808,59
0.542,10,11.0106,-5.3249,-9.8571,0.219,0.499,-1.7577,91,0.305,5,5.7031,5.473,-5.1651,-0.1395,0.5981,-0.82,85,12768.317,246882,-0.2252,0.9372,-9.8239,-0.3539,0.5743,0.1026,59
0.594,11,9.8443,-9.0841,-12.0252,-0.5175,1.0223,-0.9098,90,0.356,6,5.6112,6.0377,-4.3997,0.526,1.1156,-1.2849,85,12768.368,246883,2.4239,3.4861,-13.2823,0.1901,0.7745,-0.1804,59
0.646,12,5.625,-11.8277,-13.4001,0.0999,1.0286,0.0126,90,0.408,7,5.197,7.4897,-4.8537,1.0557,1.4933,-1.6241,85,12768.42,246884,2.2434,2.9992,-11.9021,0.3841,1.2539,-0.8077,59
0.698,13,5.6155,-11.5816,-13.0559,-0.2669,0.2797,0.6858,90,0.46,8,3.9595,9.6659,-5.3246,1.4422,1.7432,-1.8717,85,12768.472,246885,1.7046,2.5303,-10.954,0.4985,1.6038,-1.2656,59
0.749,14,4.0456,-11.7453,-13.4972,-0.8722,0.2849,1.1772,90,0.512,9,3.9982,9.9712,-6.948,1.7243,1.186,-2.0524,85,12768.524,246886,1.2969,2.1455,-10.2343,0.5655,1.8592,-1.5997,59
0.801,15,4.2067,-13.5047,-14.3813,-1.3139,-0.4614,1.5358,90,0.564,10,3.4987,7.3085,-7.6709,1.6468,0.6808,-1.8251,85,12768.576,246887,-4.285,-3.692,-4.9061,0.9174,1.031,-0.9121,59
0.853,16,4.7916,-12.6734,-14.763,-1.6312,-1.0061,1.7975,90,0.615,11,3.2921,8.4702,-10.599,1.8046,-0.1451,-0.8239,85,12768.627,246888,-3.1729,-2.5555,-5.7225,1.3411,0.2267,-0.0614,59
0.905,17,4.7955,-10.9301,-13.8006,-1.8678,-1.1014,1.8599,90,0.667,12,7.3224,11.5088,-5.0878,1.9883,-0.7786,-1.2565,85,12768.679,246889,-2.4408,-1.7039,-6.5083,1.6492,-0.3712,0.6034,59
0.957,18,3.6624,-6.906,-14.8287,-0.9334,-1.0218,0.9365,90,0.719,13,1.1272,13.2528,-6.9241,0.8712,-0.9031,-1.6034,85,12768.731,246890,-1.8799,-1.0754,-7.0898,1.8715,-0.8122,1.0982,59
1.008,19,7.7298,-10.238,-10.8893,-1.3586,-1.4151,0.6561,90,0.771,14,-0.1461,11.8159,-8.3555,0.0695,-0.1561,-1.8566,85,12768.783,246891,-1.4638,-0.618,-7.5198,2.0303,-1.1419,1.461,59
1.06,20,5.9635,-10.5161,-12.8484,-0.3561,-0.5319,0.9309,90,0.823,15,-2.9726,11.1269,-9.6442,-0.3744,-0.7488,-2.0414,85,12768.834,246892,-1.169,-0.2915,-7.8438,2.1435,-1.3901,1.727,59
1.112,21,2.91,-9.9146,-15.679,-0.4726,-0.2482,1.1738,90,0.874,16,-3.965,10.9066,-9.1476,-0.8302,-0.3734,-2.1763,85,12768.886,246893,-0.9472,-0.0344,-8.0361,2.2191,-1.577,1.9198,59
1.164,22,-2.816,-6.7951,-18.8316,-0.1799,-0.0317,1.5201,90,0.926,17,-3.3164,7.7607,-8.6634,-1.1404,-0.4021,-2.2067,85,12768.938,246894,-0.7874,0.1581,-8.1905,2.2727,-1.7196,2.0612,59
1.216,23,-3.0787,-8.5951,-19.0444,-0.6595,-0.6924,1.3759,90,0.978,18,-3.3342,6.2634,-9.0984,-1.4709,-0.2315,-2.0056,85,12768.99,246895,-2.7058,5.4465,-9.9644,1.8657,-1.9052,1.7715,59
1.267,24,-2.7154,-6.6316,-17.34,0.036,-1.0647,1.6322,90,1.03,19,-2.8141,3.2635,-9.7572,-1.7536,-0.1968,-1.4414,85,12769.041,246896,-0.1791,5.1677,-6.7534,0.6856,-1.0213,1.2229,59
1.319,25,-2.2628,-5.055,-15.4503,0.1193,-1.1225,1.5442,90,1.082,20,-1.4169,1.5344,-10.7645,-1.9434,-0.8065,-0.4483,85,12769.093,246897,-0.5764,3.3085,-3.32,-0.1775,-0.5348,0.8699,59
1.371,26,-1.6744,-3.1459,-13.7886,0.2619,-1.0498,1.0191,90,1.134,21,0.4352,-0.1913,-10.7461,-2.0502,-1.2613,0.3382,85,12769.145,246898,-0.3792,2.5032,-2.072,-0.4165,-0.3879,0.7717,59
1.423,27,-0.8401,-1.6943,-12.114,0.7122,-0.8387,0.1879,90,1.185,22,2.5232,2.9334,-11.383,-2.1763,-1.5932,0.9122,85,12769.196,246899,-0.0503,1.9356,-2.3355,-0.1574,-0.3786,0.7286,59
1.475,28,0.9731,0.3801,-10.6831,1.1941,-1.088,-0.538,90,1.237,23,6.7612,-3.1199,-14.8097,-2.2684,-1.8355,0.5858,85,12769.248,246900,0.2668,1.6972,-3.3966,0.0366,-0.43,0.7871,59
1.526,29,5.0658,0.052,-9.4297,1.1891,-1.1553,-1.0677,90,1.289,24,9.8544,1.512,-11.3782,-0.9839,-0.7623,-0.2581,85,12769.3,246901,0.0026,0.7658,-4.9047,0.2237,-0.3258,0.7021,59
1.578,30,8.5911,-5.1598,-9.5537,1.5422,-0.5716,-1.4544,90,1.341,25,8.8416,2.841,-6.2234,-0.0463,0.1227,-0.6353,85,12769.352,246902,-0.8458,0.3306,-6.9717,0.3497,-0.363,0.6374,59
1.63,31,11.327,-4.8029,-12.4845,0.4482,-0.0894,-0.8297,90,1.393,26,5.8941,6.1167,-3.5948,0.1767,0.7686,-0.5184,85,12769.404,246903,-1.675,0.2736,-9.555,0.5074,-0.3521,0.4717,59
