right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.457,8,-0.2256,-9.613,-9.9575,0.4078,-0.7423,2.3073,91,0.293,5,-0.1931,1.2276,-9.7067,-1.9146,-0.9371,1.2477,85,12541.146,242490,2.7367,-1.0031,-10.4137,-1.3787,-1.5644,-1.5848,59
0.509,9,-1.9042,-8.4533,-11.1758,0.972,-0.4334,2.1717,91,0.344,6,4.2225,4.3944,-7.939,-2.0774,-1.3566,1.576,85,12541.198,242491,1.9639,-0.7928,-10.1504,-1.3427,-1.6399,-1.8327,59
0.561,10,-2.9078,-6.6106,-11.3821,1.3838,-0.3098,1.5882,91,0.396,7,8.0013,-0.4141,-6.8707,-2.1285,-1.6628,1.8156,85,12541.249,242492,4.3403,-1.6212,-6.9063,-1.3253,-1.8511,-1.9411,59
0.613,11,-2.7656,-4.6289,-10.766,1.6843,-0.5226,0.7857,91,0.448,8,9.3219,-0.1842,-9.7328,-0.8817,-1.2437,0.6387,85,12541.301,242493,3.9075,-3.0418,-5.8842,-1.5068,-2.0141,-2.0928,59
0.664,12,-2.9643,-2.9161,-9.9478,1.7921,-0.86,-0.0934,91,0.5,9,11.4612,5.1924,-9.2155,0.0282,-0.3188,-0.2202,85,12541.353,242494,1.2618,-2.4326,-4.7663,-1.4475,-2.1331,-2.2035,59
0.716,13,-2.2159,-3.4189,-9.9417,1.8428,-1.297,-0.7433,91,0.552,10,9.7814,4.176,-8.0397,0.5506,0.3524,-0.841,85,12541.405,242495,0.0207,-2.5735,-4.1769,-1.3662,-2.2199,-2.2842,59
0.768,14,-1.9615,-2.7132,-9.694,2.0193,-1.616,-1.2176,91,0.604,11,6.8737,6.0861,-12.0826,1.0736,0.9363,-1.3001,85,12541.456,242496,-0.9805,-2.0264,-4.3945,-1.3156,-2.239,-2.3432,59
0.82,15,-0.3308,-4.0889,-7.2865,2.1482,-1.8487,-1.5638,91,0.655,12,5.4056,8.3764,-12.9318,1.2398,0.0107,-1.6353,85,12541.508,242497,-2.0744,-2.5875,-5.1249,-1.4707,-1.8993,-2.3862,59
0.872,16,4.0332,2.4057,-11.1221,2.2422,-2.0186,-1.6129,91,0.707,13,2.0627,9.2925,-12.3798,0.8194,-0.1313,-1.8799,85,12541.56,242498,-1.0671,-2.0959,-4.4924,-1.6432,-1.7373,-2.3506,59
0.923,17,8.0004,3.7155,-10.4274,0.9591,-2.1426,-0.7271,91,0.759,14,-0.4936,7.633,-11.7529,0.3238,-0.1578,-2.0584,85,12541.612,242499,-1.1732,-1.7342,-5.0742,-1.7462,-1.3957,-2.1409,59
0.975,18,8.1254,-1.1099,-8.3965,0.0226,-0.8813,0.0823,91,0.811,15,-0.8399,4.5144,-12.005,0.7679,-0.6757,-0.9319,85,12541.664,242500,-1.1581,-0.9844,-6.1801,-1.6146,-0.8603,-1.7335,59
