right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.703,13,-5.3377,6.3905,-3.7647,0.0883,0.0024,-0.2175,92,0.298,5,-2.9075,5.2746,-1.4899,-0.0075,-0.0595,-0.1534,92,4278.879,82730,-5.0092,-4.0141,-5.7719,0.7349,0.6863,2.1989,61
0.754,14,-5.4371,6.5974,-3.6751,0.0969,0.0215,-0.1786,92,0.35,6,-2.9884,5.1088,-1.5156,-0.0383,-0.046,-0.1658,92,4278.931,82731,-5.861,-2.707,-6.0047,0.6709,0.4386,1.7993,61
0.806,15,-5.7123,6.5423,-3.6017,0.0423,0.1126,-0.1533,92,0.402,7,-3.0818,5.0346,-1.3345,-0.0969,-0.0396,-0.1695,92,4278.983,82732,-6.8683,-1.7295,-6.1923,0.5222,0.3351,1.1575,61
0.858,16,-6.0112,6.8377,-3.5412,0.1634,0.2483,-0.1322,92,0.453,8,-3.1431,5.0424,-1.2691,-0.1356,0.0073,-0.1742,92,4279.035,82733,-7.3417,-0.8211,-6.359,0.3601,0.3418,0.5867,61
0.91,17,-6.5364,6.905,-3.5711,0.2666,0.4639,-0.1406,92,0.505,9,-3.2836,4.9781,-1.2783,-0.1283,0.0525,-0.2007,92,4279.086,82734,-7.6709,-0.3301,-6.4088,0.3392,0.2818,0.215,61
0.962,18,-6.6854,6.687,-3.8269,0.3927,0.6352,-0.2899,92,0.557,10,-3.4497,4.805,-1.187,-0.1786,0.1151,-0.238,92,4279.138,82735,-8.256,-0.2428,-6.3778,0.3455,0.2104,0.0465,61
1.013,19,-6.638,6.1241,-4.5124,0.5399,0.7801,-0.2996,92,0.609,11,-3.7043,4.7441,-1.2497,-0.216,0.1653,-0.2949,92,4279.19,82736,-8.7745,-0.1344,-6.3705,0.2926,0.1861,-0.063,61
1.065,20,-6.1608,4.7744,-5.1745,0.8149,0.7314,-0.2189,92,0.661,12,-3.8428,4.4688,-1.5179,-0.2809,0.1785,-0.3406,92,4279.242,82737,-9.0385,-0.0772,-6.4505,0.2497,0.2191,-0.1154,61
1.117,21,-5.0748,3.58,-6.4922,0.9855,0.7148,0.2583,92,0.712,13,-3.8365,3.8256,-2.0366,-0.4696,0.0594,-0.2669,92,4279.293,82738,-9.0718,0.0071,-6.617,0.2336,0.2364,-0.0955,61
1.169,22,-2.922,-0.4746,-9.1212,0.3608,-0.0284,0.8652,92,0.764,14,-2.4172,3.0745,-2.0981,-0.9012,-0.4,0.1289,92,4279.345,82739,-9.2576,0.0074,-6.8127,0.2373,0.217,-0.1221,61
