right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.856,16,4.98,1.5126,-17.1298,-0.7506,1.4996,-0.2473,91,0.552,10,6.0845,-4.8952,-16.0966,1.2881,0.1544,-0.8281,92,4493.922,86887,1.7312,-10.8959,-12.4519,0.0767,0.0373,0.1908,61
0.908,17,4.9332,3.2352,-15.9244,-1.2252,0.4252,-0.3709,91,0.604,11,6.7973,-6.0917,-14.3898,0.2601,0.7917,0.061,92,4493.973,86888,1.2008,-9.4199,-11.9825,0.0098,-0.0397,0.1956,61
0.959,18,5.7237,5.4374,-12.0627,-1.5716,-0.3579,0.4,91,0.655,12,9.8232,-8.8961,-12.9623,-0.304,0.7657,0.7099,92,4494.025,86889,0.6736,-6.9774,-11.2302,-0.2628,-0.1089,0.2043,61
1.011,19,5.3855,5.5428,-13.5257,-1.2423,-0.6906,0.5115,91,0.707,13,10.9559,-8.6447,-12.2994,-0.0408,-0.1138,1.0725,92,4494.077,86890,0.7275,-3.7846,-10.8027,-0.3191,-0.2571,0.3522,61
1.063,20,3.7023,6.3693,-15.9051,-0.8552,-1.1733,-0.1877,91,0.759,14,8.7098,-7.3524,-12.6773,-0.2412,-0.0709,0.8447,92,4494.128,86891,-0.3648,-0.9842,-10.0876,-0.1934,-0.3826,0.5671,61
1.115,21,2.4917,7.5563,-17.1665,-0.8569,-1.5257,-0.5536,91,0.811,15,6.0069,-8.4111,-14.3464,-0.853,-0.0812,1.2819,92,4494.18,86892,-1.285,-0.0298,-9.8858,-0.0278,-0.2746,0.6205,61
1.167,22,2.063,6.5229,-17.6738,-0.8943,-1.7828,-1.0791,91,0.863,16,3.7293,-7.9964,-16.3992,-1.3026,-0.732,1.0963,92,4494.232,86893,-0.9166,-0.0761,-9.9631,0.124,-0.1864,0.6378,61
1.218,23,2.0631,5.7459,-17.3734,-1.0864,-1.9705,-1.4627,91,0.914,17,3.5575,-7.581,-16.2672,-1.4942,-1.2069,1.4655,92,4494.284,86894,-0.6502,-0.1322,-9.9401,0.2372,-0.1231,0.6522,61
1.27,24,1.7564,4.7494,-16.2184,-0.5877,-2.1052,-1.649,91,0.966,18,2.956,-6.4797,-15.9513,-1.4651,-1.5535,1.5231,92,4494.336,86895,-0.4775,-0.2044,-9.9318,0.3226,-0.0778,0.6645,61
1.322,25,1.6068,3.9246,-14.6412,-0.1286,-1.8363,-1.6181,91,1.018,19,2.8425,-5.318,-15.0537,-1.6736,-1.8065,1.2586,92,4494.388,86896,5.0098,-5.2646,-15.2742,0.747,-0.2412,0.5183,61
