right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.815,15,1.0103,8.091,-15.253,0.3627,0.2112,-0.0301,93,0.426,8,1.2905,-8.4803,-13.4511,0.2115,-0.3242,-0.1819,91,4719.435,91247,8.4527,4.1088,-6.7119,0.2087,0.1508,0.1739,61
0.867,16,0.9688,8.3286,-15.0079,0.2772,0.1931,-0.0552,93,0.478,9,1.2603,-8.434,-13.3332,0.2391,-0.2645,-0.1375,91,4719.487,91248,8.8015,3.9956,-6.7635,0.2172,0.1909,0.1143,61
0.919,17,1.0351,8.3357,-15.0558,0.0662,0.2554,-0.1676,93,0.53,10,1.2224,-8.4431,-13.3479,0.232,-0.2102,-0.1265,91,4719.539,91249,9.0011,3.8721,-6.7339,0.2437,0.1419,0.0773,61
0.971,18,1.0341,8.4634,-15.015,-0.0605,0.2137,-0.2511,93,0.582,11,1.1431,-8.5782,-13.4098,0.1702,-0.1787,-0.1244,91,4719.59,91250,9.0335,3.9125,-6.7115,0.2597,-0.0354,0.1052,61
1.022,19,1.3797,8.0429,-14.8607,-0.103,0.0967,-0.3197,93,0.634,12,1.2455,-8.7456,-13.6496,-0.0108,-0.1502,-0.0568,91,4719.642,91251,8.6743,4.0392,-6.7999,0.2709,-0.184,0.1493,61
1.074,20,1.6551,7.3749,-15.3287,-0.3003,-0.2007,-0.0596,93,0.685,13,0.2104,-8.0965,-14.3574,-0.6224,-0.0047,-0.2178,91,4719.694,91252,8.2468,4.2713,-7.1556,0.3117,-0.1706,0.1515,61
1.126,21,1.4713,7.8745,-14.6393,-0.278,-0.1925,0.0704,93,0.737,14,0.3197,-8.1935,-14.2822,-0.633,0.0509,-0.1156,91,4719.746,91253,8.3611,4.0159,-7.3171,0.3514,-0.0728,0.1287,61
1.177,22,1.4784,7.7226,-14.1929,-0.172,-0.0443,0.1189,93,0.789,15,0.6857,-7.4475,-14.1684,-0.676,0.1582,0.0346,91,4719.797,91254,8.5769,3.9022,-7.3788,0.2769,-0.0289,0.1591,61
1.229,23,0.956,7.6499,-13.8208,-0.1758,-0.0588,0.2782,93,0.841,16,0.7812,-7.0295,-13.9579,-0.6161,0.521,0.1135,91,4719.849,91255,8.9646,3.8609,-7.4808,0.1979,-0.0376,0.2092,61
1.281,24,0.5398,7.4236,-14.1361,-0.1808,-0.219,0.4589,93,0.893,17,0.6463,-7.2145,-13.6815,-0.7561,0.7562,0.2245,91,4719.901,91256,9.0277,3.9411,-7.539,0.202,-0.0671,0.2256,61
1.333,25,-0.1587,5.4599,-13.8508,-0.631,-0.459,1.0015,93,0.944,18,2.5267,-5.2071,-14.386,-0.7163,0.8736,0.1099,91,4719.953,91257,8.9144,3.8154,-7.7503,0.2129,-0.0963,0.1978,61
1.385,26,-0.5655,3.3697,-13.4152,-0.3574,-0.4304,1.4076,93,0.996,19,1.9292,-4.832,-14.2328,-0.7382,0.9439,0.2722,91,4720.004,91258,8.7719,3.7051,-7.9286,0.1844,-0.0618,0.1582,61
1.436,27,0.8411,2.6263,-13.8393,0.4135,-0.6538,1.704,93,1.048,20,1.0547,-3.673,-13.7059,-0.8007,1.1835,-0.0432,91,4720.056,91259,8.6655,3.2904,-8.058,0.049,0.0437,0.1349,61
1.488,28,3.1319,4.9191,-15.2087,0.9109,0.0898,1.4259,93,1.1,21,0.3959,-2.397,-13.5412,-1.1681,1.5364,-0.3057,91,4720.108,91260,8.4767,3.167,-8.3099,-0.14,0.1984,0.0826,61
1.54,29,3.9041,5.1144,-15.4934,-0.0125,-0.0721,1.711,93,1.152,22,4.2687,-3.1851,-15.6009,-1.5325,1.0723,-0.9095,91,4720.16,91261,9.5441,2.9841,-7.9356,-0.3492,0.1608,-0.0432,61
1.592,30,5.1797,5.4545,-16.0644,-0.6865,0.0786,1.4238,93,1.204,23,5.7239,-5.5312,-16.9702,-0.5178,1.0837,-0.7263,91,4720.211,91262,9.213,2.675,-7.7954,-0.5328,-0.0649,-0.1228,61
1.644,31,6.4637,6.1954,-16.1341,-1.1784,0.0983,1.0658,93,1.255,24,7.056,-4.517,-16.2668,0.2938,0.5965,-1.2165,91,4720.263,91263,8.6049,2.3336,-7.521,-0.6091,-0.25,-0.1636,61
1.695,32,8.1581,8.7786,-15.0225,-1.5374,0.3251,0.2702,93,1.307,25,7.9104,-4.8162,-16.4742,-0.2405,0.7517,-0.2604,91,4720.315,91264,8.1685,2.5469,-7.3795,-0.7128,-0.4086,-0.1688,61
1.747,33,9.745,9.8524,-13.8017,-1.7995,0.6024,-0.4774,93,1.359,26,7.9609,-6.5281,-16.7396,0.116,0.4984,0.3259,91,4720.367,91265,7.4019,2.7681,-7.6087,-0.8212,-0.4539,-0.0295,61
1.799,34,9.5238,10.206,-13.9987,-1.9907,0.4375,-1.0235,93,1.411,27,8.1709,-7.5611,-16.7289,0.7564,0.1614,0.7192,91,4720.419,91266,6.0321,2.6196,-8.0667,-0.9215,-0.4379,0.1764,61
1.851,35,7.6294,10.426,-13.0621,-2.1303,0.3309,-1.4221,93,1.463,28,8.4306,-10.3605,-16.5742,1.2238,-0.1828,1.1903,91,4720.47,91267,3.3571,1.8411,-8.8199,-1.0813,-0.2051,0.4756,61
1.902,36,0.0359,12.9993,-11.5515,-1.4606,0.0668,-0.4406,93,1.514,29,7.1316,-10.5286,-15.2551,1.5649,-0.3073,1.5341,91,4720.522,91268,1.8185,1.3692,-8.9979,-1.2503,0.1881,0.8615,61
1.954,37,-1.3236,14.4184,-11.2576,-0.4016,0.1475,0.0456,93,1.566,30,4.8444,-10.3659,-14.3409,1.45,-0.2717,1.7833,91,4720.574,91269,1.521,0.9772,-9.0682,-1.3688,0.5154,1.1492,61
2.006,38,-6.0108,15.8478,-11.9698,-0.6502,-0.4858,0.4642,93,1.618,31,2.7427,-9.7426,-13.3552,0.5754,0.1696,1.9669,91,4720.626,91270,1.3222,0.6794,-9.1156,-1.4525,0.7607,1.3587,61
2.058,39,-2.4135,14.8345,-10.6752,-0.0677,-0.2388,-0.0391,93,1.67,32,2.1128,-8.9521,-12.8079,0.1698,0.4806,1.9246,91,4720.677,91271,1.2482,0.4184,-9.0999,-1.5102,0.946,1.5124,61
2.11,40,-1.4936,13.4958,-9.6645,0.4622,0.044,-0.167,93,1.722,33,1.8707,-6.5432,-11.4829,-0.5561,0.8838,1.9383,91,4720.729,91272,1.1179,0.1401,-9.307,-1.1398,1.2662,1.7792,61
2.161,41,-0.9882,12.0072,-10.0512,0.7309,0.2168,-0.2257,93,1.773,34,6.2846,-7.3163,-10.5812,0.2658,-0.0042,1.3584,91,4720.781,91273,0.8908,-0.0572,-9.2891,-0.8638,1.5242,1.9742,61
2.213,42,-0.1795,10.9438,-10.0642,0.8649,0.2569,-0.2681,93,1.825,35,7.7249,-8.546,-11.3546,0.6682,-0.5597,1.0824,91,4720.832,91274,0.7243,-0.202,-9.291,-0.6524,1.7156,2.1166,61
2.265,43,0.4806,10.0917,-10.296,0.7204,0.2572,-0.1994,93,1.877,36,5.4564,-8.1712,-11.8274,0.1784,-0.4248,0.563,91,4720.884,91275,0.5885,-0.3118,-9.2884,-0.4896,1.8574,2.2205,61
2.317,44,1.0475,9.9675,-10.491,0.6491,0.2659,-0.1632,93,1.929,37,3.7587,-8.2864,-12.2575,0.1175,-0.3806,0.4334,91,4720.936,91276,0.4832,-0.3948,-9.2708,-0.361,1.9639,2.2963,61
2.369,45,1.2345,9.9493,-10.9918,0.656,0.3225,-0.1462,93,1.981,38,2.5484,-8.2584,-12.592,0.0606,-0.3729,0.3361,91,4720.988,91277,1.9979,-2.9719,-5.9954,-0.2572,2.0215,2.3516,61
2.42,46,1.4216,9.7859,-11.6798,0.6745,0.3633,-0.1148,93,2.033,39,1.6914,-8.2203,-12.9319,0.0964,-0.4575,0.1658,91,4721.039,91278,0.9062,-3.0267,-6.6288,-0.7967,1.7604,1.8406,61
2.472,47,1.1165,9.8247,-11.9107,0.7996,0.4292,-0.1221,93,2.084,40,1.155,-8.5112,-13.3489,0.016,-0.5288,0.0566,91,4721.091,91279,-2.413,-2.7203,-5.7273,-1.2594,1.5898,0.67,61
2.524,48,0.6082,9.5983,-12.204,0.8015,0.4804,-0.0747,93,2.136,41,0.3577,-8.6057,-13.6538,-0.1697,-0.4581,0.0573,91,4721.143,91280,-2.3274,-3.6919,-4.4825,-1.2262,1.6166,-0.187,61
2.576,49,-0.1228,8.7163,-12.5302,1.1962,0.4987,-0.0007,93,2.188,42,-0.5436,-8.4672,-13.6266,-0.266,-0.3774,0.0327,91,4721.195,91281,-1.9907,-5.4392,-5.269,-0.8872,1.2837,-0.7623,61
2.627,50,-0.2341,6.7211,-13.1234,0.9321,0.4554,0.1385,93,2.24,43,-2.0498,-9.0046,-14.3751,-0.5512,-0.1744,-0.1064,91,4721.246,91282,-0.5623,-6.6451,-6.1136,-0.621,0.8154,-0.704,61
2.679,51,-0.8442,5.8027,-13.3963,1.3384,0.387,0.3636,93,2.292,44,-2.5652,-8.3235,-14.2992,-0.7654,-0.1249,-0.064,91,4721.298,91283,-0.0979,-6.9756,-6.2389,-0.51,0.3456,-0.4255,61
2.731,52,-1.0883,4.3641,-13.1989,1.6512,0.5436,0.6723,93,2.343,45,-2.6631,-7.3506,-14.3077,-0.6635,-0.064,-0.0592,91,4721.35,91284,-0.2783,-7.1488,-6.4311,-0.4271,0.0359,-0.1522,61
2.783,53,-0.845,3.5251,-12.8462,1.8795,0.8706,0.9377,93,2.395,46,-2.634,-5.734,-13.921,-0.5197,0.192,-0.3058,91,4721.402,91285,-0.4382,-7.3888,-6.4238,-0.3221,-0.0665,-0.0428,61
2.835,54,-0.1069,2.6771,-14.7144,2.0461,1.1527,0.945,93,2.447,47,-2.4111,-4.4328,-13.4243,-0.495,0.5117,-0.7091,91,4721.453,91286,-0.3099,-7.4395,-6.398,-0.1241,-0.1279,0.0427,61
2.886,55,1.0416,2.9401,-15.595,2.1677,1.5141,0.2941,93,2.499,48,-1.6477,-3.2932,-13.2886,-0.9493,0.9289,-1.2039,91,4721.505,91287,-0.2113,-8.067,-6.1275,0.1005,-0.1325,0.1506,61
2.938,56,3.011,3.5655,-17.2138,0.9047,1.4473,0.166,93,2.551,49,-0.3951,-4.5226,-13.8335,-1.3729,1.357,-1.5633,91,4721.557,91288,-0.0974,-8.1876,-5.872,0.2876,-0.1028,0.1834,61
2.99,57,4.4555,2.9901,-18.6032,-0.0171,1.1577,0.4818,93,2.602,50,1.4358,-6.7278,-15.381,-1.141,1.6226,-1.5374,91,4721.609,91289,0.1761,-8.0256,-5.3675,0.4476,-0.0234,0.0895,61
3.042,58,5.7353,3.2001,-17.8786,-0.6896,1.1519,0.4827,93,2.654,51,2.6274,-7.3986,-16.3678,-0.161,0.9496,-1.5364,91,4721.661,91290,0.5164,-7.1905,-4.96,0.6298,0.1431,0.0261,61
3.094,59,7.3156,4.3866,-16.7611,-1.1286,1.3171,0.2213,93,2.706,52,4.3404,-6.5674,-16.1886,0.2107,0.6115,-1.2023,91,4721.712,91291,1.2737,-6.7249,-4.0509,0.8057,0.2363,0.0182,61
3.145,60,8.2363,5.1345,-15.4459,-0.9404,1.4157,-0.1995,93,2.758,53,4.6438,-7.6095,-15.6757,0.1847,0.6872,-0.4832,91,4721.764,91292,1.1428,-5.6107,-4.3856,0.704,0.269,0.0712,61
3.197,61,9.2221,6.9264,-14.367,-1.3637,1.2516,-0.8207,93,2.81,54,5.2338,-6.8483,-15.5398,-0.2467,0.8774,-0.1911,91,4721.816,91293,0.871,-4.0823,-5.3442,0.4158,0.3769,0.2085,61
3.249,62,9.568,8.2092,-14.0746,-1.6727,1.0152,-1.2741,93,2.862,55,5.7895,-7.7696,-15.4657,-0.2656,0.9146,0.1307,91,4721.867,91294,0.7587,-2.8049,-6.6364,0.016,0.6239,0.382,61
3.301,63,8.4498,9.1499,-13.2596,-1.8982,0.6363,-1.605,93,2.914,56,6.6125,-10.3657,-15.6137,0.4713,0.6661,0.7608,91,4721.92,91295,1.0204,-2.1368,-7.7826,-0.3552,0.8194,0.4898,61
3.353,64,5.8936,4.2031,-12.9772,-1.3021,-0.2007,-0.5366,93,2.965,57,7.3595,-11.7316,-16.1798,1.0157,-0.1865,1.2206,91,4721.971,91296,0.8071,-1.6119,-8.2196,-0.643,0.8241,0.5394,61
3.404,65,3.8684,6.5924,-11.0236,-1.2531,-0.2873,-0.2929,93,3.017,58,6.0787,-10.8929,-15.894,1.4131,-0.8088,1.5563,91,4722.023,91297,0.6362,-1.2459,-8.5441,-0.8515,0.8282,0.5769,61
3.456,66,3.6314,8.2215,-10.1113,-0.5898,-0.3593,-0.3542,93,3.069,59,3.8135,-6.315,-13.9215,0.3513,-0.6318,0.4494,91,4722.075,91298,0.5174,-1.007,-8.7885,-1.0014,0.8326,0.6059,61
3.508,67,3.6252,9.3896,-8.8108,-0.3103,-0.3646,-0.5292,93,3.121,60,2.8389,-7.6216,-12.5744,0.9137,-0.3071,0.219,91,4722.126,91299,-0.4992,3.9974,-3.8509,-0.5787,0.5145,0.6872,61
3.56,68,3.6316,9.2366,-8.5986,-0.1976,-0.3936,-0.5074,93,3.173,61,3.8219,-5.9745,-13.6568,-0.0132,-0.1403,-0.2222,91,4722.178,91300,-0.316,2.8809,-5.5513,-0.4639,0.4584,0.6619,61
3.612,69,3.6806,8.7869,-8.3532,0.025,-0.1598,-0.6501,93,3.224,62,3.8801,-7.4712,-13.0004,-0.0019,-0.3588,-0.0318,91,4722.23,91301,-0.2188,2.0707,-6.6658,-0.3804,0.4206,0.6504,61
3.663,70,3.5005,8.8981,-8.6407,0.1052,0.076,-0.7639,93,3.276,63,3.5876,-7.653,-12.3332,-0.0559,-0.2623,0.3382,91,4722.282,91302,-0.1323,1.4865,-7.5111,-0.3184,0.3933,0.6419,61
3.715,71,3.0696,9.1951,-8.8448,0.3165,0.0292,-0.5814,93,3.328,64,3.0394,-7.6248,-11.9676,-0.0806,-0.2823,0.3159,91,4722.333,91303,-0.0766,1.052,-8.1309,-0.2718,0.3733,0.6363,61
3.767,72,2.864,9.7822,-8.6802,0.2659,-0.0724,-0.4743,93,3.38,65,2.5911,-7.8033,-11.9478,-0.1695,-0.274,0.1878,91,4722.385,91304,-0.0379,0.7235,-8.5766,-0.237,0.3585,0.6323,61
3.819,73,2.8889,9.5088,-8.1429,0.1709,-0.1553,-0.1858,93,3.432,66,2.3207,-8.0805,-12.1162,-0.4606,-0.2513,0.006,91,4722.437,91305,-4.0228,-0.4383,-4.0117,-0.1103,0.2145,0.2688,61
3.87,74,2.4744,10.0385,-8.392,0.4997,-0.1416,-0.0576,93,3.483,67,1.96,-8.7146,-11.784,-0.5601,0.0053,0.108,91,4722.489,91306,-4.6996,-4.319,-5.4253,-0.0241,0.1562,-0.0842,61
