right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.239,4,-0.4938,-2.292,-19.491,0.7826,-1.864,0.7827,91,0.106,2,3.8327,4.2777,-10.1763,0.2156,-1.8954,1.2624,87,13143.969,254145,-9.0999,0.5253,-1.712,1.0436,-0.8197,0.8294,59
0.291,5,0.9291,-2.4088,-18.3762,1.2455,-1.2943,0.8428,91,0.158,3,7.717,8.4489,-9.0332,0.7195,-2.056,1.5868,87,13144.021,254146,-9.1203,1.0401,-1.5803,1.4355,-0.9753,1.207,59
0.343,6,0.7283,-2.0673,-17.8453,1.5549,-0.2622,0.6969,91,0.209,4,7.3852,8.4131,-9.445,1.1969,-0.8215,0.4749,87,13144.072,254147,-8.6602,0.8815,-2.3681,1.7216,-0.9439,1.5173,59
0.394,7,0.3987,-1.6008,-17.9761,1.5435,0.491,0.4638,91,0.261,5,4.1547,8.3182,-13.7025,1.5453,0.0795,-0.0222,87,13144.124,254148,-7.4754,0.5816,-3.4138,1.9304,-0.669,1.628,59
0.446,8,0.1384,-1.7025,-18.7312,1.5579,1.0408,0.1023,91,0.313,6,2.9226,8.0924,-15.374,0.4858,-0.2529,0.5118,87,13144.176,254149,-5.428,0.2082,-4.6405,2.0827,-0.2437,1.6522,59
0.498,9,-0.6912,-2.8013,-20.5122,1.1871,1.442,-0.4514,91,0.365,7,2.6576,6.6049,-16.3253,0.9992,-0.0647,0.6582,87,13144.228,254150,-3.7626,-0.2974,-5.7861,2.194,0.1086,1.5085,59
0.55,10,-0.8021,-2.968,-21.6614,0.557,1.5599,-0.6584,91,0.417,8,3.6548,7.6284,-19.3876,1.401,-0.7146,0.1248,87,13144.279,254151,-2.6472,-2.3444,-6.7239,2.2526,0.376,1.3052,59
0.602,11,0.2107,-2.7939,-22.564,-0.2708,1.0458,-0.4694,91,0.468,9,6.4267,6.6578,-19.9752,1.6511,-1.1942,-0.1259,87,13144.331,254152,-2.0995,-3.9662,-7.2278,1.8546,0.6429,1.4429,59
0.653,12,0.3135,-2.7047,-22.3612,-0.875,1.1841,-0.3235,91,0.52,10,5.6254,6.6562,-20.1921,1.6125,-1.5442,-0.2551,87,13144.383,254153,-1.4301,-5.0571,-8.3583,1.092,0.9368,1.7288,59
0.705,13,-0.1637,-1.9226,-22.1944,-0.3032,0.8651,-0.2227,91,0.572,11,8.4441,8.3255,-22.6769,1.1979,-1.7997,-0.826,87,13144.435,254154,-0.8535,-3.6945,-8.6429,0.3778,1.1376,1.9374,59
0.757,14,0.1964,-0.6654,-24.195,0.4531,-0.0379,-0.8113,91,0.624,12,6.0834,6.5656,-21.8706,0.3142,-1.276,-0.8912,87,13144.487,254155,-0.423,-2.6645,-8.8693,-0.1367,1.2925,2.0897,59
0.809,15,4.3982,2.2095,-23.3601,1.0051,-0.697,-1.2672,91,0.676,13,3.9344,5.8348,-21.2973,0.0732,-1.0095,-0.9303,87,13144.538,254156,4.8562,3.3864,-4.6531,-0.4398,0.8266,1.5986,59
0.86,16,3.6682,1.4094,-24.5266,0.0562,-1.177,-0.7385,91,0.727,14,2.0364,6.5054,-20.7386,-0.0008,-1.1156,-0.9532,87,13144.59,254157,3.5144,2.5977,-4.6574,-0.4905,0.164,1.1638,59
0.912,17,4.1659,1.5932,-24.532,0.3707,-1.5284,-1.2141,91,0.779,15,1.2434,6.1108,-19.9958,-0.2027,-1.3809,-0.9246,87,13144.642,254158,2.6169,1.9501,-5.9767,-0.5278,-0.322,0.8452,59
0.964,18,2.854,0.8712,-21.5753,-0.1297,-0.8016,-0.2099,91,0.831,16,-0.2054,6.4287,-19.103,-0.1555,-1.197,-1.1246,87,13144.694,254159,1.9653,1.4669,-6.9467,-0.5548,-0.6764,0.6114,59
1.016,19,1.6982,0.0661,-19.9071,-0.6165,-0.0036,-0.8283,91,0.883,17,-1.5293,6.6024,-18.9922,-0.2764,-1.3091,-1.3143,87,13144.745,254160,1.4956,1.1129,-7.6384,-0.5749,-0.9345,0.4405,59
1.068,20,-0.2134,-0.7871,-19.9117,-0.5367,0.609,-0.5522,91,0.935,18,-2.32,6.3455,-18.6389,-0.5214,-1.5118,-1.3148,87,13144.797,254161,1.1603,0.8663,-8.1496,-0.59,-1.1227,0.3155,59
1.119,21,-0.8566,-0.7626,-20.6341,-0.1307,-0.2248,-0.5209,91,0.986,19,-2.5446,5.7619,-17.3902,-0.8452,-1.526,-1.2332,87,13144.849,254162,6.2052,-0.5759,-8.2438,-0.5559,-0.8379,0.7008,59
