right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.557,10,-3.4703,-0.8653,-6.7416,0.6093,-0.6837,-0.8265,91,0.567,10,2.7947,5.8278,-17.4069,0.9402,0.8336,-0.5498,92,4968.196,96056,-5.8887,-4.5973,-7.876,-0.0974,0.4,-0.38,61
0.609,11,-3.0455,-0.8408,-9.0489,1.1168,-1.1683,-1.2783,91,0.619,11,1.1925,7.7018,-17.9456,1.3579,1.2835,-0.8902,92,4968.247,96057,-3.2338,-2.1628,-8.4472,0.0354,0.3667,-0.2348,61
0.661,12,-0.1945,-5.8114,-14.6008,1.4895,-1.522,-1.6081,91,0.67,12,1.8711,9.7731,-21.0373,0.4938,0.2641,-1.2959,92,4968.299,96058,2.04,-0.0136,-10.2936,0.301,0.1948,0.2228,61
0.712,13,4.9149,1.1485,-8.2007,0.4097,-0.5493,-1.3124,91,0.722,13,6.1236,12.4597,-23.2938,0.9582,-0.4799,-1.6321,92,4968.351,96059,5.9578,5.3212,-10.988,0.8936,-0.2923,0.8383,61
0.764,14,5.8149,0.1846,-9.2185,-0.3784,0.2815,-1.025,91,0.774,14,6.6631,14.4205,-19.3553,0.6137,-1.0229,-1.8776,92,4968.403,96060,4.6697,3.9395,-11.043,1.174,-0.6837,1.2875,61
0.816,15,4.4364,-0.3307,-10.6932,-0.9535,0.8879,-0.9387,91,0.826,15,6.3402,13.1483,-13.1411,-0.2321,-1.4193,-2.0567,92,4968.454,96061,3.2209,3.0443,-10.4441,1.3733,-0.973,1.6154,61
0.868,16,1.6478,-3.976,-13.1211,-1.3733,1.3305,-0.6547,91,0.878,16,3.185,7.9345,-12.7865,-0.8494,-0.5069,-2.1875,92,4968.506,96062,-2.8808,-1.367,-5.0591,1.1678,-0.6576,1.3779,61
0.92,17,1.1544,-8.0996,-16.0163,-0.5229,0.3818,-0.3256,91,0.929,17,0.611,7.8109,-13.0745,-1.184,-1.0426,-1.3229,92,4968.558,96063,-2.0451,-0.9147,-5.6597,0.3989,-0.0401,0.7611,61
0.971,18,5.8993,-11.1092,-17.8919,-0.2306,-0.3907,0.439,91,0.981,18,3.1534,5.9465,-12.2541,-0.5311,-0.1502,-1.0737,92,4968.609,96064,-1.5735,-0.4841,-6.603,-0.1844,0.413,-0.0154,61
1.023,19,8.0065,-12.1923,-14.3318,-0.3827,-0.9545,0.997,91,1.033,19,-3.3685,7.403,-12.4822,-0.9376,0.5695,-1.0071,92,4968.661,96065,-1.2271,-0.2007,-7.3206,-0.6159,0.7389,-0.6638,61
