right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.673,13,0.7351,-7.5201,-9.2461,1.343,0.3264,-0.9662,95,0.168,3,2.2573,9.5521,-9.7325,-1.1871,1.1151,-0.0064,92,4044.046,78190,-4.5275,2.4686,-1.1274,-0.1917,-0.0329,-0.04,61
0.725,14,1.0639,-7.2084,-8.536,0.6298,-0.1534,-1.0354,95,0.22,4,1.4912,9.314,-11.1237,-0.7608,1.4929,0.1097,92,4044.097,78191,-4.8228,2.3471,-1.2985,-0.1215,-0.0586,-0.014,61
0.777,15,1.9567,-7.3251,-8.0755,0.0721,-0.2921,-1.0583,95,0.271,5,0.6996,9.5287,-12.285,-0.6499,1.5577,0.2362,92,4044.149,78192,-5.1018,2.2112,-1.1911,-0.111,-0.0462,-0.0232,61
0.828,16,2.6706,-6.9289,-7.9231,-0.0658,-0.3403,-1.2169,95,0.323,6,-0.302,9.1679,-12.2649,-1.0555,1.4074,0.4213,92,4044.201,78193,-5.1069,2.3741,-1.1422,-0.0825,-0.0244,-0.0057,61
0.88,17,3.7308,-6.4257,-7.856,-0.1573,-0.5166,-1.5633,95,0.375,7,-0.9491,8.56,-11.9567,-1.1061,1.1352,0.6439,92,4044.252,78194,-4.9691,2.4741,-1.298,0.0301,-0.0035,0.0597,61
0.932,18,4.9796,-5.8982,-8.0545,-0.7922,-0.6459,-1.4492,95,0.427,8,-1.2775,8.0592,-11.6718,-0.6984,0.7981,0.829,92,4044.304,78195,-4.5677,1.7751,-2.3703,0.1035,0.0002,0.0748,61
0.984,19,5.7069,-7.2517,-11.5525,-0.633,-1.0951,-0.8799,95,0.479,9,-1.2738,7.7772,-11.2939,-0.5733,0.4976,0.9993,92,4044.356,78196,-3.3126,1.3105,-4.3107,0.1471,-0.0127,0.0605,61
1.035,20,8.5081,-10.4903,-7.3041,0.0919,-1.4686,-0.7173,95,0.53,10,-0.6129,7.35,-10.8313,-0.4586,0.2457,1.3156,92,4044.408,78197,-2.4228,0.9829,-5.7665,0.1783,-0.0217,0.0497,61
1.087,21,9.5844,-11.5649,-5.0488,-0.1973,-1.7412,-0.7922,95,0.582,11,0.0218,6.6012,-11.5104,-0.1796,0.0571,1.6256,92,4044.46,78198,-1.7655,0.7315,-6.8408,0.1999,-0.0284,0.0411,61
1.139,22,8.2589,-11.1194,-8.1458,0.189,-0.7293,-0.4386,95,0.634,12,1.3769,7.857,-12.8777,0.5407,-0.1439,1.8454,92,4044.511,78199,-1.2852,0.5597,-7.5923,0.215,-0.0329,0.0345,61
