right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.552,10,-1.0782,-1.333,-13.7547,-0.6284,1.0475,-0.1389,75,0.249,4,4.5784,0.7619,-4.8238,-0.9928,0.2612,0.6898,85,0.283,5,4.1152,1.0537,-14.0378,-0.8411,0.3639,1.7351,75
0.603,11,4.2707,-3.5291,-14.5213,0.2158,0.0952,-0.7765,75,0.301,5,6.4619,2.4701,-9.1957,-0.5656,0.6056,1.1688,85,0.335,6,4.403,2.9597,-12.5028,-0.2321,0.2583,1.3027,75
0.655,12,8.1746,-7.4023,-15.8275,-0.5199,-0.3624,0.1099,75,0.352,6,6.8678,3.908,-12.4627,0.0315,0.1333,1.5184,85,0.387,7,2.7727,1.75,-17.13,0.5071,-0.2916,0.91,75
0.707,13,5.3665,-9.4483,-13.3663,-0.1166,0.308,0.4979,75,0.404,7,5.5558,5.4813,-14.4443,0.1208,-0.3607,1.7446,85,0.438,8,7.2894,1.4187,-18.7853,0.3678,-0.2577,0.3805,74
0.758,14,-0.308,-8.9227,-15.0457,0.1283,-0.4446,1.0401,75,0.456,8,1.3956,9.3274,-12.4385,0.7599,-0.9315,1.6945,85,0.49,9,10.5859,0.8514,-17.3601,0.3695,-0.1256,0.4331,74
0.811,15,0.9367,-6.9173,-16.4756,0.768,-0.9938,1.4119,75,0.508,9,5.9385,12.1344,-9.0979,1.2263,-1.3525,0.5714,85,0.542,10,9.2951,0.5979,-15.4757,0.5264,0.2988,-0.1249,74
0.862,16,3.4968,-4.9172,-16.5373,1.2119,-1.3946,1.5263,75,0.56,10,9.2541,13.6047,-5.9199,0.215,-1.6598,0.2461,85,0.594,11,8.8024,4.3415,-11.6626,-0.2542,0.1871,-0.3229,74
0.914,17,5.2191,-0.5982,-15.5268,1.2104,-1.6872,1.7906,75,0.611,11,6.4334,4.6685,-6.6757,-0.5231,-0.5516,-0.4046,85,0.646,12,6.4436,0.4011,-11.8784,-0.7398,0.8113,-0.8964,74
0.966,18,7.1275,0.0926,-14.3971,0.4163,-1.9007,1.9835,75,0.663,12,6.2866,-0.6276,-8.7539,0.2645,-0.5464,-0.23,85,0.698,13,6.0001,-0.3835,-13.7409,0.1366,1.0316,-1.3283,74
1.017,19,10.2596,-5.1301,-13.6748,-0.2576,-1.8411,2.0977,75,0.715,13,4.3389,-1.3321,-9.7781,0.8647,0.0768,0.042,85,0.749,14,5.2503,-1.6302,-13.1821,0.7762,0.0795,-1.6435,74
1.069,20,8.3548,-8.9419,-17.977,-0.8654,-0.6613,0.856,75,0.767,14,3.1171,-1.729,-10.8767,0.9864,0.3909,0.6572,85,0.802,15,7.0935,-2.773,-11.6508,0.1818,-0.6154,-0.6362,74
1.121,21,5.1929,-11.6953,-19.0202,0.0428,0.1998,0.2126,75,0.819,15,0.9735,-1.32,-11.4678,0.6813,0.554,1.145,85,0.853,16,7.3536,3.328,-16.5081,0.0181,-0.9541,-0.7925,74
1.173,22,-1.7423,-6.1718,-17.205,0.1861,0.7194,0.2352,75,0.87,16,4.2452,-0.3912,-10.8601,-0.1795,-0.2683,1.5011,85,0.905,17,10.6327,7.4487,-15.5017,-0.0191,-0.018,-0.9455,74
1.225,23,-2.8471,-6.026,-15.9097,0.4606,0.3633,0.1812,75,0.922,17,8.0182,1.6029,-11.0229,-0.2546,-0.0076,1.7609,85,0.957,18,7.4253,0.1994,-19.3187,-0.6892,0.6652,-0.033,74
1.276,24,-2.8428,-5.8773,-15.4567,0.4994,-0.3052,0.208,75,0.974,18,10.7719,1.2089,-8.7494,-0.0465,-0.6757,0.5988,85,1.009,19,7.613,-4.4626,-19.2932,-0.7879,-0.1879,0.6537,74
1.328,25,-1.1909,-3.4728,-15.959,0.5977,-0.8918,0.503,75,1.026,19,4.8167,-2.0668,-8.9766,-0.714,0.1859,0.2301,85,1.06,20,5.8319,-3.2079,-16.4417,0.1015,-0.8105,1.1545,74
1.38,26,3.9435,-2.0251,-14.9915,-0.2411,-1.3202,1.0437,75,1.078,20,2.9222,1.2208,-8.0288,-0.1167,0.1134,-0.183,85,1.112,21,6.3974,1.9713,-12.9219,-0.2482,-0.1021,1.5204,74
1.432,27,4.9023,-6.6757,-14.3056,-0.8534,-1.1354,1.4384,75,1.129,21,3.671,0.5469,-9.069,-0.7652,0.4324,-0.432,85,1.164,22,8.3391,6.7906,-10.7157,-0.8564,0.5511,1.7874,74
1.483,28,3.9805,-7.4146,-15.9463,-0.6664,-0.1463,0.6727,75,1.181,22,2.7486,0.4213,-10.0901,-0.6589,0.9946,-0.6707,85,1.216,23,6.6385,8.2902,-15.8257,-1.3002,0.9778,1.4744,74
1.535,29,4.3903,-10.2724,-18.3286,-0.2838,0.545,-0.1841,75,1.233,23,2.555,0.1944,-11.1445,0.1908,1.405,-1.1759,85,1.267,24,10.1108,6.1669,-9.9847,-0.4095,0.3781,0.9614,74
1.587,30,3.5415,-6.3407,-17.2156,0.3501,1.0802,-0.1921,75,1.285,24,6.7847,2.368,-10.5506,0.811,1.0425,-1.5446,85,1.319,25,11.0327,9.8528,-13.1248,-0.2626,0.8755,0.7243,74
1.639,31,2.9701,-4.3719,-15.3518,-0.1988,1.4708,-0.0963,75,1.337,25,9.8716,4.1482,-8.7527,0.4189,1.2468,-1.8137,85,1.371,26,10.2391,4.6494,-12.6295,0.317,0.5948,0.0684,74
1.691,32,3.3008,-3.4485,-14.4614,-0.7708,1.7558,-0.0017,75,1.388,26,9.8736,8.1128,-6.684,0.2446,0.5162,-0.8973,85,1.423,27,6.6845,7.4795,-9.1299,-0.4248,1.0717,-0.5795,74
1.742,33,1.8755,-4.1461,-14.433,-1.2399,1.9639,0.6557,75,1.44,27,1.5362,8.6982,-4.9523,-0.5015,0.3704,-0.7211,85,1.475,28,6.4715,3.764,-9.8119,-0.3633,1.4606,-0.8833,74
1.794,34,-1.1462,-7.0729,-15.141,-1.4277,2.1158,1.1552,75,1.492,28,0.2218,7.7376,-3.6019,-1.0461,-0.337,-1.0216,85,1.526,29,5.8205,2.0765,-11.1483,0.4114,1.7443,-1.3187,74
1.846,35,4.221,-6.4023,-19.0471,-1.1108,0.8748,1.5186,75,1.544,29,0.3106,9.8626,-5.6293,-0.8682,-0.0461,-1.3475,85,1.578,30,3.8629,-1.7113,-14.4153,0.9768,1.9486,-1.6364,74
1.898,36,4.7856,-9.8704,-19.9373,-0.9491,1.3205,0.4974,75,1.596,30,2.536,8.9474,-6.6695,-0.5897,0.2084,-1.6699,85,1.63,31,8.085,-4.5648,-7.9368,0.5522,0.7488,-1.0315,74
1.95,37,2.59,-7.9619,-15.3211,-0.0183,1.0528,-0.3121,75,1.647,31,6.7707,6.5201,-4.2327,-0.8305,0.4007,-1.9051,85,1.682,32,11.1666,2.0203,-13.7975,0.5352,0.4435,-1.3438,74
2.001,38,1.928,-0.8596,-11.1451,0.661,0.1007,-0.8846,75,1.699,32,8.1369,2.012,-4.577,-1.0333,0.9716,-1.8884,85,1.733,33,13.4156,5.088,-8.9655,-0.1711,1.0021,-0.6196,74
2.053,39,4.1862,1.6196,-10.4133,-0.195,0.7559,-1.3179,75,1.751,33,5.2766,0.41,-7.3458,-0.2096,0.4267,-0.7129,85,1.785,34,7.4658,-0.4717,-12.7433,-0.8001,1.2582,0.2237,74
2.105,40,5.5808,1.2858,-11.0712,-0.8197,1.2341,-1.637,75,1.803,34,8.142,-1.7756,-8.1033,-0.5323,-0.2333,0.1451,85,1.837,35,7.6359,-5.5813,-12.4212,-0.893,0.3342,0.841,74
2.157,41,5.8208,-4.0164,-14.2141,-1.2756,1.5307,-1.8698,75,1.855,35,8.7534,-0.211,-9.3572,0.2833,-0.8374,0.7713,85,1.889,36,3.9221,-2.3277,-10.7095,-0.7153,0.7114,1.2915,74
2.208,42,5.0257,-8.1291,-18.3706,-0.2566,1.1694,-1.9583,75,1.907,36,8.5045,2.1584,-9.4708,0.8785,-1.2839,1.2283,85,1.941,37,4.0704,3.6521,-10.2133,-1.1949,1.0461,1.5764,74
2.26,43,8.7256,-7.7293,-17.2505,0.4871,0.1842,-0.7592,75,1.959,37,8.2691,3.8115,-7.1893,1.3129,-1.0395,1.5618,85,1.993,38,5.1028,5.849,-15.459,-0.1956,0.4979,0.7335,74
2.312,44,5.0451,-7.8441,-17.2221,1.0299,-0.094,0.0741,75,2.01,38,10.955,3.832,-8.881,1.6299,-0.7126,1.8053,85,2.044,39,8.99,7.1007,-11.8308,-0.7907,-0.2331,0.6195,74
2.364,45,8.7397,-2.5893,-16.618,0.9929,-0.7379,0.7307,75,2.062,39,12.9154,8.1236,-8.2691,1.6136,0.159,1.9829,85,2.096,40,5.6581,0.0229,-16.6395,0.0994,-0.2,-0.2167,74
2.416,46,5.9576,0.814,-16.1472,0.5452,-0.4842,1.1647,75,2.114,40,5.1568,5.1538,-9.2793,0.4976,0.7951,2.1126,85,2.148,41,-1.1946,5.3686,-15.4531,0.5538,-0.2477,-0.8322,74
2.467,47,5.9959,3.6506,-13.4891,1.0433,-0.5337,0.5618,75,2.166,41,5.2911,4.0161,-11.7537,1.0349,0.0829,1.9799,85,2.2,42,-0.1714,-1.3188,-15.7113,1.0807,-0.6413,-1.2814,74
2.519,48,9.4337,4.1556,-11.6224,0.2012,-0.7401,0.0402,75,2.218,42,3.4919,1.5287,-13.5126,0.8544,-0.4392,1.9286,85,2.252,43,3.5295,-3.3205,-13.3209,1.4653,-1.1414,-1.6059,74
2.571,49,11.9427,-2.1648,-10.9499,0.334,-0.5613,-0.2622,75,2.269,43,3.7505,-0.1776,-12.1123,1.2953,-0.7415,2.0536,85,2.303,44,6.2136,-3.0656,-15.8592,0.43,-1.2985,-0.507,74
2.623,50,8.1971,-5.2359,-12.3546,-0.4336,0.2727,0.0708,75,2.321,44,4.3211,2.1931,-10.2095,0.9561,-0.6902,2.1642,85,2.355,45,9.8007,3.1145,-19.5796,-0.1875,-1.6008,-0.8521,74
2.674,51,0.4817,-4.0491,-16.952,-0.8108,-0.1002,0.2696,75,2.373,45,8.0736,3.1984,-10.2317,0.0178,-1.1389,1.8091,85,2.407,46,12.4187,3.7776,-18.6221,-0.7811,-0.49,-0.6495,74
2.726,52,1.5844,-3.1539,-20.3689,-0.6084,-0.7425,0.3237,75,2.425,46,10.1543,3.4554,-6.449,-0.667,-0.9146,0.634,85,2.459,47,8.9815,-2.48,-20.2066,-1.2453,0.1858,0.2037,74
2.778,53,5.9651,-2.4217,-22.8624,0.2271,-1.2112,0.1055,75,2.477,47,10.1085,-0.2153,-7.0744,-1.106,-0.096,-0.2223,85,2.511,48,9.7245,-6.5165,-19.3576,-1.1351,-0.5378,0.8264,74
2.83,54,9.4112,-0.6695,-22.4728,0.8401,-1.5533,0.4751,75,2.528,48,5.3292,0.8379,-7.3302,-0.9155,0.2603,-0.8486,85,2.562,49,6.7682,-4.926,-15.2844,-0.1519,-0.8009,1.2809,74
2.882,55,11.9263,-2.8811,-20.0019,0.1875,-1.803,1.0234,75,2.58,49,5.3718,1.0593,-8.5615,-0.8257,0.8582,-0.9483,85,2.614,50,7.9517,1.7567,-11.8257,-0.7861,0.0938,1.6126,74
2.933,56,9.8117,1.4301,-15.0391,0.8113,-0.7162,0.0718,75,2.632,50,7.3482,0.3381,-10.4449,-0.6899,0.5618,-1.2507,85,2.666,51,10.2901,3.7487,-12.9758,-0.0202,0.6801,1.4493,74
2.985,57,12.2186,6.3694,-12.5975,0.278,-1.1921,-0.6227,75,2.684,51,10.1682,-1.0504,-11.9732,-1.1789,-0.1635,-1.5821,85,2.718,52,12.7759,-2.1549,-11.9967,-0.3339,0.8553,1.1001,74
3.037,58,11.0481,1.2286,-13.3923,-0.4745,-0.1876,-1.1296,75,2.736,52,12.3411,-1.6244,-9.2153,-1.5405,-0.1076,-1.8411,85,2.769,53,11.4309,3.7791,-12.8336,0.2716,0.8344,0.6587,74
3.089,59,11.564,1.2386,-13.5895,-1.0166,0.3004,-1.4995,75,2.787,53,3.337,-6.3266,-8.4699,-1.6138,0.6006,-1.9385,85,2.821,54,13.6085,3.097,-12.7981,0.8748,-0.0644,-0.0957,74
3.14,60,12.2326,-3.459,-15.0623,-1.4193,0.9017,-1.7695,75,2.839,54,1.4953,0.7094,-9.8333,-1.2767,-0.2343,-1.9458,85,2.873,55,12.5979,4.5067,-8.5433,0.6764,-0.7204,-0.6846,74
3.192,61,12.7301,-4.2107,-14.3508,-1.7133,1.3405,-1.5563,75,2.891,55,5.5392,3.7566,-10.1987,-1.1691,-0.5,-2.1065,85,2.925,56,6.974,4.5335,-4.2104,-0.1815,0.1526,-1.1737,74
3.244,62,14.3486,-8.2708,-18.4704,-1.9278,1.6608,-1.2378,75,2.943,56,8.6636,5.079,-6.5371,-1.427,0.058,-2.2238,85,2.977,57,7.8273,-1.9283,-11.0778,0.5441,0.7897,-1.5306,74
3.296,63,9.8997,-7.7371,-15.5157,-0.7326,1.5465,-1.5109,75,2.995,57,9.5005,0.7607,-3.1501,-1.7215,0.7052,-2.3094,85,3.028,58,10.9785,3.9445,-6.9694,0.7357,-0.0593,-1.7571,74
3.348,64,6.4646,-1.7887,-18.3811,-0.4115,0.4633,-1.6737,75,3.046,58,11.8538,-1.013,-2.9948,-1.0038,1.1642,-1.6234,85,3.08,59,13.2783,5.1803,-10.061,0.8276,0.3376,-1.803,74
3.4,65,5.4222,-3.3658,-20.3593,-0.9777,1.0205,-1.1032,75,3.099,59,7.2978,-2.1488,-8.0135,-1.3505,1.4051,-0.5195,85,3.132,60,13.194,5.2198,-11.6126,-0.0712,0.9246,-0.6382,74
3.452,66,2.9949,-7.4476,-19.7586,-0.7048,0.6866,-1.2589,75,3.15,60,4.3754,-0.6506,-12.8737,-0.6142,0.8671,0.2863,85,3.184,61,12.2682,0.9735,-9.6041,-0.4379,0.187,0.212,74
3.503,67,2.4066,-8.2025,-17.3915,-1.0924,-0.1616,-0.2902,75,3.202,61,5.5831,0.2867,-13.8118,0.2234,-0.0398,0.8743,85,3.236,62,8.5425,4.4563,-8.6586,-0.9948,0.519,0.8324,74
3.555,68,6.814,-11.1843,-18.1172,-0.231,-0.7227,0.3101,75,3.254,62,5.3985,0.2767,-13.1731,0.8348,-0.3446,1.3035,85,3.287,63,11.3693,4.4249,-12.4584,-0.2292,0.8205,0.9704,74
3.607,69,6.881,-7.6499,-16.958,0.3788,-0.9439,0.8066,75,3.306,63,8.86,-1.0497,-10.2475,1.281,-0.9241,1.6167,85,3.339,64,13.5636,8.4434,-11.7553,0.5092,-0.0745,0.0469,74
3.659,70,10.0797,-5.6093,-18.2584,0.9509,-1.3582,0.8294,75,3.358,64,11.3863,4.489,-11.0782,0.5388,-1.3471,1.8453,85,3.391,65,15.1651,5.8025,-12.6827,0.2642,-0.5175,-0.0149,74
3.71,71,7.5928,-0.6371,-15.3489,1.2044,-1.4092,0.9711,75,3.41,65,13.2301,1.3795,-14.6407,-0.2868,-0.9743,2.0122,85,3.443,66,11.7687,-0.3583,-12.9348,-0.1445,-0.9262,-0.6849,74
3.762,72,4.9947,-1.2558,-14.5204,0.2283,-0.9805,0.8433,75,3.461,66,3.9859,0.4288,-15.5366,-0.0798,-1.038,1.902,85,3.495,67,4.9992,-0.0366,-12.1906,-0.3644,-0.2825,-1.1739,74
3.814,73,5.6001,0.2505,-12.5659,-0.1363,-1.2554,0.0604,75,3.513,67,4.8992,-1.8102,-16.1352,0.5126,-1.3505,1.5474,85,3.546,68,6.8802,-5.1164,-14.11,0.4106,0.0475,-1.5308,74
3.866,74,9.1448,-3.9266,-13.5011,-0.6906,-0.7805,0.4991,75,3.565,68,5.1685,-0.6481,-16.2862,1.0458,-1.6584,1.4177,85,3.598,69,10.2873,1.6177,-7.714,-0.1419,-0.0432,-0.8569,74
