right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.515,9,8.2161,1.5462,-10.2122,0.3184,-0.2276,0.0223,75,0.098,1,0.3997,2.9565,-11.5909,1.5194,0.6445,-0.5315,88,0.441,8,11.5709,-0.2538,-16.8467,-0.6213,-0.0296,-0.033,70,0.015,0,8.2002,-0.9169,-10.5555,-0.235,-0.3474,-0.0192,40
0.567,10,5.6736,2.4228,-9.3667,-0.4284,-0.1423,0.0382,75,0.15,2,-0.3985,3.4808,-11.6463,0.9923,0.3188,-0.4981,88,0.493,9,10.495,-2.0865,-13.7357,-1.1032,0.6567,-0.2209,70,0.067,1,9.349,-1.2383,-10.8702,-0.7893,-0.9203,0.0044,40
0.618,11,5.152,2.3931,-7.6754,-0.3324,-0.1341,-0.1634,75,0.201,3,-0.4175,2.4479,-11.0392,0.7643,0.0834,-0.6298,88,0.544,10,7.7681,-4.6866,-16.6887,-1.4804,0.5896,0.3172,70,0.119,2,6.8659,-5.9336,-14.8179,-1.1122,-1.036,0.0966,40
0.67,12,8.8172,-0.8358,-13.5983,-0.1162,-0.1139,-0.7881,75,0.253,4,-0.6418,2.4497,-10.1864,0.4636,0.0873,-0.7877,88,0.596,11,6.2208,-3.8341,-15.4976,-0.4039,0.214,0.7153,70,0.17,3,3.9946,-4.611,-18.1033,-0.6978,-1.1207,-0.4745,40
0.722,13,11.4923,0.1083,-16.3007,-0.2175,-0.3782,-0.8451,75,0.305,5,1.4371,4.3753,-9.9796,-0.2153,-0.5864,-0.8025,88,0.648,12,4.6259,-0.5732,-13.7177,0.3817,0.2388,0.881,70,0.222,4,0.7681,-1.8201,-20.6167,0.1654,-0.133,-0.1538,40
0.774,14,10.2803,-0.4194,-15.4449,0.4923,0.1586,-0.5226,75,0.357,6,5.9688,7.9964,-12.9164,-0.8371,-0.3249,-0.0554,88,0.7,13,4.5089,2.6398,-15.1292,0.9299,0.0597,0.7459,70,0.274,5,5.6779,-2.9077,-19.8886,0.6999,0.541,0.1577,40
0.826,15,4.7271,0.8183,-13.5117,0.8391,0.3086,-0.1328,75,0.409,7,9.2762,7.8458,-13.4155,-1.0807,-0.5646,0.4313,88,0.752,14,3.5296,2.699,-18.3144,0.8497,-0.1573,0.6551,70,0.326,6,2.5884,3.17,-22.4967,1.1855,1.0798,0.0004,40
0.877,16,2.7927,1.0586,-12.6931,0.2041,-0.0027,-0.0251,75,0.46,8,6.2765,6.1899,-11.8347,-1.4687,0.0506,0.7084,88,0.804,15,7.8418,4.2315,-16.677,0.9461,0.2256,0.5791,70,0.378,7,4.2454,3.162,-19.9995,0.3532,0.1213,-0.6046,40
0.929,17,2.2618,0.5597,-11.1995,0.2108,-0.1405,-0.3133,75,0.512,9,2.7146,2.6896,-12.7679,-1.2586,0.2015,0.5469,88,0.855,16,10.989,6.6659,-19.8321,0.8701,-0.0729,0.2683,70,0.429,8,3.1081,2.0436,-16.689,-0.4193,-0.3139,-0.3475,40
0.981,18,1.8434,0.9704,-10.4722,-0.1305,-0.0318,-0.3519,75,0.564,10,1.8685,1.8722,-12.3445,-0.2469,0.5064,0.2904,88,0.907,17,12.5601,6.0932,-18.935,0.155,0.6171,-0.095,70,0.481,9,2.4041,-0.353,-15.099,-0.9831,-0.2726,-0.4327,40
1.033,19,1.1747,0.665,-10.3414,-0.3987,-0.0353,-0.2538,75,0.616,11,1.115,1.7547,-11.6746,0.4901,0.5996,0.1764,88,0.959,18,9.7825,4.8652,-19.645,-0.5612,0.5546,-0.5406,70,0.533,10,3.3416,-4.6042,-13.6745,-0.0428,-0.4011,-0.976,40
1.085,20,2.2905,0.6704,-10.2322,-0.5907,-0.1636,-0.2923,75,0.668,12,-0.3189,1.2547,-10.9832,0.4641,0.4853,0.2448,88,1.011,19,7.4667,3.7638,-17.9589,0.1934,0.7444,-1.0686,70,0.585,11,2.7752,-5.6526,-17.9614,0.6432,-0.8265,-1.3285,40
