right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage
0.345,6,8.5551,2.1336,-9.2096,0.0498,0.1804,0.0209,75,0.022,0,8.6194,0.4261,-10.3974,-0.4123,-0.0754,-0.0326,86
0.397,7,8.6663,1.845,-9.263,0.2289,0.1646,0.0251,75,0.074,1,8.6797,0.8018,-10.3967,-0.4893,0.0666,0.031,86
0.448,8,8.2059,1.8208,-9.2609,0.3851,0.1612,0.0229,75,0.126,2,8.5733,0.2638,-10.8103,-0.8661,0.1015,0.2992,86
0.5,9,6.8608,1.6248,-9.1709,0.3541,0.1551,-0.0344,75,0.178,3,8.1125,-0.2933,-10.8388,-1.1086,0.1474,0.4529,86
0.552,10,5.0324,1.5009,-9.0355,0.2994,0.1141,-0.0567,75,0.229,4,7.1274,-0.572,-10.9672,-1.128,0.1758,0.5498,86
0.604,11,4.5181,1.6439,-9.1663,0.322,-0.1065,0.0565,75,0.281,5,4.7708,-0.818,-10.8402,-1.2143,0.4888,0.437,86
0.656,12,8.3552,2.6801,-9.9696,0.9094,-0.3586,0.1086,75,0.333,6,4.0431,-0.3954,-10.2398,-1.4871,-0.1052,0.6043,86
0.707,13,11.1556,2.7235,-11.8974,1.3381,-0.4943,0.0985,75,0.385,7,7.8707,-1.9651,-12.7781,-1.7653,-0.7494,1.1064,86
0.759,14,13.1327,2.8649,-12.1326,1.4455,-0.4866,0.0053,75,0.437,8,10.6643,-4.2432,-14.4664,-1.4038,-0.4128,0.7222,86
0.811,15,10.6162,3.2662,-12.2436,1.3419,0.0589,-0.1836,75,0.488,9,12.7031,-3.7562,-14.2557,-0.5169,0.1706,0.0628,86
0.863,16,6.1142,1.4457,-12.1309,0.4083,0.1414,-0.262,75,0.54,10,9.9819,-1.6352,-12.6201,-0.3234,0.721,-0.5837,86
