right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.705,13,11.2339,2.6307,-6.2332,0.3774,-0.616,-1.0307,73,0.062,1,11.5437,2.2699,-12.1678,0.0087,0.3932,0.1076,86,0.614,11,10.6655,-4.4861,-11.4367,-0.1093,0.5792,0.5281,71,0.018,0,9.0757,0.8738,-8.6548,-0.0131,-0.6604,0.3826,40
0.757,14,13.2566,2.4755,-8.2209,-0.3391,-0.677,-1.0959,73,0.114,2,11.2483,5.0742,-10.2232,0.6781,0.502,0.1893,86,0.666,12,8.6031,-0.6522,-11.0589,0.5968,0.0525,0.8467,71,0.07,1,8.0388,0.4897,-9.2872,-0.6866,-0.9343,0.5299,40
0.808,15,11.8825,1.8912,-7.7458,-0.913,0.0474,-0.5815,73,0.166,3,3.9973,3.9074,-10.6265,-0.1851,0.7812,-0.5139,86,0.717,13,6.7689,1.1104,-10.9976,1.1121,-0.1812,0.6445,71,0.122,2,9.0499,5.6495,-9.8728,-0.6543,-0.8622,0.2316,40
0.86,16,6.3217,0.7002,-9.9368,-1.3437,0.717,-0.4074,73,0.218,4,4.2643,2.1513,-11.561,-0.8151,-0.1025,-0.8193,86,0.769,14,3.1818,2.5825,-11.7179,1.0473,-0.2977,0.3306,71,0.174,3,8.9703,4.0065,-10.1718,-0.5646,-1.2182,0.549,40
0.912,17,1.6915,0.505,-12.2149,-0.3121,0.6069,-0.0974,73,0.269,5,1.8091,0.6582,-11.6478,-0.1824,0.0177,-0.315,86,0.821,15,-1.5048,-0.226,-15.7761,0.5658,-0.8907,0.4758,71,0.225,4,9.7722,2.0543,-11.6295,-0.5017,-1.2007,0.5172,40
0.964,18,2.1024,-0.0654,-12.4425,-0.104,-0.2045,0.0193,73,0.321,6,0.8672,2.1182,-9.12,-0.1266,-0.2034,-0.3454,86,0.873,16,1.7469,-0.22,-14.8315,0.4103,-0.4599,0.2487,71,0.277,5,10.5668,0.6962,-12.8451,-0.3386,-0.1913,-0.09,40
1.015,19,2.5478,0.044,-11.0884,-0.5363,0.1092,0.6705,73,0.373,7,3.4815,1.4696,-8.7784,-0.7724,-0.8044,-0.2069,86,0.925,17,4.2971,-1.6767,-14.1174,-0.089,0.1313,0.352,71,0.329,6,12.8294,4.2944,-9.9939,0.2844,0.3667,-0.231,40
1.067,20,3.3253,-1.3403,-8.0499,-1.0688,-0.458,1.166,73,0.425,8,7.4608,-1.5233,-11.6291,-0.5783,-0.8938,0.1447,86,0.976,18,4.4859,-2.5941,-12.6689,-0.4421,-0.2866,-0.4171,71,0.381,7,6.14,0.0618,-15.2752,0.8822,0.296,-0.462,40
1.119,21,7.4846,-3.033,-7.8763,-0.1057,-0.7518,0.4702,73,0.477,9,8.6854,1.1256,-10.2312,0.2497,0.0268,0.1966,86,1.028,19,-2.0502,-7.1304,-17.2512,-0.9979,-0.5425,-0.6142,71,0.433,8,5.8214,1.8658,-15.9609,0.7107,-0.4508,0.3124,40
1.171,22,10.5116,-4.6051,-7.1054,0.5973,-0.639,0.6192,73,0.528,10,11.2589,2.2504,-9.0519,-0.3363,-0.0682,0.1476,86,1.08,20,1.8476,-7.8646,-16.0372,-1.1912,-1.0694,-0.2575,71,0.484,9,2.8928,-1.6404,-12.1798,0.1027,-0.8547,0.1289,40
1.223,23,12.3443,-1.584,-9.3516,1.0798,0.2161,0.7939,73,0.58,11,9.9668,-0.5047,-12.2089,0.3926,0.6293,0.3466,86,1.132,21,1.4456,-2.012,-12.5643,-0.1929,-1.3752,0.4586,71,0.536,10,3.3251,-2.9171,-16.7173,0.7497,-0.6292,-0.1119,40
1.274,24,8.3026,-0.6385,-9.8029,1.1952,0.8401,0.7284,73,0.632,12,3.9944,3.9469,-10.5737,0.8372,0.4791,0.859,86,1.183,22,1.2639,1.3664,-11.7812,0.347,-1.5291,0.5112,71,0.588,11,7.5441,3.1631,-9.5933,0.1864,-0.9965,-0.3149,40
1.326,25,5.0667,0.5105,-12.9773,1.0349,0.22,0.4251,73,0.684,13,5.5975,0.8285,-14.2964,-0.069,-0.2035,1.2473,86,1.235,23,6.1882,4.5007,-6.0144,0.3376,-0.7327,0.6843,71,0.64,12,10.6233,1.7994,-6.1337,0.7434,-1.3941,0.4456,40
1.378,26,3.9338,-0.4014,-13.9807,0.6016,0.0361,0.6484,73,0.736,14,4.6545,0.5506,-14.0501,0.6214,-0.1979,1.1767,86,1.287,24,9.7822,1.8483,-7.466,-0.0519,-0.7148,0.3188,71,0.692,13,12.8706,-3.9835,-9.2061,0.6573,-1.6842,0.6577,40
1.43,27,3.1348,0.4687,-12.8431,0.087,-0.643,0.7637,73,0.787,15,3.1148,2.6999,-9.1325,0.6639,-0.2418,1.3256,86,1.339,25,12.4052,6.7009,-3.321,-0.7131,-1.1478,0.4758,71,0.743,14,10.6348,-5.9742,-10.9808,-0.1168,-0.7042,0.5397,40
1.482,28,3.2762,-0.5924,-9.0523,-0.6139,-0.9802,0.936,73,0.839,16,6.7963,-2.3822,-8.42,-0.1955,-0.8478,1.5743,86,1.391,26,10.3591,1.9849,-7.4152,-1.1957,-0.8988,0.0365,71,0.795,15,7.3074,-1.3453,-13.6067,-0.052,0.171,0.4395,40
1.533,29,7.4487,-2.3577,-5.8746,0.0797,-1.3845,0.9038,73,0.891,17,9.8801,-2.0373,-10.1771,0.529,-0.2686,1.366,86,1.442,27,11.5059,0.0413,-6.0929,-1.4832,-1.3293,-0.3068,71,0.847,16,2.5479,3.0613,-16.688,-0.715,0.8098,-0.0892,40
1.585,30,10.494,-2.7122,-8.6734,-0.5999,-0.5569,0.6256,73,0.943,18,10.0794,1.609,-10.2629,-0.0358,0.4781,1.1361,86,1.494,28,9.0627,-5.2069,-4.3137,-0.406,-0.7654,-0.7025,71,0.899,17,1.1744,2.5235,-18.7283,-1.1989,0.9552,-0.733,40
1.637,31,12.7166,-4.976,-8.8482,0.2229,-0.6455,-0.2185,73,0.995,19,7.1077,2.9479,-10.5305,-0.447,1.0052,0.3052,86,1.546,29,3.3053,-6.9467,-5.4981,0.192,0.1197,-0.7708,71,0.951,18,0.7545,-1.7669,-19.4407,-0.4254,0.8817,-0.9954,40
1.689,32,9.0089,1.5931,-8.7985,0.6807,0.2113,-0.0541,73,1.046,20,0.6588,5.4406,-10.656,-1.0062,0.4807,-0.0475,86,1.598,30,-0.5998,-5.3056,-11.4119,-0.5304,0.7657,-0.4562,71,1.002,19,1.0081,-4.6895,-17.3565,-0.9132,0.0222,-0.1193,40
1.74,33,3.4467,-1.0229,-13.0999,-0.1806,0.8367,-0.6445,73,1.098,21,2.9992,3.6426,-13.033,-1.4144,0.3782,-0.481,86,1.65,31,1.2319,-2.7063,-16.3338,0.2895,0.7771,-0.1252,71,1.054,20,5.8531,1.8695,-10.0598,-1.3209,-0.3499,0.2172,40
1.792,34,1.976,-1.1311,-13.4283,0.3861,-0.0587,-0.8165,73,1.15,22,1.6498,3.7125,-12.7376,-0.7728,0.3173,-1.0298,86,1.702,32,6.1648,-7.2122,-9.3371,0.0341,0.0227,0.2487,71,1.106,21,3.1588,1.776,-13.4882,-1.1952,-0.3161,0.4598,40
1.844,35,3.2847,-2.3216,-11.836,-0.3956,-0.1804,-0.3126,73,1.202,23,3.0767,2.855,-11.5979,-0.4958,0.4877,-1.4372,86,1.753,33,9.7651,-10.2266,-12.119,-0.1277,-0.6041,0.7986,71,1.158,22,7.4227,0.2984,-12.2534,-0.9318,0.3945,-0.0338,40
1.896,36,2.5913,-2.6531,-9.5786,-0.9661,0.0675,0.0812,73,1.254,24,0.9407,0.7143,-10.1574,-0.7299,0.5396,-1.7353,86,1.805,34,12.3927,-5.9417,-11.7335,-0.5294,0.0865,0.1481,71,1.21,23,10.5347,-0.4056,-15.7671,-1.1317,0.2582,0.0139,40
