right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.027,0,8.9682,-9.2329,-20.4805,0.9757,-1.3528,1.4208,75,0.423,8,3.5871,8.099,-9.7275,1.0409,-0.0035,-1.1293,84,0.845,16,10.0615,6.1301,-14.8003,-0.7867,-0.2388,0.7311,72,0.06,1,8.4743,1.4012,-15.3734,-0.1359,0.3091,0.0511,40
0.079,1,8.3246,-8.112,-18.3109,0.3745,-0.4905,1.2433,75,0.474,9,7.5379,3.6213,-12.7718,0.2516,0.2894,-1.5106,84,0.897,17,7.9155,5.7839,-17.1427,-0.0256,-0.5042,-0.0181,72,0.112,2,0.7123,0.9767,-17.1192,-0.7594,0.7116,-0.4014,40
0.13,2,6.21,-4.0509,-14.5643,0.6723,-0.6011,1.3353,75,0.526,10,6.9361,2.1357,-13.4813,0.8554,0.3347,-1.5389,84,0.948,18,6.6558,6.3837,-13.271,-0.4085,-0.5277,-0.6853,72,0.164,3,3.6448,2.03,-16.3437,-0.8725,-0.1474,-0.4716,40
0.182,3,4.7843,-3.5412,-11.9648,0.2612,0.0751,1.1899,75,0.578,11,6.5742,4.2123,-11.1036,0.7447,-0.3597,-0.9916,84,1.001,19,5.4182,4.159,-12.8378,0.3455,-0.5326,-1.1742,72,0.216,4,2.1108,-0.5609,-11.1899,-1.3139,-0.7744,-0.5107,40
0.234,4,3.5342,-5.6831,-12.3548,-0.1347,0.7242,1.217,75,0.63,12,6.0173,5.6968,-9.3203,1.1232,-0.4677,-1.1875,84,1.052,20,9.2202,-2.2016,-7.56,0.9287,-0.9404,-0.7497,72,0.267,5,6.6578,4.835,-7.2811,-0.2849,-1.1069,-0.6513,40
0.286,5,2.1119,-9.3455,-16.2086,-0.3495,0.4298,1.5649,75,0.682,13,4.6453,7.4542,-7.9701,1.2509,-0.1128,-1.5531,84,1.104,21,11.995,-2.4858,-12.2736,1.1599,-0.4489,-1.189,72,0.319,6,9.9765,1.7037,-8.8193,0.3451,-0.7112,-0.4553,40
0.337,6,1.5324,-8.8442,-19.8263,0.2181,0.3907,1.8188,75,0.733,14,3.9321,10.7672,-6.6148,0.3074,0.032,-1.8199,84,1.156,22,13.9081,3.5377,-14.4828,0.8013,0.3508,-1.3265,72,0.371,7,9.5504,-0.5293,-8.9363,0.6694,-0.7238,-0.2338,40
0.389,7,-0.9178,-6.7738,-16.2925,0.0186,-0.0508,1.0746,75,0.785,15,2.8805,10.8998,-8.9456,-0.4535,0.6734,-2.0146,84,1.208,23,14.0882,-2.6551,-17.6584,1.2614,-0.4174,-0.2972,72,0.423,8,8.3689,-0.7508,-9.3735,0.376,-0.7866,0.1938,40
0.441,8,-4.8487,-0.0909,-12.7492,0.688,0.1148,0.6797,75,0.837,16,1.2478,9.5493,-13.3218,-0.8148,0.7977,-0.813,84,1.26,24,11.5446,2.0256,-10.9154,1.1057,-0.6457,0.4608,72,0.475,9,5.0031,-0.2961,-6.464,0.9491,0.1108,0.7304,40
0.493,9,-5.036,-2.1836,-13.4501,0.2948,-0.5855,-0.1791,75,0.889,17,-0.9249,1.7087,-15.5948,-0.1951,0.948,-0.5971,84,1.311,25,10.7447,6.099,-15.9714,0.1318,0.2071,0.8364,72,0.527,10,5.8737,-1.92,-8.6107,0.7524,0.7658,1.1269,40
