right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.599,11,12.659,-3.0785,-2.4142,-1.4229,1.1083,0.7482,75,0.047,0,4.7507,5.5931,-10.2485,0.6914,-0.1931,-0.998,84,0.335,6,9.6718,0.4768,-11.6305,-0.0951,-0.7784,-0.073,75
0.65,12,11.3587,-2.9455,-3.6654,-0.3811,1.4913,1.0148,75,0.098,1,7.1617,9.409,-11.0144,0.5904,-0.3086,-1.4147,84,0.386,7,8.685,0.9108,-12.1221,-0.1021,-0.5974,-0.1343,75
0.702,13,3.9624,0.0589,-6.448,0.0532,1.7709,1.3412,75,0.15,2,10.1468,12.1939,-12.3202,-0.2295,-0.8979,-1.7189,84,0.438,8,10.846,2.0108,-13.178,-0.3438,0.1207,0.0211,75
0.754,14,0.6496,-0.2543,-8.5948,0.4916,0.6231,0.7089,75,0.202,3,12.3255,11.1547,-13.3189,-0.8475,-0.9014,-1.4875,84,0.49,9,13.1817,0.8144,-11.1451,-0.7195,0.5999,0.1028,75
0.806,15,0.7701,-1.1459,-9.9767,0.7398,-0.1081,0.0674,75,0.254,4,8.7027,2.8804,-14.024,-1.2601,-0.2587,-0.9803,84,0.542,10,6.7307,4.507,-16.1391,-1.2004,1.0007,0.5739,75
0.858,16,1.9311,-1.45,-10.1056,1.092,-0.5907,-0.1389,75,0.306,5,4.9157,0.8901,-14.0102,-0.248,0.3887,-0.0511,84,0.593,11,7.8804,3.1368,-17.1949,-1.2419,0.057,0.0043,75
0.909,17,3.2137,-1.624,-9.212,0.3876,-0.1144,0.2772,75,0.358,6,2.3351,1.6208,-14.302,-0.1444,0.2557,0.6281,84,0.645,12,5.239,1.7997,-12.1756,-0.7277,-0.2506,0.3043,75
0.961,18,6.7977,-5.2721,-4.1322,-0.1639,0.4294,0.8559,75,0.409,7,2.8548,2.9579,-14.3999,-0.0888,-0.486,1.0976,84,0.697,13,5.6817,1.64,-9.6398,-0.4412,-0.1078,0.8672,75
1.013,19,8.3546,-7.6683,-0.4247,-0.2484,0.8614,1.2504,75,0.461,8,2.026,3.8344,-13.5637,0.6037,0.1904,0.5462,84,0.749,14,5.3264,6.5489,-7.463,-0.9213,-0.0202,0.8577,75
1.065,20,10.3069,-8.2131,2.2812,0.4928,1.2552,1.5892,75,0.513,9,1.0307,5.3782,-11.1299,1.1033,0.0435,-0.0368,84,0.801,15,9.1532,-0.4574,-2.8628,-0.2516,-0.5623,1.0814,75
1.116,21,8.2697,-3.2433,-0.6381,0.9841,1.5772,1.6402,75,0.565,10,5.2442,8.8043,-9.2236,0.6418,-0.1367,0.3604,84,0.853,16,11.9461,5.0181,-7.0531,-0.6234,-0.4523,0.5062,75
1.168,22,4.04,-4.3637,-8.4622,0.5788,1.0017,1.0458,75,0.617,11,8.7474,11.7526,-12.956,0.7939,-0.4398,0.1016,84,0.905,17,13.9846,3.3292,-9.2604,-0.8786,-0.2492,0.5633,75
1.22,23,1.285,-2.9175,-11.2814,-0.0939,0.0617,0.2051,75,0.668,12,11.2357,10.9601,-13.5571,-0.1006,-0.8071,-0.3685,84,0.956,18,11.4343,2.1135,-9.6945,-0.6062,0.2684,0.3805,75
1.272,24,1.8898,-5.0956,-10.4506,-0.6746,-0.6243,-0.4361,75,0.72,13,3.8431,7.2642,-9.4636,-0.6318,0.09,-0.9332,84,1.008,19,8.355,-0.2204,-10.6393,0.2341,0.3092,-0.3888,75
1.324,25,2.8299,-3.758,-9.057,-0.1194,-1.125,-0.4746,75,0.772,14,0.512,3.6288,-10.3561,-0.6723,-0.607,-0.6518,84,1.06,20,6.6013,-0.9503,-7.0835,-0.5043,0.904,-0.5119,75
1.375,26,3.9807,-2.9424,-6.8071,-0.1787,-1.4794,-0.5727,75,0.824,15,0.4944,2.6036,-10.5998,-1.1338,-1.1157,-0.3145,84,1.112,21,5.9732,-1.94,-8.0562,-0.7995,1.3382,-0.1625,75
1.427,27,7.3698,-1.2294,-4.1051,-0.2433,-1.2214,-0.4877,75,0.876,16,1.5097,2.5876,-10.7463,-1.0504,-1.17,0.0262,84,1.163,22,5.2606,-2.8478,-11.4822,0.093,1.655,-0.1953,75
1.479,28,10.4364,-2.1839,-0.4049,-0.855,-0.3542,-0.6523,75,0.927,17,1.7076,1.7853,-10.8067,-0.5116,-0.5984,-0.0944,84,1.215,23,2.4041,-0.7872,-16.2487,0.7444,1.1121,-0.6347,75
1.531,29,12.6745,-6.7916,0.2548,-1.2289,0.0168,0.1983,75,0.979,18,1.5396,2.8473,-9.3842,0.2618,-0.5023,-0.6062,84,1.267,24,7.0204,-5.8116,-9.275,0.5936,0.4507,-0.4855,75
1.583,30,11.4909,-5.1228,-2.1798,-0.2225,0.5343,0.3162,75,1.031,19,6.0436,7.4049,-10.3194,0.5131,-0.9032,-0.103,84,1.319,25,9.1209,-2.7511,-11.8374,0.1168,-0.3444,-1.0172,75
1.634,31,6.9,-0.8431,-8.2913,-0.2579,0.1236,-0.2296,75,1.083,20,9.3308,10.7313,-10.1069,0.5232,-0.7441,-0.3026,84,1.371,26,11.9226,-1.874,-12.5115,-0.1423,-0.8453,-0.4934,75
1.686,32,3.0781,0.7847,-13.4126,-0.7135,-0.5791,-0.8427,75,1.135,21,8.4594,11.5559,-9.3122,-0.2982,-0.6423,-0.3226,84,1.422,27,13.1627,-3.1142,-9.5671,-0.7109,0.0614,-0.0313,75
1.738,33,5.0007,-0.3818,-13.8806,-1.1832,-1.092,-1.2902,75,1.186,22,0.504,12.5798,-10.454,-0.8976,0.2103,-0.5621,84,1.474,28,9.4043,-5.494,-14.9873,-1.194,0.4071,0.6549,75
1.79,34,7.733,-1.6854,-13.1068,-1.5409,-1.466,-1.6167,75,1.238,23,-2.3779,9.5013,-15.5694,-1.0466,-0.3502,-0.8287,84,1.526,29,7.963,-7.4195,-15.5686,-1.5467,-0.3698,1.1194,75
1.842,35,7.1039,-3.1057,-12.7334,-1.802,-1.4898,-1.6744,75,1.29,24,-1.7998,7.1219,-17.074,-0.9086,-0.9283,-0.8541,84,1.578,30,6.7816,-4.6592,-14.5461,-0.4523,-0.9433,1.4607,75
1.893,36,6.2023,-3.9539,-12.6637,-1.9926,-1.0282,-1.8971,75,1.342,25,0.8364,7.8127,-17.877,-0.0072,-1.3502,-0.8277,84,1.629,31,6.0486,0.1477,-11.2792,-1.0053,-1.3153,1.6485,75
1.945,37,9.5843,-4.067,-11.301,-0.7799,-1.4198,-2.0597,75,1.394,26,2.6942,7.2227,-16.5891,-0.6853,-0.7079,-1.2303,84,1.681,32,5.6438,0.7805,-7.2127,-0.2572,-1.5886,0.7192,75
1.997,38,12.0527,1.6267,-9.9243,-0.2186,-0.9202,-1.0032,75,1.445,27,6.6025,9.0297,-14.5222,-0.3143,-0.7301,-1.5843,84,1.733,33,5.9086,-4.6674,-2.6801,0.4888,-0.819,0.2432,75
2.049,39,13.8542,3.2548,-11.1022,0.3481,-0.1184,-0.0555,75,1.497,28,9.7387,10.9931,-12.7604,-0.8625,-1.0845,-1.8427,84,1.785,34,9.2562,-0.5021,-6.2181,-0.3185,-0.9068,-0.1086,75
2.101,40,8.8134,3.9406,-9.5107,0.9284,0.596,0.6361,75,1.549,29,9.7609,9.8889,-10.5402,-1.0783,-1.1105,-1.1752,84,1.837,35,9.2312,-3.0797,-8.1399,-0.0794,-0.097,-0.0193,75
2.153,41,5.3361,2.0287,-9.1783,1.352,-0.0669,0.9522,75,1.601,30,10.21,9.064,-9.6321,-1.467,-1.4807,-0.1923,84,1.888,36,10.8354,-4.2886,-8.4363,0.0914,0.4711,-0.3342,75
2.204,42,6.2492,1.2548,-8.4049,1.6611,0.1825,0.6993,75,1.653,31,8.7676,5.7118,-10.8287,-0.6461,-0.8057,0.525,84,1.94,37,7.749,-2.0234,-8.562,0.7433,0.6,-0.9179,75
2.256,43,3.475,2.3035,-7.7409,1.8776,0.8156,0.6894,75,1.705,32,6.6063,5.8649,-12.6641,0.2002,0.0911,0.9829,84,1.992,38,4.6189,0.0815,-6.677,-0.1246,1.1096,-0.9003,75
2.308,44,4.8267,1.3054,-7.0249,0.99,1.2777,0.6946,75,1.756,33,4.1437,5.5344,-13.4105,0.8178,0.5942,1.3633,84,2.044,39,4.7692,-0.2231,-9.8039,-0.3259,1.4799,-1.2364,75
2.36,45,8.5804,2.8741,-12.9812,0.1137,1.4597,1.111,75,1.808,34,3.1346,6.0174,-12.3719,1.2686,1.0978,1.3355,84,2.096,40,3.0652,-1.337,-13.5478,0.4387,1.2502,-1.5764,75
2.412,46,11.3199,-1.873,-11.8529,0.0127,1.38,1.2373,75,1.86,35,0.3812,8.3383,-11.3,1.5976,1.4803,1.0102,84,2.147,41,6.1906,-6.2129,-17.8927,0.6324,0.9394,-1.4098,75
2.463,47,11.7718,-0.7424,-11.2581,0.6836,1.4909,1.4541,75,1.912,36,5.1981,11.4125,-10.5427,1.7556,1.6435,0.5273,84,2.199,42,5.6221,-4.556,-20.0943,-0.2116,0.0122,-1.4026,75
2.515,48,5.6027,4.4132,-10.4943,0.5343,1.6779,1.737,75,1.964,37,8.7137,13.6562,-11.9605,1.7348,1.4418,0.0193,84,2.251,43,7.0506,-2.0377,-19.6789,0.077,-0.0335,-0.7521,75
2.567,49,1.1593,1.5049,-13.6144,-0.041,0.5553,1.0235,75,2.015,38,10.5582,13.9653,-13.631,0.5861,0.3796,0.6788,84,2.303,44,9.9087,-3.0486,-19.2562,-0.619,0.6539,0.056,75
2.619,50,1.9185,0.799,-13.4554,-0.0915,-0.1379,0.4961,75,2.067,39,6.6684,6.6895,-13.2211,-0.2523,0.2704,0.1556,84,2.355,45,7.7131,-2.0398,-22.0589,-0.127,0.9176,-0.4272,75
2.67,51,3.718,-1.3606,-12.4598,-0.2386,-0.6715,0.4739,75,2.119,40,-0.8032,4.8318,-15.7691,0.4876,0.5971,0.779,84,2.406,46,7.9302,-2.1144,-21.191,-0.084,-0.0037,-0.6547,75
2.722,52,3.9519,-1.1398,-10.4337,-0.108,-0.6112,0.7777,75,2.171,41,-0.3824,4.0603,-14.6911,0.5533,-0.2369,1.2339,84,2.458,47,8.4496,-5.6768,-15.6816,0.6152,-0.6761,-0.1688,75
2.774,53,5.5292,-2.604,-5.2671,-0.4003,-0.0531,1.1168,75,2.223,42,2.1483,3.3159,-13.6502,1.0755,-0.6781,1.3104,84,2.51,48,7.2169,-4.4857,-11.1781,0.4264,-0.5502,0.5546,75
2.826,54,9.0931,-7.0875,-1.5715,-0.9486,0.0013,1.4557,75,2.274,43,1.546,3.6243,-12.5665,1.4567,0.1842,0.5837,84,2.562,49,7.9855,-1.1346,-12.5419,-0.364,-0.4555,1.0825,75
2.878,55,9.3797,-6.5956,-0.7991,-0.2492,0.3548,1.2842,75,2.326,44,2.6708,3.7057,-10.9283,1.7349,-0.1769,0.1576,84,2.614,50,11.0273,-0.5458,-17.0525,0.0442,-0.6779,0.543,75
2.929,56,7.7925,-3.1818,-5.3028,0.1421,0.7112,0.6796,75,2.378,45,6.8691,6.3275,-13.9566,1.9379,-0.6371,0.695,84,2.665,51,13.314,2.7594,-17.2887,-0.1062,-0.9595,0.2688,75
2.981,57,1.2176,-0.5565,-8.9688,0.3258,0.0773,0.0512,75,2.43,46,9.9333,9.9449,-15.3716,2.0861,-0.0596,0.1652,84,2.717,52,14.9829,4.2298,-13.9436,-0.642,-0.49,0.3854,75
3.033,58,1.2245,-0.2047,-8.9484,0.1914,-0.6129,-0.6377,75,2.482,47,9.3803,9.8206,-15.171,0.8425,0.3491,0.0258,84,2.769,53,15.584,4.3466,-17.1429,0.1425,-0.5523,-0.1893,75
3.085,59,4.5599,-2.6692,-7.8777,-0.326,-0.849,-0.9555,75,2.533,48,2.9666,8.7252,-14.6376,0.1061,0.9339,-0.6239,84,2.821,54,14.6226,8.5242,-13.1032,-0.0418,-0.5169,-0.8122,75
