right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.462,8,8.7471,-6.1077,-0.5937,0.7911,-1.1255,-1.2062,86,0.04,0,0.2286,5.1554,1.4455,-0.6679,-0.246,-0.4012,91,0.067,1,12.3316,-0.5347,-14.2824,0.5403,-0.1274,-0.4554,93,0.198,3,10.6645,0.0832,-13.4868,0.2441,-0.7136,-0.1693,63
0.514,9,6.6421,-3.2982,-0.8541,-0.0978,-0.3608,-1.249,86,0.092,1,3.4309,5.12,1.5235,-1.1675,0.4477,-0.341,91,0.119,2,12.537,-0.8818,-12.1325,0.8729,0.4212,-0.7818,93,0.25,4,12.9007,-0.8387,-13.3692,0.7167,0.1641,-0.0184,63
0.565,10,6.8256,-2.9796,-0.8823,-0.7488,0.4191,-1.0881,86,0.144,2,5.2839,4.5947,1.3485,-1.5321,1.0058,-0.2541,91,0.171,3,11.699,-5.7281,-12.2625,1.3136,0.1731,-0.197,93,0.302,5,10.6025,3.2232,-15.5579,0.8544,0.7668,0.1331,63
0.617,11,7.1724,-3.1263,0.6596,-0.8389,0.9883,-0.3965,86,0.195,3,6.5986,5.1216,-0.5482,-1.6045,1.4132,0.1229,91,0.223,4,7.7314,-1.0222,-8.8827,0.9227,0.7876,0.295,93,0.353,6,8.0818,3.8938,-17.024,-0.0535,-0.1071,-0.2282,63
0.669,12,7.3186,-3.7577,0.8595,0.0621,1.4037,0.1834,86,0.247,4,6.0655,5.0836,-5.7302,-1.0843,1.1518,0.2535,91,0.274,5,5.3079,1.4105,-11.3116,-0.0018,1.187,0.8931,93,0.405,7,6.4154,4.0503,-15.1397,-0.1758,-0.745,-0.6582,63
0.721,13,8.3776,-4.8577,-0.3935,0.3673,1.7069,0.509,86,0.299,5,7.4438,7.1742,-7.7552,-0.6023,0.168,-0.0966,91,0.326,6,1.9124,5.5652,-14.4829,-0.6765,1.0382,1.0848,93,0.457,8,4.884,1.0744,-12.4899,-0.2327,-0.5965,-1.1133,63
0.773,14,8.9655,-6.3461,-5.241,0.5819,1.7369,0.667,86,0.351,6,9.8668,4.3143,-8.639,-1.1196,-0.5501,-0.7267,91,0.378,7,6.6615,-1.1753,-11.7226,0.1828,0.4164,0.9944,93,0.509,9,4.5166,-3.9418,-9.1985,0.5048,-0.2736,-0.9716,63
0.824,15,7.284,-6.408,-9.1718,0.4167,0.5983,1.0429,86,0.403,7,7.3376,-1.5587,-9.5403,-0.6645,-0.6468,-0.7632,91,0.43,8,10.1276,1.7558,-12.8528,-0.4336,0.5126,0.9196,93,0.561,10,8.4137,-2.9636,-12.2767,0.6811,-0.8397,-1.0905,63
0.876,16,4.3351,-5.7023,-12.3333,0.9785,-0.2327,1.4378,86,0.455,8,6.0674,-4.6524,-8.7387,0.1868,-0.404,0.0881,91,0.481,9,8.0419,4.6952,-13.8916,0.1257,0.8033,0.0841,93,0.612,11,11.258,-3.229,-10.6734,-0.092,-0.47,-0.7528,63
0.928,17,6.5916,-5.6389,-11.9182,1.1837,-0.8391,1.6018,86,0.506,9,5.7468,-4.07,-5.1614,0.4064,-0.5372,0.7297,91,0.533,10,5.5607,4.9914,-18.1436,0.7683,-0.0575,-0.6126,93,0.664,12,10.1868,-3.3752,-10.2448,0.4907,-0.4002,-0.3637,63
