right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.647,12,3.5914,-6.0093,-14.2264,0.6467,-0.0712,0.4133,76,0.086,1,2.9775,5.048,-14.313,-0.4619,-0.248,-0.1361,86,0.325,6,10.1407,0.6007,-11.1799,-0.0752,-0.3001,0.7286,75
0.699,13,7.3036,-9.5835,-17.9364,-0.1217,-0.3596,0.5717,76,0.137,2,7.093,7.4739,-18.3861,-1.0089,-0.7191,0.177,86,0.377,7,9.2186,0.3679,-10.9031,-0.2662,0.1334,0.9285,75
0.751,14,8.2054,-11.9716,-16.9672,0.0546,-0.1319,0.6004,76,0.189,3,10.0967,10.5806,-18.3752,-0.6574,-0.7861,0.2683,86,0.428,8,9.169,-1.0007,-11.9004,-0.0139,0.5422,1.2133,75
0.803,15,5.8829,-8.8939,-14.204,0.3806,0.2881,0.652,76,0.241,4,8.4839,9.7971,-16.1084,-1.1598,-0.1258,0.1312,86,0.48,9,8.571,-1.8915,-10.9828,-0.0045,0.3489,0.8361,75
0.854,16,1.3307,-4.1871,-12.2302,0.6065,0.6369,0.7761,76,0.293,5,3.309,4.5387,-15.1643,-1.5265,0.5873,-0.5262,86,0.532,10,8.231,-3.4097,-11.6059,-0.1779,-0.3702,-0.0435,75
0.906,17,1.0283,-3.2199,-12.7299,0.3621,0.5253,0.6273,76,0.345,6,0.6912,1.8951,-14.8422,-0.8364,0.5093,-0.537,86,0.584,11,11.2731,-7.7256,-8.5424,-0.4433,0.2445,-0.2249,75
0.958,18,1.5593,-2.5029,-12.723,0.1519,0.5045,0.4899,76,0.396,7,0.4698,1.7748,-13.9307,-0.7871,0.3045,-0.2454,86,0.635,12,8.9901,-8.8263,-9.0258,-0.4034,0.0011,0.5136,75
1.01,19,2.3631,-2.9862,-10.8939,0.0701,0.354,0.5538,76,0.448,8,1.0756,1.8457,-12.7166,-0.2125,0.4226,-0.4331,86,0.687,13,7.9791,-3.1259,-8.6045,-0.5722,0.0739,1.0526,75
1.061,20,2.8461,-6.6182,-12.118,0.1418,0.0437,0.8128,76,0.5,9,1.864,3.155,-13.7013,-0.0492,0.0914,-0.6733,86,0.739,14,4.7019,1.0268,-8.7499,-0.3252,0.6719,1.3725,75
1.113,21,6.0813,-10.028,-13.9192,0.4594,-0.0664,0.4627,76,0.552,10,6.2803,7.6295,-17.9396,0.0313,-0.6059,-0.4404,86,0.791,15,4.8221,-1.4103,-14.391,-0.5746,0.9417,0.891,75
1.165,22,7.418,-12.5166,-14.0095,0.235,-0.4756,0.5128,76,0.604,11,8.9945,10.8952,-17.5188,-0.4098,-0.5382,-0.5925,86,0.843,16,8.7851,-1.5335,-11.8457,0.203,0.1971,0.9936,75
1.217,23,6.0728,-10.4861,-13.0885,0.8459,-0.5585,0.0576,76,0.656,12,6.2528,10.5869,-17.8647,-0.1812,0.2863,-0.7776,86,0.894,17,8.6213,-3.8747,-16.0056,-0.5271,-0.1802,1.4029,75
1.269,24,3.5681,-5.7487,-12.2546,0.8224,-0.3341,-0.154,76,0.707,13,2.7111,7.9483,-15.8021,-0.0518,0.039,-0.5311,86,0.946,18,10.8338,-4.4979,-16.5289,-0.4299,-0.4788,0.4462,75
1.32,25,2.1635,-2.8744,-11.5885,0.274,-0.1491,-0.1094,76,0.759,14,0.9526,5.0413,-12.556,-0.344,-0.1053,-0.3033,86,0.998,19,10.3746,-2.8984,-18.0561,-0.5552,0.3045,0.289,75
1.372,26,1.0036,-2.4332,-11.3332,-0.1197,-0.0359,-0.1839,76,0.811,15,0.0088,3.3787,-11.7295,-0.2672,-0.1791,0.1152,86,1.05,20,10.0541,-6.1879,-18.2424,0.2713,-0.2348,-0.3906,75
1.424,27,0.8571,-2.6693,-10.1779,-0.2194,0.0487,-0.094,76,0.863,16,-0.5443,2.6525,-11.9279,-0.0229,-0.1685,0.3187,86,1.102,21,9.4072,-0.3738,-15.2851,-0.4772,-0.3616,-0.7297,75
1.476,28,0.8388,-3.6736,-9.8815,-0.0521,0.1411,0.1087,76,0.915,17,-0.661,3.169,-11.2948,-0.0416,-0.2826,0.3086,86,1.154,22,9.7934,0.8319,-15.5401,-1.0235,-0.1392,-1.2066,75
1.528,29,2.1735,-7.8788,-11.3208,0.3536,-0.3313,0.5786,76,0.966,18,0.7252,6.2992,-13.2179,-0.4427,-0.5781,-0.0982,86,1.205,23,8.7154,-2.4084,-15.345,-0.3727,0.0516,-1.5547,75
1.579,30,4.8877,-10.948,-14.1093,0.1199,-0.2399,0.6921,76,1.018,19,5.4491,9.9243,-17.5868,-0.458,-0.49,-0.2131,86,1.257,24,6.4973,-6.1684,-15.3896,0.4046,-0.6254,-1.8069,75
1.631,31,5.5054,-8.8169,-10.5768,0.6548,0.1553,0.378,76,1.07,20,4.5849,12.426,-15.7052,-0.833,0.2835,-0.3371,86,1.309,25,9.9915,0.4464,-8.6479,-0.0421,-0.8354,-1.3185,75
1.683,32,2.116,-2.9743,-10.2531,0.3932,-0.115,-0.0813,76,1.122,21,-0.3452,3.8905,-13.7268,-0.9302,0.3027,-0.4788,86,1.361,26,10.9031,-1.0269,-4.2694,0.6458,-0.2229,-0.5752,75
1.735,33,4.2284,-2.6907,-11.0629,0.0739,0.1486,-0.4379,76,1.174,22,-2.1828,2.8093,-13.8585,-0.1061,-0.1323,-0.0149,86,1.413,27,13.2233,0.9146,-4.6509,0.2257,-0.0447,-0.4343,75
1.787,34,3.9638,-2.4222,-10.7702,-0.4047,0.7909,-0.5434,76,1.225,23,-1.2128,4.1463,-13.5754,0.2,-0.7692,0.3021,86,1.464,28,12.6125,-2.9264,-4.8868,-0.4028,0.6457,0.1859,75
