right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.044,0,7.9176,-1.0408,-14.1589,-0.8402,-0.0611,0.2751,75,0.005,0,12.4697,1.9198,-6.7029,-0.0007,-0.1797,-0.0249,86,0.336,6,9.7419,-6.4617,-8.5623,0.9315,0.2016,-0.2019,71,0.706,13,10.3638,-0.3426,-15.8753,0.5243,0.4217,-0.6428,39
0.096,1,7.575,-1.1341,-13.9622,-1.2373,0.0288,0.1963,75,0.057,1,8.2795,1.3977,-6.8199,0.1025,0.2645,-0.1722,86,0.388,7,8.3879,0.6359,-5.2209,0.4422,0.6247,-0.3517,71,0.758,14,7.7662,-0.6351,-16.2377,0.4495,-0.359,0.0486,39
0.148,2,6.8793,-1.3997,-13.8382,-1.0311,0.173,0.007,75,0.109,2,5.0513,0.6497,-6.4069,-0.2707,-0.1529,-0.2159,86,0.44,8,5.2874,-2.7454,-8.3291,-0.3525,1.0569,-0.1145,71,0.809,15,4.5471,0.1691,-13.1067,-0.3472,-0.6357,0.3354,39
0.2,3,5.4574,-1.6566,-13.7772,-0.4931,0.3075,-0.1888,75,0.16,3,3.7446,0.2519,-7.359,-0.3879,-0.1173,-0.034,86,0.491,9,3.721,-2.4568,-11.5256,0.4193,0.3137,-0.1788,71,0.861,16,2.5673,-1.0695,-11.9031,-0.0172,-0.7243,0.0909,39
0.252,4,3.3228,-2.234,-13.6834,-0.0493,0.31,-0.229,75,0.212,4,2.4204,0.1518,-7.8191,0.0261,0.1362,0.1484,86,0.543,10,7.9815,-0.6218,-12.5714,0.3426,-0.4445,-0.0541,71,0.913,17,2.4752,0.1765,-9.9249,0.6339,-0.5566,-0.2222,39
0.304,5,5.5843,-3.5079,-14.9625,-0.1178,-0.2461,0.3014,75,0.264,5,1.3708,-0.0771,-8.2169,0.3772,0.3014,0.2579,86,0.595,11,0.7986,-3.0819,-14.5121,0.4022,0.354,0.0115,71,0.965,18,2.5015,-4.163,-15.2248,0.7032,-0.3891,0.276,39
0.355,6,9.1333,-1.7182,-16.459,-0.2409,-0.4131,0.6499,75,0.316,6,0.8011,-0.3951,-8.4229,0.2935,0.4125,0.3317,86,0.647,12,5.8486,-2.2339,-15.6138,-0.1248,0.9292,-0.0445,71,1.016,19,6.943,-2.943,-18.5281,0.2698,-0.3304,0.278,39
0.407,7,11.7235,-3.0695,-16.6704,-0.8532,-0.2515,0.6566,75,0.368,7,5.5045,0.2445,-7.6992,0.2964,0.3178,0.7434,86,0.699,13,6.0521,0.6705,-14.4318,-0.3713,1.3566,-0.4974,71,1.068,20,10.1846,-3.7185,-17.3115,0.4811,-0.0736,-0.1075,39
0.459,8,9.0189,-3.014,-15.933,0.0509,0.4984,0.1608,75,0.419,8,8.9373,1.494,-5.3921,0.6503,0.0293,0.643,86,0.75,14,0.3979,-1.6997,-14.2022,-0.9397,1.1647,-0.2389,71,1.12,21,10.2411,-2.2109,-15.639,0.6528,0.6312,-0.2842,39
0.511,9,5.8237,-1.9026,-14.7797,0.2818,1.0449,-0.1084,75,0.471,9,7.4995,0.3492,-4.4958,-0.2054,-0.0437,0.0983,86,0.802,15,2.5582,1.0466,-11.3316,-0.5795,0.5941,-0.3072,71,1.172,22,6.8318,-1.8934,-16.9953,0.378,1.1272,-0.1041,39
