right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.201,3,3.7516,2.03,-11.5393,0.8833,0.1595,-0.2772,86,0.494,9,8.6742,6.182,-6.3895,0.2514,-1.0024,-0.226,91,0.012,0,3.7045,4.9484,-8.4917,0.3337,0.3925,-0.291,92,0.1,1,7.2897,-4.0837,-3.8385,1.4079,0.3013,-1.0243,63
0.252,4,2.1586,2.3937,-10.4476,0.9231,0.7287,0.2325,86,0.546,10,11.2496,8.1058,-4.9347,-0.4965,-1.389,0.0779,91,0.064,1,7.9694,-1.6255,-4.0617,0.2425,0.5876,0.1558,92,0.152,2,6.443,-5.1797,-6.2893,0.3618,0.9049,-0.5301,63
0.304,5,3.0434,2.523,-12.6583,1.0734,-0.1375,-0.5054,86,0.598,11,7.3374,5.0783,-8.0527,-0.0156,-0.3347,0.5484,91,0.116,2,11.0822,0.2157,-4.6473,-0.4982,-0.1228,0.6095,92,0.204,3,4.7382,-4.8862,-12.5714,0.8171,1.2064,-0.0445,63
0.356,6,7.2777,0.2833,-13.7127,0.9872,-0.1895,-0.1746,86,0.649,12,2.9569,0.7108,-9.7772,0.6603,-0.685,1.0656,91,0.167,3,9.5418,0.87,-9.4668,-1.0388,0.3216,1.1225,92,0.255,4,8.5754,1.726,-7.9645,0.9418,0.2222,-0.623,63
0.408,7,10.3679,-3.1089,-14.7445,1.0713,0.0759,0.5416,86,0.701,13,4.7503,5.2005,-8.9883,1.1537,0.0097,0.8087,91,0.219,4,8.8232,2.8424,-11.5904,-1.4334,0.913,1.2803,92,0.307,5,4.8556,6.4898,-12.0131,0.5003,0.4641,-0.4403,63
0.46,8,7.0909,-2.5168,-11.7023,0.9101,0.737,0.5204,86,0.753,14,2.9156,4.8307,-8.5621,1.1577,0.2162,1.2556,91,0.271,5,7.2326,3.6984,-11.3063,-1.0137,1.3447,0.4141,92,0.359,6,8.6611,3.538,-12.6088,0.5365,0.827,-0.0636,63
0.511,9,-0.3571,-0.5308,-14.377,0.7802,0.2065,0.2921,86,0.805,15,1.4365,4.9813,-8.2461,1.4695,0.6303,1.2226,91,0.323,6,4.5214,3.8144,-12.3104,-0.0633,1.5774,-0.3718,92,0.411,7,9.0865,0.803,-11.0973,1.0663,1.2885,0.0818,63
0.563,10,0.0274,-0.5048,-12.9607,0.4933,-0.5186,-0.2127,86,0.857,16,2.8828,5.7401,-6.7188,0.6612,0.2347,1.0483,91,0.375,7,3.5925,3.0146,-12.8273,0.6303,1.4049,-0.9454,92,0.463,8,9.9191,1.2166,-12.3806,1.3813,0.2885,0.2541,63
0.615,11,2.6556,-1.4417,-11.3623,0.6976,-1.0479,-0.8304,86,0.909,17,7.0228,2.4252,-9.6275,0.4579,0.716,0.8532,91,0.426,8,3.8281,1.7806,-13.0586,1.1366,0.6466,-1.364,92,0.514,9,5.5497,0.0286,-7.7047,0.992,0.7957,0.4636,63
0.667,12,2.6627,-1.2021,-10.7717,1.1835,-0.4578,-1.1192,86,0.96,18,10.0443,2.4847,-9.2255,-0.3458,0.3383,0.3398,91,0.478,9,8.0597,-3.9375,-10.9071,0.5975,-0.1822,-0.5936,92,0.566,10,4.9257,0.4268,-10.4586,0.8304,1.2657,0.7191,63
