right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.148,2,7.3078,-4.6262,-7.648,1.097,-1.0687,0.734,75,0.113,2,10.0351,3.9,-4.8422,0.2525,0.5705,-1.5177,77,0.586,11,6.2427,1.9104,-13.2834,0.3448,-1.0868,0.3183,73,0.047,0,7.9044,2.9347,-9.6421,0.5644,0.112,-1.0376,39
0.199,3,6.9723,-4.5109,-7.5851,1.0017,-0.8466,0.5087,75,0.165,3,6.811,-0.7049,-7.0962,0.627,0.191,-1.0394,77,0.637,12,5.1828,3.5143,-10.7362,-0.2114,-0.518,0.5188,73,0.099,1,6.0118,0.8242,-9.6115,0.9501,0.4176,-1.4211,39
0.251,4,6.7748,-4.682,-7.3032,0.941,-0.6889,0.2002,75,0.216,4,4.6678,-1.8151,-8.8767,0.7192,-0.2728,-0.0932,77,0.689,13,4.9537,4.9691,-8.5642,-0.8262,-0.084,0.6389,73,0.151,2,4.9096,-3.1958,-9.7963,0.491,0.4586,-1.1213,39
0.303,5,6.8844,-4.7996,-6.8711,1.0247,-0.6185,-0.1346,75,0.268,5,3.2555,-0.7905,-9.5998,1.1941,-0.4935,0.5974,77,0.741,14,4.4347,5.2391,-12.011,-0.3628,-0.7347,0.5127,73,0.203,3,4.0971,-4.3242,-9.2065,-0.0105,0.3045,-0.5626,39
0.355,6,6.9751,-4.4235,-7.0661,1.2708,-0.7483,-0.4435,75,0.32,6,2.3996,0.31,-9.7677,1.5432,-0.5117,1.1014,77,0.793,15,8.5024,3.5652,-14.0002,-0.657,-1.1814,0.6025,73,0.255,4,8.1075,0.9899,-4.1116,-0.6841,0.0558,-0.2224,39
0.383,7,0.0125,-2.2365,-8.1941,-0.58,1.1068,-0.4492,75,0.631,12,4.3923,0.7123,-7.596,-0.4384,-0.4085,0.3034,77,1.104,21,2.8863,-3.4451,-15.0598,0.5218,0.6454,-0.6872,73,0.566,10,5.2248,1.4952,-8.6027,-0.8228,0.1615,1.6233,39
0.435,8,1.0886,-2.9731,-6.2536,-0.3266,0.1686,-0.2986,75,0.682,13,3.7702,1.2984,-6.8325,-1.0,-0.3687,0.607,77,1.156,22,7.3723,-7.7514,-8.4073,0.6033,-0.0363,-0.3213,73,0.617,11,3.5577,-0.9761,-11.4985,-1.2776,-0.2916,1.56,39
0.486,9,5.8521,-2.5313,-8.9977,-0.2199,-0.4528,-0.5399,75,0.734,14,3.173,0.7247,-6.4864,-1.0679,0.1275,0.6905,77,1.207,23,10.6464,-0.3054,-7.8171,-0.0161,0.3135,-0.2206,73,0.669,12,7.114,1.3686,-11.3953,-0.2577,0.1342,0.6293,39
0.538,10,9.3287,-4.8541,-10.2069,-0.8378,-0.0693,-0.971,75,0.786,15,2.7399,0.6907,-6.688,-0.1077,0.7721,0.2817,77,1.259,24,12.837,0.7945,-8.773,0.0192,0.3791,-0.2708,73,0.721,13,10.3094,-0.7186,-11.0699,0.0121,0.5628,0.6463,39
0.59,11,7.2464,-5.1503,-9.0787,0.0031,0.0269,-0.7331,75,0.838,16,6.9196,2.0733,-7.7364,0.4461,1.2426,-0.4808,77,1.311,25,8.6591,-0.3553,-13.7533,-0.6612,0.202,0.3348,73,0.773,14,11.7674,-0.6619,-13.617,0.6835,1.0957,-0.0379,39
0.642,12,-0.2436,-0.7283,-7.5006,0.2433,0.1405,-0.1629,75,0.89,17,9.9701,4.4482,-8.5724,0.0722,1.2893,-1.0373,77,1.363,26,9.2469,-3.1325,-13.6609,-0.8549,-0.526,0.9192,73,0.825,15,10.7564,4.3032,-15.7167,1.1735,0.1329,-0.3696,39
0.694,13,0.0325,-0.8175,-7.9425,-0.1357,-0.2048,-0.5884,75,0.941,18,11.4525,3.3737,-7.6798,-0.6273,0.3488,-1.4415,77,1.414,27,7.0711,-2.1829,-11.7105,0.0519,-0.9444,1.3486,73,0.876,16,9.9071,2.1487,-14.045,0.1794,-0.5698,-0.5102,39
0.745,14,0.3008,-1.7239,-7.482,-0.4469,0.0821,-0.7237,75,0.993,19,8.5285,-0.6766,-7.6413,-0.4854,-0.418,-1.7385,77,1.466,28,6.3711,1.6407,-10.6748,-0.6345,-0.6583,1.662,73,0.928,17,7.6695,0.5817,-9.83,-0.5074,-1.0814,-0.7148,39
0.797,15,0.1292,-1.5937,-7.5077,-0.5432,0.3073,-0.6129,75,1.045,20,4.1325,-1.751,-7.4749,-0.4317,0.1284,-1.1998,77,1.518,29,7.0023,4.9171,-10.0684,-0.8545,-0.769,1.2456,73,0.98,18,7.1315,-1.8256,-7.7682,-0.7654,-0.6692,-0.8861,39
0.849,16,1.2058,-1.0524,-7.7372,-0.3623,-0.4211,-0.1792,75,1.097,21,1.9918,-1.1042,-7.28,-0.0282,-0.2411,-0.6023,77,1.57,30,10.3764,-1.6483,-13.6012,0.0529,-0.2208,0.3751,73,1.032,19,3.6584,-5.6225,-13.6508,0.116,0.1039,-1.1594,39
0.901,17,5.9376,-0.8006,-11.1562,-0.9418,0.1545,0.0541,75,1.149,22,2.0603,0.1915,-7.1585,-0.1281,-0.6982,-0.3455,77,1.622,31,12.0378,4.1489,-13.8438,-0.6,0.5172,0.3653,73,1.083,20,7.7873,1.1886,-12.1647,-0.4913,-0.0351,-0.9515,39
0.953,18,9.3912,-2.9733,-10.9553,-1.2611,0.6246,-0.081,75,1.201,23,1.8298,0.4923,-6.584,-0.4884,-0.5291,-0.2504,77,1.673,32,14.0514,8.3799,-8.7926,-1.1131,1.055,0.7382,73,1.135,21,10.8008,-3.29,-12.0499,0.0849,-0.0299,-0.6359,39
1.005,19,6.1602,-2.1358,-9.7613,-0.338,1.1383,0.355,75,1.252,24,6.2554,2.1627,-7.2968,-1.0272,-0.8685,-0.0052,77,1.725,33,11.9554,0.879,-7.9765,-0.1375,1.0761,-0.134,73,1.187,22,8.7627,-2.6417,-16.7335,-0.5333,0.1515,-0.1703,39
1.056,20,-0.7753,-0.9208,-10.3329,-0.2823,0.742,-0.0662,75,1.304,25,9.4853,2.9483,-11.5284,-0.405,-0.5083,0.2778,77,1.777,34,9.3958,2.8217,-7.0746,-0.3562,0.8711,-0.7718,73,1.239,23,8.1554,-7.2248,-13.4275,-0.1601,0.1642,0.4628,39
1.108,21,-0.5947,-1.9081,-9.7478,0.4682,0.0225,-0.4138,75,1.356,26,8.2829,3.686,-9.8332,-0.3557,-0.8364,0.3083,77,1.829,35,7.5392,-1.0347,-6.3302,0.3182,0.9225,-1.2373,73,1.29,24,5.7162,-4.6137,-11.4149,0.5578,0.8048,0.5923,39
