right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.723,13,3.4183,0.1794,-12.7751,-0.8045,0.9464,-0.769,76,0.005,0,9.7838,4.7821,-9.5283,-0.8041,-0.1947,0.0886,85,0.405,7,10.7921,-6.7967,-9.9245,-0.649,-0.0781,0.1244,75
0.775,14,1.8894,-0.3056,-12.2295,-1.2646,0.8331,-0.8823,76,0.057,1,8.1706,4.4491,-8.7306,-0.8247,0.0873,0.4482,85,0.456,8,8.1771,-7.0106,-9.74,-1.0706,-0.0146,0.7685,75
0.827,15,3.86,-1.8125,-11.4376,-1.548,-0.0077,-1.2342,76,0.108,2,2.8221,4.536,-8.6784,-0.2479,0.7428,0.2861,85,0.508,9,5.6541,-4.3208,-12.1928,-1.4497,-0.0447,1.2375,75
0.879,16,7.8748,-4.0685,-16.3442,-1.0889,-0.4831,-1.5759,76,0.16,3,1.6672,4.316,-8.2743,-0.5015,-0.1305,0.175,85,0.56,10,4.482,1.7829,-10.2535,-1.7333,-0.1791,1.0556,75
0.93,17,8.1486,-3.4373,-13.8128,-0.1507,-0.0398,-0.9203,76,0.212,4,1.2414,3.9189,-7.7632,0.0526,0.4186,-0.1987,85,0.612,11,3.1683,4.9869,-15.4883,-0.9363,-0.5445,1.3649,75
0.982,18,2.5792,-4.0304,-12.7217,-0.0555,0.4466,-1.1944,76,0.264,5,0.7976,5.8349,-6.6935,0.4797,0.6486,-0.8191,85,0.663,12,7.5781,8.0625,-13.1315,-1.2672,-0.7757,0.6175,75
1.034,19,2.8151,-3.4088,-9.9954,0.4319,-0.3402,-1.4161,76,0.316,6,5.502,7.0807,-6.9202,-0.0121,0.3616,-1.2819,85,0.715,13,7.3538,8.6297,-14.4665,-0.9709,-0.4341,0.3977,75
1.086,20,2.2305,-3.8957,-8.76,0.1001,0.4318,-0.6818,76,0.368,7,8.9355,7.2373,-8.5157,-0.5267,0.1919,-0.9376,85,0.767,14,6.3716,11.384,-13.7781,-0.6541,0.344,-0.3838,75
1.137,21,2.0906,-5.2017,-7.4981,-0.6043,0.6522,0.179,76,0.419,8,8.3799,5.0263,-8.9678,-0.8132,-0.1372,-0.6314,85,0.819,15,6.0277,8.2451,-14.9894,0.1992,0.3943,-0.9541,75
1.189,22,6.5834,-7.5995,-7.7522,-0.5877,-0.1933,0.8073,76,0.471,9,5.11,2.5199,-9.3823,-0.2184,0.5789,-0.8771,85,0.871,16,4.4682,2.8781,-13.6157,0.8217,0.0936,-1.3704,75
1.241,23,9.8625,-8.8612,-12.1996,0.2278,-0.2675,1.2658,76,0.523,10,3.4582,1.4473,-9.6504,0.4514,0.021,-0.9354,85,0.922,17,3.8647,-3.1365,-12.0526,0.3904,-0.0617,-1.3018,75
1.293,24,12.2557,-6.1875,-15.666,0.8406,-0.3288,1.597,76,0.575,11,1.9015,0.5397,-8.5873,0.4258,0.331,-0.8731,85,0.974,18,8.0864,-2.1425,-9.3486,0.7878,-0.4284,-1.2324,75
1.345,25,5.0473,-2.5763,-14.122,0.4766,0.4424,1.8398,76,0.627,12,-0.7808,2.1038,-7.7124,0.437,0.8293,-0.6986,85,1.026,19,11.1675,3.3037,-10.1775,0.6341,-0.0688,-1.5054,75
1.396,26,1.3248,-1.3019,-13.9852,0.65,-0.3464,1.2277,76,0.678,13,2.6874,6.8623,-6.2414,0.7456,-0.0674,-0.6255,85,1.078,20,13.4003,-1.6346,-12.7928,-0.1725,0.6281,-0.6929,75
1.448,27,0.8294,-2.3194,-13.4635,0.2024,-0.4303,1.0726,76,0.73,14,6.8812,10.3353,-5.9447,0.8605,-0.596,0.1236,85,1.129,21,10.9522,-6.4006,-17.3416,-0.6614,0.9242,-0.0959,75
1.5,28,0.1099,-3.3479,-12.2623,-0.2153,-0.6107,1.3185,76,0.782,15,8.0358,9.3141,-4.9821,0.5945,-0.6668,0.6678,85,1.181,22,9.2443,-8.8369,-19.8703,-1.1295,0.0011,0.5417,75
1.552,29,-0.2148,-5.6983,-9.664,-0.538,-0.4485,1.6389,76,0.834,16,3.9243,5.1787,-6.5119,0.4778,0.1925,0.9219,85,1.233,23,8.3084,-6.1576,-15.7633,-0.1478,-0.6726,0.2729,75
1.604,30,1.8005,-9.3566,-7.4336,0.1595,-0.9967,1.8728,76,0.886,17,3.7097,4.4349,-7.5337,1.0205,-0.5322,0.8114,85,1.285,24,9.8694,-2.7354,-11.3462,-0.5654,-0.6966,0.8769,75
1.655,31,6.3717,-9.734,-9.2341,0.4959,-0.6453,1.6487,76,0.937,18,2.2705,3.8553,-7.0385,0.8348,0.2907,0.5194,85,1.336,25,10.1467,-0.2854,-5.6969,-1.0314,-0.0694,1.3037,75
1.707,32,5.0137,-8.7894,-10.1197,0.7379,-1.0812,0.5281,76,0.989,19,-0.0654,4.6492,-5.9926,1.281,0.8238,0.3085,85,1.388,26,12.6713,-1.5384,-1.5738,-0.4111,0.46,0.2939,75
1.759,33,5.5696,-2.6131,-11.2967,0.8611,-0.6317,-0.1263,76,1.041,20,1.5944,6.9816,-3.9812,0.5454,0.3903,0.0248,85,1.44,27,14.5138,-2.3217,-4.6234,-0.0461,0.7313,0.1623,75
1.811,34,3.5159,-2.8767,-11.2869,-0.0489,-0.3592,-0.7387,76,1.093,21,6.0835,10.0521,-4.0256,-0.282,0.1352,-0.0165,85,1.492,28,15.3199,1.6578,-5.5814,0.5746,0.2456,-0.3087,75
1.863,35,2.3171,-2.5159,-11.0866,-0.4524,-0.2581,-1.2142,76,1.145,22,9.3599,7.9001,-8.3688,-0.8858,0.1337,0.2583,85,1.544,29,12.5552,5.2525,-6.9827,0.7358,0.8455,-0.8993,75
