right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.709,13,4.1844,2.214,-16.4117,-0.4107,1.0294,0.4589,85,0.028,0,11.5147,-0.1717,-12.4236,0.6549,0.2984,-0.4899,90,0.39,7,4.5264,-3.178,-16.5682,0.328,0.4626,0.9366,93,0.181,3,1.2601,0.4537,-17.2713,0.0963,1.7212,0.6848,63
0.76,14,2.4777,0.7031,-15.428,-0.6441,1.1706,0.7758,85,0.08,1,7.9584,-0.5097,-10.871,0.5662,0.4636,-0.8457,90,0.442,8,4.1294,-0.5705,-14.677,-0.4358,0.5972,0.9676,93,0.233,4,6.037,5.6233,-9.9976,0.4071,0.5894,1.0586,63
0.812,15,1.1492,1.3315,-14.7497,-0.4839,0.7075,0.5758,85,0.132,2,6.1106,-0.9416,-9.3895,-0.184,0.3685,-0.6633,90,0.494,9,7.3692,-5.3173,-11.218,0.3585,-0.064,0.1261,93,0.285,5,9.5234,-1.1927,-9.6941,0.3764,0.4144,0.8656,63
0.864,16,0.6197,2.3042,-14.7029,-0.64,-0.1173,-0.2548,85,0.184,3,4.1755,-2.0177,-9.1768,-0.8143,0.1719,-0.2138,90,0.546,10,7.9479,-8.3358,-12.2809,-0.4136,0.3763,0.2058,93,0.337,6,6.6787,-2.1466,-11.9461,0.2374,0.0404,0.517,63
0.916,17,3.9196,4.3542,-17.6255,-0.3478,-0.7549,-0.8611,85,0.236,4,3.5495,-1.9417,-9.023,-0.6957,0.1716,0.0665,90,0.597,11,8.1951,-6.8617,-13.7622,-0.1654,0.129,0.0169,93,0.389,7,8.6683,-2.1362,-13.4455,0.4753,0.3988,0.1696,63
0.968,18,4.0121,5.6356,-17.9758,-0.2693,-0.7169,-0.8991,85,0.287,5,4.6796,-0.3309,-9.0667,-0.5465,0.2775,0.2289,90,0.649,12,8.9464,-4.6632,-14.0381,0.1163,0.1839,-0.0838,93,0.44,8,9.2008,-2.262,-14.1011,0.4625,0.976,0.0659,63
1.019,19,5.2464,7.2353,-18.3978,-0.2311,-0.4202,-0.7627,85,0.339,6,8.3346,0.827,-10.2486,-0.6376,0.0141,0.145,90,0.701,13,8.7214,-4.6704,-14.0742,-0.1774,0.6193,-0.1124,93,0.492,9,9.5305,-1.5516,-13.122,0.9332,1.3233,-0.2052,63
1.071,20,5.0673,7.7558,-17.5821,-0.4247,-0.4269,-0.7115,85,0.391,7,8.484,1.054,-9.9229,-0.2294,0.3232,-0.4424,90,0.753,14,9.107,-2.4873,-13.2011,-0.0755,0.5593,-0.1345,93,0.544,10,6.627,-2.3843,-14.4647,1.3558,1.4396,-0.6647,63
1.123,21,3.9062,6.4957,-16.4589,-0.9235,-0.3292,-0.4981,85,0.443,8,11.1112,2.5006,-9.9981,-0.0425,0.1928,-0.8908,90,0.805,15,9.1583,-1.829,-12.904,0.0802,0.3648,-0.1475,93,0.596,11,5.1012,0.122,-13.1178,0.5639,0.8183,-0.6079,63
1.175,22,2.6645,4.6491,-15.358,-0.9565,-0.0971,0.0741,85,0.495,9,9.9884,2.3955,-9.593,-0.2389,0.3203,-1.1886,90,0.856,16,9.2229,-1.5822,-12.8227,-0.1195,0.2007,-0.2177,93,0.648,12,6.0688,-2.2445,-8.1183,0.2886,0.4584,-0.405,63
