right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.656,12,12.799,-0.5829,-12.9805,0.4746,0.297,-0.3616,75,0.041,0,6.8597,4.1209,-11.0933,0.7411,0.3339,-0.487,74,0.183,3,9.5001,-0.2105,-11.0644,0.0906,-0.0016,0.2651,70,0.9,17,5.0679,-1.7854,-12.6491,-0.3743,-0.6023,0.9036,39
0.707,13,10.2577,1.9659,-13.4536,0.6422,-0.4486,-0.9378,75,0.093,1,5.7865,4.2565,-9.4697,0.781,0.4609,-0.4722,74,0.235,4,9.3466,-0.4337,-9.9584,-0.0932,-0.3589,0.2317,70,0.952,18,8.8161,-3.1114,-14.8004,-0.0597,0.152,0.0182,39
0.759,14,7.8445,0.938,-11.9764,-0.2087,-0.9863,-1.3596,75,0.145,2,2.5684,5.9391,-7.5659,0.0883,1.0153,-0.421,74,0.286,5,8.2236,-1.267,-11.5055,-0.3156,-0.7047,0.2904,70,1.003,19,8.4088,0.4837,-14.8845,0.6311,0.7959,-0.6548,39
0.811,15,8.842,-2.6718,-11.4477,-0.8297,-0.1061,-1.5801,75,0.197,3,6.7944,6.4157,-9.0167,-0.6156,0.0684,0.3581,74,0.338,6,8.9425,-1.2757,-12.0835,-0.3026,-0.9314,0.274,70,1.055,20,4.1815,-0.6325,-15.1946,1.1353,0.5733,-0.5337,39
0.863,16,6.2333,-5.3794,-14.7488,-1.2829,0.605,-1.372,75,0.248,4,9.8787,10.0093,-12.1934,0.2224,0.729,0.0191,74,0.39,7,10.1061,-1.3479,-14.0882,-0.1691,-0.8515,0.2162,70,1.107,21,4.0736,2.3201,-16.1439,0.2119,-0.0646,-0.2352,39
0.914,17,4.9544,-5.7249,-15.4883,-0.262,-0.2278,-1.1007,75,0.3,5,7.5996,10.9221,-13.3035,-0.2868,0.8135,-0.5482,74,0.442,8,12.6416,-2.7063,-14.3259,-0.1169,-0.1722,-0.1408,70,1.159,22,1.8859,-2.1878,-13.7827,0.3642,-0.0818,-0.3024,39
0.966,18,8.6736,-3.4701,-16.3773,0.4832,-0.8356,-0.7402,75,0.352,6,4.5173,6.9665,-12.8999,-0.6088,0.957,-1.0864,74,0.494,9,10.8922,-4.0908,-10.8534,-0.7605,0.5479,-0.1359,70,1.21,23,0.7395,-4.4526,-18.0404,0.4141,-0.279,0.2932,39
1.018,19,11.388,0.8708,-15.5604,1.027,-0.4638,-0.0208,75,0.404,7,3.3965,5.9813,-13.1825,-0.4876,0.0258,-1.4793,74,0.545,10,8.7399,-5.5613,-10.2082,0.0789,0.6093,0.2365,70,1.262,24,5.657,-4.1848,-15.8051,-0.3627,-0.5817,0.1176,39
1.07,20,9.9794,2.1876,-11.9825,0.0781,-0.2782,0.6613,75,0.456,8,6.4406,3.1702,-12.0345,-1.0359,-0.6538,-1.7605,74,0.597,11,3.6137,-3.0284,-10.8205,0.7341,1.093,-0.0734,70,1.314,25,9.246,-3.4713,-13.6407,-0.2585,-0.0913,-0.1246,39
1.122,21,7.3606,0.8494,-11.4073,0.6768,-0.1268,0.6469,75,0.508,9,3.992,4.0414,-8.7857,-0.1104,-0.014,-1.9712,74,0.649,12,2.5573,-0.5817,-12.6281,-0.1394,1.1384,0.2595,70,1.366,26,11.364,-2.7163,-9.4675,0.0345,-0.1725,0.1813,39
