right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.54,10,3.6002,0.1275,-7.6881,-0.5958,0.1378,-0.1488,87,0.02,0,1.6938,1.6903,-9.161,0.095,0.167,0.2205,88,0.166,3,11.5857,-5.816,-13.8574,-0.1602,0.3728,0.0251,92,0.091,1,7.0874,4.3038,-9.3278,0.7965,-1.2278,0.216,63
0.592,11,3.304,-0.619,-8.3104,-1.0929,0.0035,-0.5452,87,0.072,1,1.0721,2.2536,-9.6531,0.5079,0.0356,0.0969,88,0.218,4,8.9598,-6.3669,-10.7795,0.5596,0.5406,0.5863,92,0.143,2,10.29,-1.8055,-14.789,0.4227,-0.5642,0.1177,63
0.643,12,1.9061,-1.5912,-8.4609,-0.5511,-0.037,-0.6859,87,0.124,2,0.857,2.5639,-9.523,0.3916,0.0213,-0.2245,88,0.27,5,6.4254,-2.8271,-10.8866,-0.2668,1.0023,1.0978,92,0.194,3,12.6274,0.2699,-14.535,0.5082,-1.0785,-0.576,63
0.695,13,1.0292,-2.4349,-7.691,0.2722,-0.2166,-0.6913,87,0.176,3,1.8584,1.2792,-9.4921,-0.2237,-0.0934,-0.4581,88,0.321,6,5.0325,0.3916,-10.7104,-0.87,1.3936,1.3612,92,0.246,4,14.012,-1.7974,-16.4004,0.6239,-0.8687,-0.3211,63
0.747,14,3.5908,-1.6276,-7.5082,0.873,-0.4222,-0.381,87,0.227,4,6.2762,0.749,-10.0044,-0.8433,-0.7408,-0.5961,88,0.373,7,2.1639,3.121,-15.8218,-0.5894,0.4181,1.0817,92,0.298,5,12.0837,-0.5849,-14.7227,1.1284,0.0509,0.1021,63
0.799,15,7.6779,1.7128,-11.948,0.4278,0.0204,0.1783,87,0.279,5,9.5006,-0.7601,-12.2309,-0.8506,-0.2418,-0.32,88,0.425,8,6.5737,-1.325,-12.8892,-0.3334,-0.2636,0.8264,92,0.35,6,9.4928,3.9622,-15.5169,0.1465,-0.5704,0.1797,63
0.851,16,10.6608,1.2655,-10.4496,-0.3651,0.6203,0.7848,87,0.331,6,9.1606,-0.3574,-11.7803,0.051,0.4906,-0.1222,88,0.477,9,7.577,-1.5984,-17.2176,-0.8838,-0.4264,0.8083,92,0.402,7,10.4842,-0.1231,-15.4391,-0.5701,-1.0831,-0.0703,63
0.902,17,5.0286,2.2068,-9.9005,-0.5855,1.1326,1.0722,87,0.383,7,6.5595,0.5817,-10.509,0.1667,-0.1006,-0.0929,88,0.529,10,10.7958,-2.4513,-14.4035,-0.5983,-0.0903,0.5089,92,0.453,8,5.0777,-5.3867,-13.4586,-1.0932,-0.1055,-0.1495,63
0.954,18,3.0499,0.5939,-9.4516,-0.2931,0.3931,0.6249,87,0.435,8,4.2463,0.358,-10.0943,0.1477,0.0305,0.0304,88,0.58,11,10.0558,0.5642,-14.2656,0.1544,0.2037,0.3573,92,0.505,9,4.1264,-6.805,-11.8389,-0.2081,0.4702,-0.2294,63
1.006,19,2.6584,0.6152,-9.5844,0.2221,0.4721,0.2625,87,0.486,9,2.0969,0.253,-8.8463,0.3579,-0.0408,0.1386,88,0.632,12,5.851,-1.1847,-16.5736,0.7892,-0.5025,-0.4018,92,0.557,10,3.4647,-8.924,-12.7853,0.5228,0.8836,-0.5999,63
1.058,20,1.5101,1.3342,-9.7951,0.4025,0.5522,0.1493,87,0.538,10,0.3418,0.3133,-8.5575,0.4766,0.123,0.3207,88,0.684,13,4.1567,2.4167,-14.0882,0.6788,-0.5554,-0.6233,92,0.609,11,7.646,-11.8099,-6.7235,-0.1356,0.992,0.2425,63
