right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.561,10,7.8284,-1.3986,-10.4404,0.2268,-0.0733,0.2116,73,0.178,3,5.8946,0.435,-8.0802,-1.6955,0.6928,-0.4037,88,0.261,5,9.5642,-1.8696,-9.7839,0.1255,0.6582,0.1104,70,0.014,0,8.6663,-2.6595,-12.4082,-0.1462,-0.3807,-0.14,40
0.613,11,8.365,-1.3676,-10.4998,0.3535,-0.3086,-0.0085,73,0.23,4,3.4851,-1.1722,-7.9562,-1.9174,0.4756,-0.4775,88,0.312,6,8.9446,-2.1678,-8.7766,-0.0613,0.6864,0.0152,70,0.065,1,8.4754,-2.9862,-12.2693,-0.0116,-0.1922,-0.2536,40
0.664,12,9.0468,-1.5676,-10.2038,0.2342,-0.3484,-0.1375,73,0.282,5,7.463,-1.908,-9.9425,-1.8176,0.256,-0.262,88,0.364,7,9.0881,-1.9519,-8.4373,-0.0983,0.4925,-0.0016,70,0.117,2,8.5574,-2.5239,-12.2815,-0.1615,-0.1147,-0.2893,40
0.716,13,9.8296,-1.5843,-9.9673,0.1963,-0.1804,-0.115,73,0.334,6,10.3662,-0.6342,-11.7199,-0.6653,0.2082,0.2716,88,0.416,8,9.1405,-2.1192,-8.2688,0.0783,0.2436,0.029,70,0.169,3,8.4862,-2.1691,-12.3011,-0.056,-0.0903,-0.2101,40
0.768,14,9.7371,-2.064,-9.5449,0.1298,0.1591,0.1288,73,0.385,7,12.4817,0.7164,-12.6767,0.1861,0.1439,0.2168,88,0.468,9,9.1215,-2.1407,-8.0777,0.0351,0.0355,-0.0445,70,0.221,4,8.5127,-2.2259,-12.2917,0.0179,-0.085,-0.0956,40
0.82,15,9.1426,-2.2312,-8.8664,0.1559,0.415,0.1704,73,0.437,8,6.7098,1.0529,-11.7399,0.7056,0.7833,0.3306,88,0.52,10,8.9929,-2.1391,-7.8221,-0.1534,-0.2451,-0.1071,70,0.272,5,8.3839,-1.7518,-12.1876,0.0008,-0.185,0.1402,40
0.871,16,6.4148,-1.2979,-8.5321,0.2813,0.9853,0.4012,73,0.489,9,2.4236,0.6833,-11.8803,1.1514,-0.069,0.7337,88,0.571,11,9.2678,-2.2451,-8.0648,-0.2158,-0.8523,-0.2144,70,0.324,6,8.6948,-2.2657,-12.2644,-0.1865,-0.5264,0.6719,40
0.923,17,2.9517,0.8332,-8.6524,0.1997,0.994,0.3475,73,0.541,10,1.8524,1.7921,-11.2791,1.3817,-0.6269,0.9902,88,0.623,12,9.2729,-1.0934,-9.8198,0.226,-1.2954,-0.3579,70,0.376,7,7.6128,-1.7901,-11.0562,-0.3713,-0.5562,1.0245,40
0.975,18,7.2109,-2.3392,-11.1782,-0.3829,0.0561,0.1473,73,0.593,11,1.4273,1.5107,-10.6794,1.6467,-0.8062,1.2345,88,0.675,13,6.3072,0.2275,-8.417,0.631,-1.537,-0.6087,70,0.428,8,7.3443,-0.5982,-11.5937,-0.2913,-1.0728,1.0925,40
1.027,19,10.3195,-2.9734,-12.212,-0.8347,0.3553,0.2925,73,0.644,12,2.6092,2.279,-9.7908,1.2283,-0.9946,1.4383,88,0.727,14,8.4469,0.3118,-12.4893,0.8261,-1.3364,-0.3078,70,0.48,9,6.1336,-2.795,-14.2376,-0.2511,-0.8546,0.9125,40
1.079,20,10.6837,-4.8432,-11.8252,-1.2866,0.8737,0.5597,73,0.696,13,3.1692,0.9576,-9.0564,0.222,-1.0046,1.3565,88,0.779,15,9.1192,-0.7538,-16.1813,0.6984,-0.6503,-0.3312,70,0.531,10,7.1599,-4.5599,-15.8421,-0.0375,-0.4363,0.476,40
1.13,21,5.3783,-4.6145,-10.4279,-0.5469,1.32,0.3741,73,0.748,14,7.2325,-3.2907,-13.3371,-0.402,-1.0775,0.7638,88,0.83,16,11.9213,-4.924,-15.014,-0.0246,0.2038,-0.3986,70,0.583,11,10.3429,-3.3802,-18.1226,0.4019,-0.0783,-0.324,40
1.182,22,1.4719,-3.0639,-11.1418,-0.2158,0.3312,0.1099,73,0.8,15,10.198,-5.307,-13.5617,-0.0638,-0.4876,0.0215,88,0.882,17,9.9416,-4.8889,-16.9286,-0.6932,0.6649,0.3285,70,0.635,12,7.0066,-2.0233,-18.6604,0.968,0.1624,-0.9079,40
1.234,23,1.259,-2.8035,-11.2905,-0.5739,-0.4276,-0.0728,73,0.852,16,9.2557,-3.9159,-12.3946,0.6251,0.3229,-0.6663,88,0.934,18,9.5004,-6.0534,-14.4546,-1.1811,0.0485,0.5733,70,0.687,13,8.8911,-1.6301,-11.4163,0.03,-0.5337,0.0177,40
