right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.553,10,7.1313,0.3388,-13.9291,-0.1069,-1.1553,0.3851,77,0.003,0,8.7451,0.192,-13.2402,-1.065,-0.3897,0.8072,51
0.605,11,8.4856,0.0545,-16.4042,-0.1585,-0.8008,0.0953,77,0.055,1,9.1604,-0.5318,-13.374,-0.9001,-0.6636,1.1268,51
0.656,12,11.4589,2.1139,-16.7957,0.0639,0.0467,-0.4726,77,0.107,2,8.4481,-0.5978,-12.6603,-0.9677,-0.9249,1.5027,51
0.708,13,7.7676,-0.1265,-18.5266,0.5792,0.5029,-0.5983,77,0.158,3,6.9138,0.1875,-9.1361,-0.8639,-1.0511,1.6014,51
0.76,14,6.6201,1.8302,-13.4641,0.746,0.3039,-0.5231,77,0.21,4,6.0699,0.7308,-8.5041,-0.8306,-1.4224,1.1904,51
0.812,15,6.4179,0.5603,-10.7403,0.4371,0.8596,-0.5125,77,0.262,5,9.1434,-2.362,-10.7205,-0.2744,-0.5555,0.3004,51
0.863,16,5.6945,0.8203,-11.6339,0.5711,1.3057,-0.6084,77,0.314,6,10.8042,0.1259,-11.5568,0.3287,0.2317,-0.4521,51
0.915,17,2.5925,-1.5586,-15.1488,0.959,1.4813,-0.6733,77,0.365,7,7.4516,-4.0318,-16.4159,0.9146,0.8541,-0.4833,51
0.967,18,6.2157,-5.0418,-8.4722,1.3765,0.5817,-0.9898,77,0.417,8,5.1758,-3.0578,-17.4077,1.3422,-0.0434,-0.0424,51
1.019,19,1.5311,-5.7195,-14.1883,0.8283,-0.1705,-0.5712,77,0.469,9,5.4432,-0.8308,-12.3773,1.2979,-0.1581,0.1417,51
1.071,20,5.1443,-3.7264,-16.068,-0.0707,0.4992,-0.5107,77,0.521,10,3.0303,0.551,-10.8506,0.9599,0.0104,0.037,51
1.122,21,8.5625,-3.3603,-15.1249,-0.7221,1.0427,-0.0142,77,0.573,11,2.5369,-0.0645,-9.6101,1.0685,-0.472,-0.17,51
1.174,22,5.3186,-3.3243,-17.8407,-0.1525,0.0876,0.2309,77,0.624,12,6.752,5.2451,-4.9036,1.2658,-1.011,-0.6858,51
1.226,23,3.4936,-2.7967,-14.6747,-0.6172,-0.6095,0.7621,77,0.676,13,8.4404,0.6477,-7.8619,1.2852,-0.4222,-0.2808,51
1.278,24,1.9318,-1.2591,-11.0759,-0.1306,-0.7395,0.699,77,0.728,14,11.2775,-0.1534,-8.9459,0.9821,0.2747,-0.8203,51
1.33,25,3.0899,-1.1519,-10.1169,-0.2222,-0.3604,0.4157,77,0.78,15,8.0132,0.403,-11.1254,0.0397,0.8854,0.0778,51
1.381,26,3.3071,-0.9714,-9.4591,-0.0721,-0.1346,0.3566,77,0.831,16,9.4115,-1.3307,-9.2472,-0.4081,-0.0206,0.2621,51
1.433,27,7.6794,0.0591,-14.9085,-0.212,-0.2913,0.9308,77,0.883,17,7.0657,1.6508,-9.9359,0.367,0.67,0.1912,51
1.485,28,5.5399,-2.7312,-17.7172,0.1565,-0.5217,0.7621,77,0.935,18,4.1694,2.8582,-11.1611,-0.4092,1.1739,-0.2256,51
1.537,29,8.2868,-5.6183,-13.7399,-0.299,0.2976,0.3344,77,0.987,19,2.4738,0.2028,-14.152,-0.9758,1.5417,-0.836,51
1.589,30,8.8364,-2.4244,-12.2243,0.4583,-0.2451,-0.2274,77,1.039,20,1.0898,-0.5708,-16.5376,-0.9885,1.8057,-0.4,51
1.64,31,7.959,-1.7091,-11.3412,-0.1807,-0.7397,-0.4335,77,1.09,21,0.6106,0.177,-19.0906,-0.3866,2.0028,0.3884,51
1.692,32,3.801,-3.3001,-8.437,-0.1634,0.1303,-0.7245,77,1.142,22,2.7461,-1.8445,-18.4126,-0.0769,0.795,-0.3879,51
1.744,33,0.3054,-3.7723,-7.8051,-0.3317,0.7735,-0.7921,77,1.194,23,6.1204,0.8684,-19.722,0.4869,1.2652,-0.9545,51
1.796,34,1.3436,-5.3639,-13.7014,-0.4361,1.2429,-0.4984,77,1.246,24,2.9325,-1.5439,-19.9966,1.0301,1.3597,-0.5712,51
1.848,35,-0.6033,-4.4802,-17.4097,-0.6033,0.8488,-0.0426,77,1.298,25,4.7654,0.8229,-20.2875,1.4159,0.3256,0.1292,51
1.9,36,-5.7645,-4.2728,-10.1223,0.1953,1.2579,0.3087,77,1.349,26,3.2932,4.8365,-14.1735,1.5732,0.9226,0.7746,51
1.951,37,1.0586,2.2335,-11.8178,-0.1397,0.6964,0.3738,77,1.401,27,-1.9764,5.4337,-12.5843,1.2332,0.4565,-0.106,51
2.003,38,6.0384,4.2551,-10.5602,-0.137,1.1866,-0.2358,77,1.453,28,0.9637,4.0018,-8.3846,1.5551,-0.3336,-0.7488,51
2.055,39,1.5458,1.1988,-15.7122,-0.5585,1.3816,0.3556,77,1.505,29,5.4431,-2.3761,-6.8329,1.3644,-0.492,-0.6459,51
2.107,40,5.4261,5.273,-17.3037,0.1306,0.3349,0.4555,77,1.556,30,1.3262,-7.031,-12.0666,1.3603,0.3259,0.1901,51
2.159,41,-0.4829,0.4245,-11.5369,-0.0978,-0.116,0.4804,77,1.608,31,6.0852,-5.8008,-13.2968,1.1882,-0.3889,-0.2845,51
2.21,42,2.0503,-0.3858,-8.7276,-0.0945,0.3195,0.3485,77,1.66,32,6.9001,-4.1004,-15.9622,0.5723,0.4011,0.1392,51
2.262,43,2.44,1.0665,-8.4656,-0.6302,0.6794,0.5218,77,1.712,33,9.6622,-0.0497,-14.6722,0.6741,-0.374,0.1822,51
2.314,44,1.6885,2.2159,-9.3171,-1.1352,0.1315,0.6449,77,1.764,34,6.6101,2.0118,-13.98,-0.1851,0.412,0.2188,51
2.366,45,6.4981,6.9692,-14.8049,-0.1911,-0.2607,1.0044,77,1.815,35,4.0234,1.1022,-17.4683,-0.576,0.9857,-0.5062,51
2.418,46,10.0083,8.5176,-18.8102,-0.6389,-0.8637,0.6413,77,1.867,36,1.5713,-1.0467,-20.0102,-0.6609,1.2003,-1.0409,51
2.469,47,6.4184,2.724,-18.3173,-0.288,-0.4143,0.055,77,1.919,37,1.1655,-3.1046,-19.0962,-0.7475,0.4246,-0.8035,51
2.521,48,9.9502,4.9605,-17.6574,-0.6148,-0.9758,0.087,77,1.971,38,0.1952,-7.5627,-21.9185,-1.2226,0.9169,-0.8411,51
2.573,49,1.9379,2.7652,-10.3031,-0.2215,-0.0338,-0.1971,77,2.022,39,-0.5539,-4.6573,-14.8271,-1.235,1.3532,-0.7856,51
2.625,50,1.3448,0.5031,-12.4221,-0.6914,0.6537,-0.2303,77,2.074,40,1.5831,-5.7237,-18.8027,-0.3802,0.3208,-1.2448,51
2.677,51,3.4942,0.9069,-15.8608,-1.0431,1.1554,0.0597,77,2.126,41,2.4027,-3.5458,-19.2117,-0.0743,0.9191,-1.5799,51
