right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.025,0,11.2331,-2.9347,-16.7664,-0.7662,0.827,-0.1228,88,0.129,2,6.2326,-0.0572,-9.162,0.9283,-1.4134,-0.0175,52
0.077,1,12.264,0.2072,-15.237,-0.5329,0.3598,-0.268,88,0.18,3,4.8695,0.4556,-14.668,0.2041,-1.3559,0.2372,52
0.129,2,12.6179,-0.5758,-14.6663,-0.8754,0.0305,0.3172,88,0.232,4,8.6713,-0.8352,-14.466,-0.2514,-1.4561,0.2127,52
0.181,3,11.6895,1.901,-11.8517,-0.5645,0.1259,0.1739,88,0.284,5,8.5441,-0.5302,-16.7963,-0.2827,-0.895,0.059,52
0.232,4,11.2146,0.4847,-13.1471,-0.4571,0.1499,0.4891,88,0.336,6,11.3532,-1.0728,-16.2451,-0.3727,0.0317,0.1792,52
0.284,5,7.7113,-1.3044,-12.3211,-0.2129,-0.0399,0.9488,88,0.388,7,10.3053,-0.6505,-15.3395,-0.4013,0.3691,0.3835,52
0.336,6,6.2031,-1.9827,-11.7472,0.5211,-0.4394,1.3044,88,0.439,8,10.4491,-0.3948,-13.5431,-0.97,0.3061,0.6518,52
0.388,7,4.8856,3.0764,-11.3595,1.0569,-0.3149,1.5005,88,0.491,9,7.2906,-1.7348,-10.8131,-0.0333,0.9084,0.3844,52
0.439,8,8.8315,7.5972,-5.7066,1.4479,-0.7878,0.4239,88,0.543,10,7.2464,0.4005,-10.8727,-0.4608,1.3479,0.0569,52
0.491,9,11.7114,2.9639,-5.7263,1.3977,-0.4495,0.3028,88,0.595,11,4.1073,0.0059,-15.9166,-1.0134,1.6688,0.5711,52
0.543,10,10.9317,2.705,-7.7836,0.8928,-0.8232,0.8953,88,0.646,12,5.831,5.2964,-19.5978,-0.9565,0.5511,0.4395,52
0.595,11,11.6118,0.4537,-13.5782,0.0436,-0.6545,1.3311,88,0.698,13,9.373,-1.4312,-18.7149,-1.3752,0.0734,0.8511,52
