right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.57,11,7.8645,5.9786,-15.1545,0.2663,-0.48,-0.1153,75,0.002,0,6.4363,-7.7071,-17.3797,0.5216,0.4405,0.4291,51
0.622,12,0.4157,7.1841,-19.0653,0.5599,-0.6884,0.3332,75,0.053,1,6.0807,-5.2729,-14.484,1.0553,-0.3453,0.8659,51
0.674,13,2.9734,4.211,-18.4582,0.207,-0.5633,0.0702,75,0.105,2,4.1969,-1.157,-12.6629,0.2825,0.2503,0.6038,51
0.726,14,5.609,4.4712,-17.4579,0.2945,0.2672,-0.0238,75,0.157,3,3.7429,-1.74,-14.3497,0.0435,-0.3763,0.6985,51
0.777,15,5.4813,2.6159,-20.7465,-0.4603,0.4848,0.3264,75,0.209,4,4.1537,2.0813,-13.7139,-0.1066,-0.8322,0.7215,51
0.829,16,2.7756,0.3859,-20.8283,0.2213,-0.3196,-0.1397,75,0.26,5,7.2896,2.0904,-11.1176,0.099,0.0614,0.5319,51
0.881,17,3.4664,-0.0289,-17.4237,0.838,-0.9066,-0.3065,75,0.312,6,10.4375,2.4539,-12.4646,0.3307,0.0082,0.806,51
0.933,18,3.5678,0.7673,-15.1355,0.6185,-1.2643,-0.1131,75,0.364,7,10.0866,0.5759,-14.2105,0.4202,0.1796,0.4009,51
0.985,19,4.4177,-1.8563,-19.0514,0.6349,-1.3945,-0.1788,75,0.416,8,6.3173,3.2108,-13.7384,0.9814,0.816,-0.3788,51
1.036,20,8.49,2.8529,-18.9077,0.4722,-1.0784,-0.1752,75,0.468,9,5.364,4.3515,-12.6824,0.0826,0.0694,-0.9479,51
1.088,21,9.0774,0.8887,-17.1433,-0.0636,-0.2772,-0.1486,75,0.519,10,5.6856,4.1733,-13.1241,-0.6168,-0.4179,-0.9457,51
1.14,22,8.0727,0.6637,-14.3789,-0.1559,0.273,-0.0737,75,0.571,11,4.9105,-0.7296,-16.5925,-1.1272,0.0719,-0.3487,51
1.192,23,8.4493,1.4183,-10.1192,-0.6436,0.8776,0.0538,75,0.623,12,2.0607,-5.8293,-20.0911,-1.1619,-0.2764,-0.1011,51
1.244,24,7.3597,-0.4925,-10.5181,-0.5715,1.3188,0.5497,75,0.675,13,2.3527,-4.484,-19.7196,-0.8851,0.4832,0.0701,51
1.295,25,6.5907,1.502,-12.1106,-0.1011,1.5586,0.3986,75,0.726,14,6.7425,-4.5174,-17.7794,-0.6125,0.0393,-0.1783,51
1.347,26,5.7112,1.5834,-16.8437,0.3902,0.5722,-0.0073,75,0.778,15,8.7562,-6.4772,-20.9294,-0.1297,0.2205,-0.4296,51
1.399,27,1.4683,-1.7533,-20.2982,0.3308,0.7947,-0.4357,75,0.83,16,5.4083,-6.4657,-19.6763,0.58,0.6139,0.1931,51
1.451,28,0.0039,-1.6256,-21.8728,-0.104,1.2584,-0.3578,75,0.882,17,6.2805,-3.9533,-16.042,0.3253,-0.2132,0.8213,51
1.503,29,4.9346,0.997,-20.3522,0.1147,1.5968,0.0217,75,0.934,18,5.1059,-2.6445,-14.0763,-0.4396,-0.33,1.2797,51
1.555,30,6.3563,0.32,-22.8588,-0.2017,1.5663,0.029,75,0.985,19,5.6457,-2.3007,-13.7752,-0.5809,-0.5177,1.3796,51
1.606,31,2.1008,-1.9281,-22.6904,0.218,0.5805,-0.6417,75,1.037,20,9.2378,-1.8945,-18.035,-1.101,-0.7085,1.3883,51
1.658,32,6.147,-0.8,-19.6476,0.8356,-0.2497,-0.5634,75,1.089,21,11.8594,-3.4282,-16.7868,-0.4819,-0.9199,1.0775,51
1.71,33,6.9369,0.2026,-16.6721,-0.0046,-0.8556,-0.182,75,1.141,22,13.6536,-1.5377,-17.9846,0.2703,-0.8277,0.9059,51
1.762,34,7.7134,-2.5733,-10.5271,-0.4678,-0.9372,0.06,75,1.192,23,9.8431,-1.1517,-16.9405,0.7233,-0.6208,0.424,51
