right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.085,1,5.2607,6.8658,-10.6552,0.6267,0.8143,-0.7978,90,0.15,2,7.1665,1.2662,-11.5511,0.1405,0.6878,-1.4762,51
0.137,2,6.3808,8.0962,-9.9917,0.4868,0.604,-0.3855,90,0.202,3,5.8366,0.0606,-12.1925,-0.5745,0.8156,-1.2707,51
0.189,3,9.179,6.3528,-11.9386,0.1532,0.2765,0.3964,90,0.253,4,3.9116,-1.9367,-13.3044,-1.0964,0.8316,-0.8593,51
0.24,4,11.9479,9.9884,-15.6167,-0.5548,0.1202,0.9364,90,0.305,5,2.6759,-6.7103,-7.1024,-1.3512,0.2371,0.0328,51
0.292,5,8.6579,8.4266,-16.6247,-1.0802,-0.4418,0.1542,90,0.357,6,3.2943,-6.9685,-13.1648,-1.6632,0.5822,0.7043,51
0.344,6,7.197,5.5036,-14.3215,-0.9351,0.23,-0.5615,90,0.409,7,7.5216,-7.2732,-14.5393,-1.1301,0.4611,0.2417,51
0.396,7,4.8962,1.9343,-13.244,-0.2707,0.0472,-1.0384,90,0.461,8,10.3314,-6.7124,-14.1055,-0.5322,0.9452,-0.495,51
0.448,8,3.7401,2.5229,-12.9838,-0.3813,-0.5378,-0.7649,90,0.512,9,12.6576,-10.1958,-18.276,-0.4718,1.3706,-1.0081,51
0.499,9,4.1168,4.6938,-9.3495,-0.9535,0.171,-0.7284,90,0.564,10,7.5684,-3.578,-16.8811,0.3303,0.5179,-0.0554,51
0.551,10,8.2704,1.7551,-13.8492,-0.4517,-0.0968,-0.4382,90,0.616,11,5.5979,-0.5716,-13.2199,0.214,0.032,0.6399,51
0.603,11,11.3019,2.1734,-12.4397,-0.3809,-0.0773,-0.8741,90,0.668,12,5.1218,0.6728,-12.74,0.5844,-0.2238,0.9141,51
0.655,12,10.5821,3.0245,-14.6126,-0.3544,-0.1296,-0.3113,90,0.72,13,4.6825,0.2001,-12.4698,0.0186,-0.7505,1.3475,51
0.707,13,7.4565,4.9226,-15.4743,-0.1626,0.0687,0.4477,90,0.772,14,5.8298,0.5949,-17.0822,0.3973,-1.1741,0.9938,51
0.758,14,10.7078,-1.6443,-10.8789,-0.78,0.3709,0.985,90,0.823,15,9.3721,-4.092,-17.4922,0.0431,-0.9968,1.3234,51
0.81,15,10.5039,-3.228,-11.0584,0.1073,-0.3522,1.3967,90,0.875,16,11.9575,-6.8066,-17.3957,0.07,-0.4495,0.6582,51
0.862,16,10.1383,0.8575,-13.049,0.7548,-0.427,1.2562,90,0.927,17,13.7684,-3.0033,-17.0597,0.4788,0.3184,-0.0027,51
0.914,17,6.7429,4.9528,-13.6977,1.2274,0.1255,0.3457,90,0.979,18,10.6714,-1.1929,-16.6964,0.0632,0.0676,0.0489,51
0.966,18,3.903,8.9667,-18.0021,1.4598,-0.3312,-0.4204,90,1.03,19,7.3804,2.2962,-13.1736,-0.2047,0.6261,-0.2747,51
1.018,19,4.6989,5.1495,-16.2654,1.404,-0.4008,-0.9299,90,1.082,20,5.7785,1.527,-12.995,-0.8265,1.1419,-0.8669,51
1.069,20,3.7241,6.7184,-10.8232,0.8751,-0.7655,-0.0691,90,1.134,21,4.3733,-1.6722,-14.3922,-1.2328,1.2942,-1.0294,51
1.121,21,7.3373,3.66,-12.1951,0.425,-0.3403,0.6209,90,1.186,22,2.2929,-3.4425,-15.2621,-1.5688,0.8678,-0.4445,51
1.173,22,3.255,8.0232,-14.2854,-0.365,-0.5444,1.0675,90,1.238,23,6.7799,-7.8093,-8.5312,-0.8378,0.0388,0.2547,51
1.225,23,3.2849,5.9538,-12.5167,-0.3942,-1.0707,0.1116,90,1.289,24,5.0877,-7.6447,-11.1201,-1.2884,0.6644,0.8662,51
1.277,24,2.2676,2.687,-10.7891,-0.2183,-0.758,-0.4043,90,1.341,25,8.8305,-8.3156,-13.2469,-0.902,-0.1819,0.0598,51
1.328,25,2.4896,1.9621,-10.6945,-0.8346,-1.2266,-0.2863,90,1.393,26,11.2915,-6.1362,-13.0454,-0.7052,0.5522,-0.6278,51
1.38,26,2.8194,-1.0114,-9.1164,-1.2843,-0.5648,-0.368,90,1.445,27,10.1832,-9.7753,-17.5023,0.1578,1.0855,-0.7256,51
1.432,27,6.7547,4.2066,-14.6584,-0.5987,-0.0906,-0.9426,90,1.497,28,6.907,-7.347,-15.5463,-0.3154,0.1301,0.1508,51
1.484,28,10.1956,5.6717,-17.583,-0.797,0.4921,-0.8994,90,1.548,29,5.2933,-4.9821,-13.2757,-0.9072,-0.3844,0.7904,51
1.535,29,12.707,5.4758,-14.0429,-0.3333,-0.0464,-1.0837,90,1.6,30,3.7633,-4.3323,-12.3061,-1.3392,-0.6997,1.1251,51
1.587,30,11.5816,2.9632,-14.4193,-0.0569,0.1359,-0.7398,90,1.652,31,2.7884,-6.2791,-16.9627,-0.4802,-1.1009,0.9657,51
1.639,31,8.2236,3.7851,-15.4444,0.3454,0.6437,0.1061,90,1.704,32,7.1524,0.7094,-13.1039,0.2561,-1.4703,0.1282,51
1.691,32,7.7918,0.0104,-14.5998,0.1976,0.6844,0.7552,90,1.756,33,5.411,-2.662,-16.3629,-0.0853,-1.1626,0.7558,51
1.743,33,7.0072,-0.2574,-13.973,0.8199,0.5673,1.2289,90,1.807,34,9.0665,-3.1006,-17.6922,0.6098,-0.3623,0.0262,51
1.794,34,6.3195,1.4786,-13.6794,1.2749,0.5025,1.1113,90,1.859,35,4.9305,-1.035,-15.8202,-0.0349,0.4205,-0.1329,51
1.846,35,5.2678,4.6637,-13.1768,1.607,0.651,0.5638,90,1.911,36,3.6668,1.0627,-16.8273,0.1317,0.3024,-0.4882,51
1.898,36,6.9288,-1.8333,-17.6219,1.7851,0.1991,0.691,90,1.963,37,2.7915,1.7642,-13.9528,0.1342,0.5753,-1.01,51
1.95,37,5.6931,1.0765,-13.8279,1.3464,0.8237,-0.0195,90,2.015,38,1.2944,-0.0228,-14.3212,-0.1998,1.0494,-1.3937,51
2.002,38,9.4208,1.6642,-14.5113,1.29,0.051,0.6516,90,2.066,39,1.5151,-1.9463,-14.6427,-0.8229,1.0523,-1.0552,51
2.054,39,12.1415,-4.0224,-16.8065,1.0154,0.3204,0.7815,90,2.118,40,1.5715,-2.9259,-14.6387,-1.2777,0.6478,-0.2888,51
2.105,40,3.5372,1.7898,-11.9501,0.4576,0.6115,1.2481,90,2.17,41,3.3062,3.1567,-13.9712,-0.2578,-0.0942,-0.0926,51
2.157,41,6.8347,1.4422,-12.9917,-0.3127,0.0221,0.2369,90,2.222,42,-1.2826,1.096,-15.0077,-0.4069,0.6162,0.6127,51
2.209,42,6.0684,-0.5972,-12.0407,-0.9034,-0.151,-0.3457,90,2.273,43,4.1812,-2.7089,-13.3045,-0.0678,0.0351,-0.224,51
2.261,43,5.2868,-2.5934,-10.5879,-0.8664,-0.4294,-0.8484,90,2.325,44,7.236,0.9763,-13.7543,0.1766,0.7106,-0.8349,51
2.313,44,4.3895,-1.9669,-9.3632,-0.6655,-0.2224,-1.1888,90,2.377,45,1.4427,-4.5843,-15.8504,0.8036,1.2036,-1.1764,51
2.364,45,8.4694,-5.5203,-14.8386,-0.2123,-0.7806,-0.2269,90,2.429,46,1.8272,-4.0485,-15.9809,0.354,0.2496,-0.1782,51
2.416,46,11.4471,-2.2948,-12.1664,-0.523,-0.3673,-0.4056,90,2.481,47,2.3083,-2.6114,-13.245,-0.2163,-0.4846,0.5503,51
2.468,47,13.3968,-1.1958,-12.0247,-0.4134,-0.1646,-0.3731,90,2.532,48,1.9309,-0.8478,-12.1412,0.5038,-0.9244,0.7625,51
2.52,48,13.0122,-1.3055,-13.0329,-0.1958,0.3485,-0.2967,90,2.584,49,1.2324,2.0241,-10.6818,1.0424,-0.6663,0.5086,51
2.571,49,8.7855,1.7839,-13.1149,0.4393,0.8374,0.4612,90,2.636,50,6.0168,6.7695,-11.2192,1.4355,-1.1531,-0.034,51
2.623,50,7.215,-1.2026,-12.114,0.1197,1.1977,0.9647,90,2.687,51,9.5086,-0.2964,-14.9666,0.7646,-0.4879,0.5996,51
2.675,51,5.976,-1.5299,-12.0521,0.7639,1.0657,1.3818,90,2.739,52,12.0571,-0.4035,-14.6451,0.9802,0.3289,-0.1395,51
2.727,52,4.9007,1.4125,-13.8399,1.2341,0.5862,1.2114,90,2.791,53,8.3177,0.3606,-15.1477,0.4196,0.925,-0.352,51
2.779,53,4.4719,4.402,-15.1036,1.3618,0.5797,0.4632,90,2.843,54,10.6205,1.7772,-14.0145,-0.2064,0.0083,-0.6605,51
2.83,54,3.1044,8.5647,-19.0282,1.1777,0.0868,-0.2269,90,2.895,55,6.3347,0.7275,-13.0711,-0.5633,0.5184,-1.0938,51
2.882,55,5.4829,8.026,-16.4109,0.4744,-0.0073,-0.4332,90,2.946,56,4.67,-0.1729,-13.0736,-1.0653,0.8568,-1.2986,51
2.934,56,9.0617,6.7418,-14.9784,0.2876,0.1065,0.3616,90,2.998,57,3.2236,-2.0449,-15.3019,-1.4546,0.833,-0.7441,51
2.986,57,9.2188,10.2724,-18.9368,-0.4653,-0.3671,0.5044,90,3.05,58,0.6666,-3.9363,-16.363,-1.7387,0.6482,-0.0534,51
3.038,58,7.4822,4.2472,-16.5476,-1.0148,-0.742,-0.3059,90,3.102,59,5.6038,-3.7245,-16.5098,-1.1875,-0.1937,-0.1879,51
3.09,59,8.3613,2.626,-15.3312,-0.9986,-1.1547,-0.8928,90,3.154,60,-1.3827,-7.1867,-18.9978,-1.1008,0.3957,0.0398,51
