right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.022,0,6.8067,-3.9036,-17.5392,-1.0481,0.2624,-0.2234,87,0.034,0,9.673,-3.715,-16.2968,-0.4942,0.8329,-0.1359,53
0.074,1,9.0142,-2.3759,-17.4424,-0.0884,-0.4819,0.3873,87,0.086,1,12.1771,-3.4828,-15.2138,0.0383,1.2929,-0.2819,53
0.126,2,8.0532,-0.7682,-14.9839,0.612,-1.0251,0.9604,87,0.138,2,7.5907,2.7503,-16.2176,0.7026,0.4408,0.3756,53
0.178,3,4.9025,1.6444,-13.8299,0.2772,-1.0262,0.9517,87,0.19,3,9.5025,1.9503,-14.2374,-0.1643,-0.3451,0.8789,53
0.229,4,8.8438,2.5346,-10.1136,0.4653,-0.3891,0.873,87,0.242,4,7.3288,2.3664,-11.996,-0.797,-0.9186,0.9249,53
0.281,5,11.3688,1.3554,-14.1875,0.1577,-0.2552,0.6451,87,0.293,5,7.1488,1.1388,-10.8257,-0.4026,-1.2226,0.6726,53
0.333,6,13.3512,0.4877,-13.8008,-0.3895,0.4921,-0.0499,87,0.345,6,10.3348,2.7923,-11.6271,0.2125,-0.3411,-0.022,53
0.385,7,9.2206,1.0725,-11.7969,0.0347,0.83,-0.421,87,0.397,7,12.6601,-0.0595,-9.5282,0.1895,0.1388,0.1316,53
0.436,8,7.2498,4.7295,-8.5161,-0.5764,1.1183,-0.6906,87,0.449,8,13.1235,1.493,-8.7665,0.2737,-0.5212,0.2145,53
0.488,9,7.6165,3.4842,-8.4256,-0.8829,1.4945,-0.8882,87,0.501,9,9.5118,1.9424,-7.4421,0.8606,-0.4298,-0.028,53
0.54,10,7.452,2.5821,-9.7005,-0.6476,1.7691,-0.9674,87,0.552,10,7.9815,3.9708,-5.401,0.9971,0.3713,-0.4972,53
0.592,11,9.493,1.5958,-14.4858,0.2039,0.6638,-1.1878,87,0.604,11,7.8969,3.3914,-6.1024,0.0507,0.956,-0.8173,53
0.644,12,11.4869,6.5166,-15.2029,0.5141,-0.1867,-0.8002,87,0.656,12,9.6128,4.0175,-7.3862,-0.3037,1.3827,-0.8592,53
0.696,13,11.7484,4.3891,-16.0667,0.3859,0.1877,-0.987,87,0.708,13,12.1331,2.1014,-3.4096,-0.2047,0.4747,-0.3808,53
0.747,14,10.4138,0.8918,-17.3855,-0.1737,0.8153,-1.1099,87,0.76,14,13.7751,1.0634,-5.3355,0.1037,0.4409,-0.4687,53
0.799,15,4.8355,-4.5862,-18.8197,-0.802,0.0482,-0.2695,87,0.811,15,10.4332,1.9897,-6.0827,0.1981,0.9844,-0.5077,53
0.851,16,7.5523,-0.2279,-16.0911,-0.5734,-0.6382,0.4721,87,0.863,16,7.4368,3.9257,-4.0482,0.4377,0.863,-0.3933,53
0.903,17,7.1492,2.3488,-9.16,-1.0937,-0.4564,0.5809,87,0.915,17,10.545,1.318,-5.0024,-0.0341,0.1061,-0.3167,53
0.955,18,10.4835,4.1975,-7.3936,-0.1596,0.3315,-0.0487,87,0.967,18,10.0681,2.0561,-5.4097,-0.0871,-0.0845,-0.2726,53
1.006,19,10.0012,1.368,-8.5895,-0.2046,0.3864,-0.006,87,1.019,19,9.4483,2.217,-5.8174,0.0204,-0.2265,-0.1959,53
1.058,20,10.0326,1.0135,-8.5542,-0.2687,0.386,-0.0917,87,1.07,20,9.2818,1.9063,-6.6041,-0.1239,-0.3768,-0.1577,53
1.11,21,9.8814,0.8866,-8.6606,-0.1734,0.0452,-0.0731,87,1.122,21,9.2007,1.7954,-7.044,-0.1807,-0.4422,-0.1102,53
1.162,22,9.7416,0.1651,-9.3961,-0.1932,-0.0313,-0.0281,87,1.174,22,9.0149,1.9828,-7.5007,-0.2574,-0.5276,-0.0679,53
1.214,23,10.0358,0.3352,-9.9865,-0.2146,-0.18,-0.0533,87,1.226,23,9.031,1.8312,-8.0568,-0.2361,-0.5202,-0.0697,53
1.265,24,9.7315,-0.1275,-10.2838,-0.1796,-0.3565,-0.0312,87,1.277,24,8.9814,1.8457,-8.3252,-0.2043,-0.4533,-0.0938,53
1.317,25,9.6682,-0.1069,-10.7738,-0.0482,-0.5171,0.0064,87,1.329,25,8.9802,1.9179,-8.6485,-0.2127,-0.3716,-0.1226,53
1.369,26,9.4428,-0.0603,-11.4516,-0.0232,-0.626,0.0485,87,1.381,26,8.9726,2.0121,-8.9068,-0.1507,-0.2794,-0.1044,53
1.421,27,9.5393,-0.133,-11.9643,-0.0191,-0.7482,0.086,87,1.433,27,8.892,2.0114,-9.0031,-0.0875,-0.1947,-0.0554,53
1.473,28,9.4578,-0.2499,-12.3926,-0.0218,-0.8745,0.1598,87,1.484,28,8.8562,2.0433,-9.0853,-0.0124,-0.1437,-0.0167,53
1.524,29,9.745,-0.1898,-12.4773,-0.0145,-1.0855,0.2867,87,1.536,29,8.8363,2.0283,-9.1917,-0.004,-0.1084,-0.0058,53
1.576,30,9.8673,-0.478,-13.2455,-0.0077,-1.2515,0.4205,87,1.588,30,8.7717,2.0905,-9.199,-0.0099,-0.0769,0.0327,53
1.628,31,9.0141,-0.9136,-13.5166,-0.0565,-1.2158,0.4724,87,1.64,31,8.7916,2.0554,-9.2335,0.054,-0.0817,0.1167,53
