right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.032,0,7.5983,-2.8697,-12.0057,1.4947,0.2989,-1.687,87,0.081,1,8.253,-1.6554,-11.4702,1.9422,0.4773,0.6578,51
0.084,1,8.3831,3.2574,-15.4082,1.7674,-0.3014,-1.5611,87,0.133,2,6.7184,-1.7356,-12.0324,1.6948,0.5698,1.0706,51
0.136,2,8.9464,-2.8173,-14.8715,0.6147,0.0098,-0.8615,87,0.185,3,2.843,0.8419,-12.9084,1.3742,0.3752,1.3683,51
0.188,3,9.7699,0.3637,-14.2849,0.707,-0.0611,-0.4898,87,0.237,4,6.6439,-0.9872,-17.4023,1.0032,0.5034,1.6387,51
0.24,4,9.3445,-0.9317,-13.7233,0.3406,0.077,-0.1835,87,0.288,5,7.988,-5.3002,-17.1497,1.2025,-0.2994,0.8957,51
0.291,5,8.9969,-1.7537,-13.0783,0.0092,0.0206,-0.2168,87,0.34,6,8.8215,-2.636,-17.8854,1.5523,0.077,0.0013,51
0.343,6,8.7913,-2.2288,-12.8687,0.1924,-0.3492,-0.6973,87,0.392,7,7.2856,-7.2206,-15.9956,1.8076,0.5789,0.2502,51
0.395,7,5.6525,-1.0201,-14.4106,0.5098,-0.4889,-1.0894,87,0.444,8,10.4293,-1.6637,-14.3812,1.1681,0.6211,0.7275,51
0.447,8,6.3617,0.9303,-13.9809,0.1833,-0.3133,-1.41,87,0.496,9,5.189,0.7001,-13.6723,0.1754,1.0123,0.7605,51
0.499,9,9.2528,2.0196,-15.0806,0.0675,-0.0224,-1.079,87,0.547,10,1.3152,-3.4855,-15.7561,0.7563,0.4415,-0.0001,51
0.55,10,12.0189,-3.0269,-13.5673,0.6064,0.5373,-0.5883,87,0.599,11,6.0772,-3.8602,-14.4739,1.2266,0.1495,-0.216,51
0.602,11,7.1715,-4.9794,-16.0746,0.3977,0.1237,-0.6887,87,0.651,12,9.5527,2.4748,-14.1561,1.4588,-0.1326,-0.2037,51
0.654,12,5.8473,-5.1825,-11.8842,0.9668,0.1699,-0.987,87,0.703,13,12.0892,0.5996,-17.9496,1.1844,-0.0968,0.2301,51
0.706,13,-0.6702,-9.0195,-12.6145,0.0645,0.8024,-0.0733,87,0.755,14,13.9406,1.6785,-16.8662,1.1789,0.024,0.8483,51
0.758,14,1.1715,-7.3499,-13.6464,0.7236,1.1943,0.6243,87,0.806,15,11.3215,3.3721,-16.129,0.7515,-0.3563,0.6865,51
0.809,15,2.1348,-0.1407,-13.0695,1.0873,0.8955,1.1334,87,0.858,16,8.397,7.7533,-13.5186,1.2232,-0.1415,-0.1704,51
