right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.018,0,9.3262,-1.9873,-11.5244,0.0117,0.0135,-0.0005,86,0.498,9,7.6672,-0.1091,-12.9793,0.1012,-0.4087,0.5296,51
0.07,1,9.3542,-1.9687,-11.5122,0.007,0.0221,0.006,86,0.55,10,6.8968,-1.1741,-13.2752,-0.0529,-0.6964,0.6205,51
0.122,2,9.2469,-1.9788,-11.4579,-0.0089,-0.0014,0.0012,86,0.602,11,7.3059,-2.4548,-14.8268,0.3709,0.1147,-0.2141,51
0.173,3,9.2056,-2.0104,-11.3696,0.0079,-0.0748,-0.036,86,0.654,12,6.4758,-3.4559,-18.8024,0.602,0.4307,-0.5412,51
0.225,4,8.8269,-2.1455,-11.4647,-0.3138,-0.2803,-0.2778,86,0.705,13,4.7925,-3.9212,-21.5812,1.114,-0.2268,0.2853,51
0.277,5,8.9854,-1.964,-11.6289,-0.5015,-0.7613,-0.6352,86,0.757,14,5.3884,-3.1381,-17.2039,1.1084,-0.3438,0.8886,51
0.329,6,9.0448,-0.2615,-13.6155,-0.42,-0.8445,-0.8675,86,0.809,15,3.3832,-4.6098,-18.2118,0.5173,0.1731,0.7707,51
0.381,7,9.8398,0.4191,-15.4005,-0.4149,-0.7753,-0.8684,86,0.861,16,7.5865,-3.9516,-18.3406,0.3876,0.4886,0.9049,51
0.432,8,12.4473,1.3767,-12.5043,0.2322,-0.6948,-0.55,86,0.912,17,10.6542,-3.3851,-17.3639,0.61,0.7418,1.2813,51
0.484,9,11.0887,-1.2368,-12.8546,0.5528,-0.9322,-0.6403,86,0.964,18,9.9203,-2.1235,-18.916,0.4248,0.7302,1.25,51
0.536,10,7.7988,-2.1717,-9.1977,1.08,-0.0415,-0.4986,86,1.016,19,9.4201,3.7423,-14.9093,0.4117,0.7488,0.4002,51
0.588,11,6.1503,-2.1079,-11.4768,1.4648,0.648,-0.2113,86,1.068,20,7.4704,4.0639,-13.6225,-0.3766,1.2315,-0.272,51
0.64,12,-0.8354,-5.013,-16.3812,1.7456,0.3794,-0.2611,86,1.12,21,6.4031,1.1785,-17.9235,-0.9519,1.5837,-0.2818,51
0.691,13,2.4021,-0.0879,-18.7366,1.4431,0.0516,-0.3349,86,1.171,22,3.6242,-4.4367,-21.0626,-1.0339,1.8408,-0.2309,51
0.743,14,7.0189,-0.2952,-19.3105,0.861,0.716,0.204,86,1.223,23,-0.9239,-1.4391,-22.9859,-0.9021,1.6906,0.314,51
0.795,15,10.3884,1.6186,-22.0985,-0.0049,1.2008,0.758,86,1.275,24,3.5383,-5.4436,-22.7157,-0.9946,1.918,-0.4145,51
0.847,16,9.8828,0.4218,-23.1471,-0.6788,0.203,-0.1206,86,1.327,25,4.7038,-8.1472,-24.5601,-0.6711,2.0706,-0.9739,51
0.899,17,10.8412,-1.5698,-16.51,0.0731,-0.5252,-0.7621,86,1.378,26,3.8134,-9.7588,-22.4937,0.1849,1.4672,-0.989,51
0.95,18,9.1953,-2.9313,-9.7481,0.609,-0.69,-0.7738,86,1.43,27,7.9005,-6.1628,-16.769,0.7152,0.404,-0.0415,51
1.003,19,11.0383,-3.7372,-15.1195,-0.2308,-0.9935,-0.2839,86,1.482,28,5.9669,-0.3869,-12.3813,0.2858,-0.0603,0.5129,51
1.054,20,13.322,-2.294,-14.1863,-0.231,-1.039,-0.3002,86,1.534,29,5.4309,0.2848,-11.4327,0.8238,-0.0807,0.2672,51
1.106,21,13.749,-1.5538,-15.7547,-0.0937,-0.389,-0.1394,86,1.586,30,9.081,-5.0889,-10.1384,0.1044,-0.3087,0.8588,51
1.158,22,7.1932,-3.3627,-11.4638,-0.2936,0.0624,0.0674,86,1.637,31,11.745,-5.4292,-11.5048,0.0678,-0.4997,0.6765,51
1.21,23,7.3485,-4.6128,-9.0126,-0.6604,0.7239,0.5258,86,1.689,32,11.362,-3.9557,-14.5292,-0.1594,-0.5591,0.8404,51
1.262,24,7.3753,-3.589,-9.9948,0.1654,1.2067,0.9869,86,1.741,33,11.0041,1.4432,-12.3696,0.0329,-0.2365,0.1868,51
