right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.037,0,9.4212,1.2325,-10.3993,0.2721,-0.3866,0.3289,91,0.702,13,8.655,0.001,-11.1258,1.3182,1.0665,-0.1815,51
0.089,1,10.0347,0.361,-9.6821,0.2566,-0.6258,0.4988,91,0.754,14,5.9116,-0.5444,-10.684,0.285,1.3773,-0.2513,51
0.141,2,8.6978,-0.3592,-10.3066,0.0309,-0.6725,1.0406,91,0.805,15,4.3554,-0.4085,-10.528,-0.2328,1.4202,-0.1914,51
0.192,3,9.199,-0.6553,-11.7151,0.1398,-0.7967,1.3379,91,0.857,16,3.1669,-0.1218,-10.5682,-0.4708,1.2458,-0.1228,51
0.244,4,8.4096,-1.0466,-12.6165,0.2423,-0.0843,0.5225,91,0.909,17,7.4286,1.3911,-15.6943,0.0294,0.5773,-0.6021,51
0.296,5,11.4035,1.3674,-11.6793,0.2395,0.5829,-0.2927,91,0.961,18,6.5748,0.9856,-12.7576,0.6961,0.0883,0.1266,51
0.348,6,8.4885,-1.606,-13.88,-0.5004,1.1037,0.4501,91,1.013,19,2.999,0.7358,-13.1588,0.7211,-0.4165,0.2655,51
0.4,7,6.0201,-5.0993,-15.8893,-0.1798,0.1322,0.522,91,1.064,20,2.5966,1.4541,-10.3238,0.7558,-0.9707,0.2648,51
0.452,8,4.5534,-3.0666,-13.1907,0.5453,-0.2057,-0.1155,91,1.116,21,2.0211,1.9041,-11.4004,1.2263,-1.2398,0.4313,51
0.504,9,2.6591,0.0585,-13.8211,0.4331,-0.064,0.1402,91,1.168,22,2.5716,4.2004,-11.6645,1.2245,-1.3993,0.1433,51
0.555,10,7.2065,0.9371,-12.222,0.7884,-0.7201,-0.5717,91,1.22,23,1.6934,3.1515,-10.0598,0.2166,-1.578,-0.3939,51
0.607,11,5.4458,-1.7734,-13.5494,0.7097,0.1528,-0.7499,91,1.271,24,3.7044,7.5923,-12.9257,0.8328,-1.4718,-0.7089,51
0.659,12,9.2404,1.7597,-12.535,0.6026,0.6991,-1.2213,91,1.323,25,7.8209,1.3837,-10.148,-0.052,-1.7242,-0.3705,51
0.711,13,8.8123,2.3985,-10.0713,-0.2266,1.0627,-0.8662,91,1.375,26,9.4944,0.7168,-11.8103,-0.0776,-1.0368,-0.3918,51
