right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.02,0,9.223,-4.1134,-5.3937,0.7442,-0.4663,-0.2362,89,0.154,2,3.2203,6.5303,-15.4803,-0.5838,0.6395,0.5401,51
0.072,1,9.9808,-2.8314,-8.7928,0.4163,0.338,-0.0401,89,0.206,3,7.4676,-0.5307,-18.7354,-0.0485,-0.2001,0.2616,51
0.124,2,12.5502,-2.6432,-9.7091,-0.1769,0.6792,-0.0608,89,0.258,4,8.685,0.3085,-17.8226,-0.2788,0.5212,0.4631,51
0.176,3,6.5677,0.2783,-12.2417,-0.2677,0.838,0.2297,89,0.31,5,11.456,2.783,-10.6637,-0.5256,1.0654,1.0183,51
0.228,4,7.0516,-0.654,-10.9773,0.0399,-0.0618,-0.0007,89,0.361,6,9.482,7.3233,-15.7175,0.262,1.2083,0.5314,51
0.279,5,5.1264,0.0978,-9.4364,-0.6047,-0.3885,0.0232,89,0.413,7,8.7072,5.8684,-14.9653,0.252,0.2151,-0.0076,51
0.331,6,3.6046,-0.7581,-8.3819,-1.1166,-0.3286,-0.1809,89,0.465,8,6.2818,3.2416,-11.603,0.4321,-0.5098,-0.3672,51
0.383,7,7.8966,-0.342,-3.9129,-0.627,-0.8125,-0.2971,89,0.517,9,6.2252,0.7801,-9.3753,0.7813,-0.291,-0.3495,51
0.435,8,11.029,2.1492,-4.9843,-0.7384,-0.8188,-0.1654,89,0.569,10,9.6607,5.8615,-4.2348,1.0673,-0.6778,-0.7069,51
0.487,9,11.8067,1.188,-7.9961,-1.033,-0.8275,0.1042,89,0.62,11,12.1681,4.0578,-5.5221,0.7196,-0.2889,-0.239,51
0.538,10,7.2934,0.8796,-6.5472,-0.5683,0.0119,0.4673,89,0.672,12,13.9981,4.4659,-7.8353,1.0087,0.2394,-0.1761,51
0.59,11,6.7157,-0.0755,-6.5533,0.1088,0.6871,0.6505,89,0.724,13,12.2431,2.626,-5.6641,0.9692,0.4066,-0.0631,51
0.642,12,6.1671,-0.1213,-7.5413,0.7554,1.1798,0.7043,89,0.776,14,8.6146,2.7921,-6.5357,0.223,0.5537,-0.175,51
0.694,13,4.6068,0.9337,-9.5278,1.2279,1.3622,0.446,89,0.828,15,7.6321,1.5675,-8.0495,-0.5143,0.4692,-0.0799,51
0.745,14,8.4885,-4.5556,-4.4268,0.8549,1.3346,0.6468,89,0.879,16,4.3774,1.2734,-10.9738,-0.9953,0.3495,0.0622,51
0.797,15,9.6124,-5.2001,-7.7515,0.5746,0.941,0.3497,89,0.931,17,8.3121,-0.2516,-13.2834,-0.8911,-0.301,0.477,51
0.849,16,12.2327,-1.4401,-9.9103,0.3774,1.3651,0.1014,89,0.983,18,9.2062,-0.3403,-14.5671,-0.7954,0.3346,0.4154,51
0.901,17,14.1937,0.0481,-15.1899,0.1014,1.239,0.2104,89,1.035,19,11.6307,1.4092,-16.9257,0.0398,0.9291,0.6965,51
0.953,18,14.5105,-0.1709,-15.1054,-0.5824,0.2308,-0.2041,89,1.087,20,5.2678,0.4326,-19.3671,0.0124,0.4928,0.3363,51
1.005,19,10.6568,-0.0985,-8.602,-0.4853,-0.388,-0.2521,89,1.138,21,5.94,1.7763,-17.428,0.2502,-0.3071,-0.0483,51
1.056,20,9.0648,-0.2472,-5.7819,-0.8867,-0.45,-0.4285,89,1.19,22,4.5963,-0.7263,-12.1591,-0.1972,-0.6426,-0.0128,51
1.108,21,11.8816,-0.8353,-7.2147,-0.817,0.0081,0.0116,89,1.242,23,3.737,-1.8366,-9.1622,0.1863,-0.333,-0.0178,51
1.16,22,13.9375,1.6463,-8.3783,-1.2165,-0.0635,-0.0965,89,1.294,24,7.8447,3.5291,-4.0792,0.3742,-0.4108,-0.1639,51
1.212,23,12.6486,-1.265,-7.0044,-1.1401,-0.2338,-0.0906,89,21.803,420,6.3362,-2.767,-11.2341,-0.7505,0.124,-1.1384,51
1.264,24,11.4233,-2.6199,-4.8025,-1.0871,-0.1517,0.3067,89,21.855,421,9.7417,-2.2599,-11.0823,-0.624,-0.5763,-0.4185,51
1.315,25,8.8153,-2.2985,-6.0507,-0.5521,0.5096,0.7666,89,21.907,422,9.1363,-0.6581,-8.8744,-0.1092,-0.8432,-0.4923,51
1.367,26,7.875,-1.6109,-8.1055,0.2736,0.8239,0.9133,89,21.958,423,8.6742,-2.2135,-5.9914,0.595,0.0696,-0.707,51
1.419,27,5.6075,0.8976,-11.3805,0.8762,0.4981,0.6241,89,22.01,424,8.0412,-0.8314,-6.9666,-0.0547,0.7357,-0.7703,51
21.931,423,9.1928,5.3091,-2.7676,0.7139,0.8383,-0.1907,89,22.062,425,7.7157,-1.0306,-9.0872,-0.717,1.2219,-0.3983,51
21.983,424,9.8853,4.0305,-6.0148,0.6309,0.6676,-0.0692,89,22.114,426,10.7485,-2.8238,-4.5787,-0.8823,0.3971,-0.8129,51
22.035,425,8.6346,3.9451,-8.6949,0.2871,0.7399,-0.0466,89,22.166,427,11.6705,-1.6621,-7.5726,-0.6943,0.1646,-0.3759,51
22.086,426,10.0285,2.9192,-11.7523,-0.0457,1.2183,-0.0598,89,22.217,428,10.7825,-0.3956,-10.3536,-0.9624,0.8051,-0.0897,51
22.138,427,5.3637,4.7401,-16.5759,-0.6972,1.493,0.2429,89,22.269,429,10.7912,2.8393,-13.5388,-0.8775,1.2725,0.0586,51
22.19,428,6.3101,4.5163,-15.0309,-0.8607,0.4163,-0.4494,89,22.321,430,4.6073,1.5282,-17.8624,-0.7216,0.3074,-0.2542,51
22.242,429,6.6751,2.0451,-9.1674,-0.5425,-0.2806,-0.6144,89,22.373,431,7.5718,-1.1055,-18.3494,-1.2012,-0.4424,-0.4662,51
22.294,430,4.3773,-1.893,-12.8716,0.2758,0.1849,-0.3343,89,22.424,432,7.2,-2.7456,-15.4873,-0.202,-0.9897,-0.3853,51
22.345,431,7.6138,0.5109,-11.5369,0.0014,-0.0801,0.2765,89,22.476,433,10.3722,0.381,-8.7061,-0.078,-1.3471,-0.2016,51
22.397,432,10.8227,0.3193,-10.6336,-0.6742,-0.7276,-0.0803,89,22.528,434,12.6788,2.1227,-10.7516,0.2506,-0.8214,0.1153,51
22.449,433,7.4092,-1.6632,-6.8453,-1.1486,0.1024,0.5353,89,22.58,435,14.3708,-1.0268,-11.4264,0.8576,0.0855,-0.52,51
22.501,434,6.7837,-0.1753,-6.2144,-0.1699,0.7289,0.7063,89,22.632,436,13.628,1.5053,-13.2847,1.1073,0.7141,-0.9186,51
22.553,435,7.9889,0.9886,-7.1459,0.5525,0.9016,0.4443,89,22.683,437,9.7982,0.8902,-11.3167,0.1311,0.4581,-1.0642,51
22.604,436,5.0208,3.9384,-13.2203,1.0798,0.8963,-0.0183,89,22.735,438,10.8274,-1.6676,-9.3118,-0.0893,0.5623,-1.3694,51
22.656,437,5.3226,8.2263,-17.6536,1.2783,-0.019,-0.3369,89,22.787,439,9.5009,-2.0073,-8.3216,-0.4278,0.9659,-1.2519,51
22.708,438,6.3004,5.519,-17.4398,0.8436,-0.0649,-0.2349,89,22.839,440,12.0515,-1.4337,-14.0546,-0.4611,1.3899,-0.3353,51
22.76,439,7.1122,4.52,-16.938,0.6301,0.5548,-0.137,89,22.891,441,11.8853,-0.8257,-16.0219,-0.4703,0.933,-0.2519,51
22.812,440,9.2702,2.7514,-17.4837,0.3532,1.0833,-0.0831,89,22.942,442,9.4643,-0.1605,-18.8448,-0.151,0.9623,-0.1787,51
22.863,441,12.0315,0.0042,-20.7652,0.475,1.4124,0.3748,89,22.994,443,10.8161,0.9479,-20.5525,-0.2407,1.3873,0.3148,51
22.915,442,10.822,-0.2179,-22.3527,-0.056,0.3574,-0.122,89,23.046,444,5.486,-0.3685,-22.9813,-0.7578,0.3457,0.0771,51
22.967,443,10.9121,0.8137,-17.1079,-0.0841,-0.4125,-0.4446,89,23.098,445,6.0423,-0.3361,-19.7261,0.1134,-0.4145,-0.27,51
23.019,444,10.2049,-1.4118,-9.902,-0.2022,-0.3752,-0.4012,89,23.149,446,6.0309,-1.4375,-14.7984,-0.0234,-0.9693,-0.3107,51
23.071,445,12.7137,2.7313,-8.1139,-0.0821,0.0093,-0.3486,89,23.201,447,6.0481,0.0736,-8.1928,-0.3243,-0.9376,-0.0288,51
23.122,446,14.5448,-2.5999,-7.396,-0.5342,-0.5088,-0.7113,89,23.253,448,9.5314,-1.7329,-12.1783,0.3887,-0.5155,0.6593,51
23.174,447,10.5484,-2.1068,-7.6815,-1.0651,-0.1464,-0.2784,89,23.305,449,11.421,-1.4887,-12.3313,0.6618,0.2226,0.2046,51
23.226,448,9.7416,-2.2336,-6.4678,-1.4526,0.1239,0.0864,89,23.357,450,9.1655,2.1689,-12.3201,1.1577,0.413,-0.0069,51
23.278,449,8.3945,-0.6495,-7.0553,-0.3836,0.5882,0.0469,89,23.408,451,7.2414,0.5268,-9.3916,1.5196,0.6065,-0.5163,51
