right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.018,0,9.4675,-1.9049,-10.6236,-0.006,-0.011,0.0011,84,0.515,9,8.8114,1.1489,-11.4496,-0.1202,0.0046,-0.0274,50
0.07,1,9.4566,-1.9425,-10.6235,-0.0111,-0.0128,-0.0001,84,0.567,10,8.8408,1.1125,-11.4705,-0.1447,0.1235,-0.0192,50
0.121,2,9.4652,-1.9309,-10.6485,-0.011,-0.0095,-0.0005,84,0.619,11,8.7789,1.0125,-11.2971,0.0186,0.2562,-0.0244,50
0.173,3,9.5269,-1.8538,-10.6657,-0.0214,0.0067,0.0011,84,0.67,12,8.8366,1.0348,-10.9368,0.1495,0.342,-0.0342,50
0.225,4,9.4995,-1.8754,-10.6911,-0.0455,0.0476,0.0144,84,0.722,13,8.6472,1.2434,-10.5168,0.346,0.2979,-0.0488,50
0.277,5,9.538,-1.9075,-10.7059,-0.089,0.1034,0.0243,84,0.774,14,8.881,0.8362,-10.8267,-0.0676,0.2085,-0.0622,50
0.328,6,9.5842,-1.9366,-10.6237,-0.1255,0.1672,0.0232,84,0.826,15,8.9457,1.1379,-10.7446,0.2059,0.0713,-0.1382,50
0.38,7,9.5934,-1.9478,-10.5302,-0.1067,0.2069,0.0126,84,0.878,16,8.8469,0.6116,-10.7764,-0.0155,-0.1622,-0.1412,50
0.432,8,9.4872,-2.0338,-10.2019,-0.0987,0.1383,-0.0393,84,0.929,17,9.412,0.3193,-10.4697,0.2117,-0.6607,-0.2333,50
0.484,9,9.3624,-2.0761,-10.0877,0.032,-0.1666,-0.1838,84,0.981,18,9.7772,1.6341,-10.8534,0.351,-1.1019,-0.1782,50
0.536,10,9.5113,-1.5629,-12.8448,0.2833,-0.595,-0.2984,84,1.033,19,10.0181,5.0242,-11.5104,-0.3083,-1.188,0.0575,50
0.587,11,9.8757,-1.2028,-14.9344,0.7103,-1.1076,-0.4682,84,1.085,20,9.9473,4.2192,-10.9993,-0.9021,-0.1922,0.4296,50
0.639,12,8.5714,-1.5084,-13.5606,0.0887,-1.4029,-0.3057,84,1.136,21,10.2875,3.6897,-13.0586,-0.1507,0.5447,0.7781,50
0.691,13,8.9633,-1.0612,-9.8684,-0.1555,-1.1851,0.0505,84,1.188,22,5.6757,5.818,-16.1024,-0.7535,0.904,0.7923,50
0.743,14,9.8012,-3.7371,-8.5149,-0.076,-1.0832,0.0249,84,1.24,23,3.0185,3.092,-15.3617,-1.1951,-0.007,0.2558,50
0.794,15,10.2524,-2.1292,-10.2419,0.0145,-0.7547,0.0874,84,1.292,24,3.0653,4.1951,-19.1929,-0.2229,0.0949,-0.0992,50
0.846,16,10.2782,-2.1612,-12.5649,-0.1826,-0.2908,0.2082,84,1.344,25,7.3545,2.7003,-11.4,-0.6868,0.1877,0.0452,50
0.898,17,11.8226,-1.3341,-13.7714,-0.2631,0.4661,0.2607,84,1.395,26,4.4416,2.0036,-13.3052,-0.4033,0.0562,0.0358,50
0.95,18,12.6427,-1.8301,-11.7421,-0.8672,1.0185,0.6492,84,1.447,27,5.9062,2.8147,-14.2089,0.2096,0.7153,0.0186,50
