right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.242,4,10.5576,-1.778,-12.177,0.4163,0.0243,0.8746,87,0.012,0,9.2481,1.655,-9.8199,-1.3053,-0.745,0.5021,51
0.294,5,10.226,-1.7241,-12.1339,0.3295,0.0493,0.7622,87,0.064,1,8.6303,1.5299,-11.2308,-1.6298,-1.1464,0.7992,51
0.346,6,10.0261,-1.8733,-12.0437,0.1653,0.0732,0.6924,87,0.116,2,7.9776,1.2492,-10.5633,-1.8665,-1.3254,0.7539,51
0.398,7,9.8202,-2.1267,-12.0501,0.0226,0.1645,0.5982,87,0.168,3,8.299,0.9038,-8.814,-2.0394,-0.8858,0.5226,51
0.449,8,9.3798,-2.2417,-12.0295,-0.0786,0.2515,0.4872,87,0.219,4,9.8079,0.3292,-8.886,-1.4812,-0.4967,0.2689,51
0.501,9,9.5337,-2.3906,-11.9468,-0.1619,0.1498,0.3552,87,0.271,5,9.5687,0.5589,-9.4032,-0.9761,-0.3082,0.0483,51
0.553,10,9.3796,-2.4933,-12.0133,-0.2984,0.2787,0.1453,87,0.323,6,9.159,1.2725,-9.264,-0.7424,-0.1933,-0.0391,51
0.605,11,9.0295,-1.383,-13.732,-0.7825,0.2543,0.2398,87,0.375,7,9.1862,1.4931,-9.4433,-0.7204,-0.1945,-0.1245,51
0.657,12,10.9319,-0.9592,-13.5754,-1.2463,0.8639,0.75,87,0.427,8,9.5087,1.0524,-9.879,-0.5606,-0.1028,-0.1582,51
0.708,13,12.4981,-2.6519,-13.7744,-1.5848,0.5093,1.1112,87,0.478,9,9.4455,1.5198,-9.9877,-0.4082,0.0384,-0.1497,51
0.76,14,11.344,-3.1758,-12.8319,-1.8319,0.0621,0.9083,87,0.53,10,9.2063,1.5101,-9.7625,-0.3148,0.187,-0.0931,51
0.812,15,8.372,-3.9574,-12.4188,-1.5236,0.4757,1.0571,87,0.582,11,8.8724,1.5116,-9.387,-0.4222,0.1874,-0.0918,51
0.864,16,9.9176,-4.5934,-12.0706,-0.6516,0.7486,0.5534,87,0.634,12,8.7145,1.5419,-9.0263,-0.5034,0.0174,-0.0507,51
0.916,17,9.5946,-4.2249,-12.529,-0.5287,0.3477,0.5059,87,0.685,13,8.5453,1.488,-9.0561,-0.5674,-0.2316,0.0952,51
0.967,18,9.4227,-3.4298,-12.5235,-0.356,0.2274,0.4096,87,0.737,14,9.0749,1.711,-9.0169,-0.3874,-0.5393,0.2744,51
1.019,19,9.3982,-3.1814,-12.4925,-0.2556,0.1903,0.4047,87,0.789,15,9.3416,1.0394,-9.4944,-0.9598,-0.6183,0.3757,51
1.071,20,9.2522,-3.0095,-12.6157,-0.215,0.1536,0.3778,87,0.841,16,8.0545,2.2808,-9.6817,-1.3776,-0.219,0.1482,51
1.123,21,9.088,-3.0198,-12.5341,-0.1956,0.0887,0.3838,87,0.893,17,10.9958,-3.6322,-7.4102,-1.2557,-0.3778,0.2859,51
1.175,22,8.8909,-3.4099,-12.402,-0.1667,0.0023,0.3575,87,0.944,18,10.6402,-2.0742,-7.4832,-1.2344,-0.2423,0.0375,51
1.226,23,9.1129,-3.2113,-12.5147,-0.2853,-0.1171,0.1831,87,0.996,19,9.7348,-0.611,-8.587,-0.4112,-0.0851,-0.0024,51
1.278,24,10.5673,-3.7269,-13.45,-0.6345,0.2146,-0.1405,87,1.048,20,9.3541,-0.3261,-8.6294,-0.5218,-0.1376,-0.0494,51
1.33,25,12.2392,0.0837,-14.6285,-0.8978,0.1698,-0.7497,87,1.1,21,9.1934,-0.203,-7.9989,-0.1703,-0.4914,-0.0459,51
