right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.032,0,10.3111,-0.4108,-13.9029,0.1306,-0.6061,0.194,91,0.046,0,8.8671,1.0403,-10.7595,0.1104,-0.1395,0.19,61
0.084,1,12.7912,0.5889,-12.5546,-0.1502,0.1138,0.0403,91,0.098,1,8.6744,1.2977,-9.8409,0.2728,-0.3344,0.4078,61
0.136,2,10.2867,-0.1076,-10.9451,-0.6454,0.7581,0.0102,91,0.151,2,8.4087,1.0212,-10.8632,0.1744,-0.6401,0.5382,61
0.188,3,9.2801,-0.4938,-9.9306,-0.5845,0.6818,0.0064,91,0.202,3,8.251,0.6063,-11.6138,0.0841,-0.7234,0.6263,61
0.239,4,6.4906,0.5946,-8.2739,-1.0443,0.9608,0.0913,91,0.254,4,8.9629,-0.1478,-12.6373,0.1253,-0.6426,0.5926,61
0.291,5,5.189,-0.1263,-9.7204,-1.1021,0.8742,0.1822,91,0.306,5,9.7575,-1.0457,-13.8367,0.1637,0.0233,-0.0078,61
0.343,6,9.0529,5.146,-9.6634,-0.1278,-0.0353,-0.1984,91,0.358,6,12.2387,-2.7693,-10.2554,0.7215,0.005,-0.447,61
0.395,7,11.7459,8.2736,-11.3503,0.0277,-0.5785,-0.4336,91,0.41,7,8.0121,-5.4074,-15.466,-0.112,0.1219,-0.1408,61
0.446,8,11.7296,5.8268,-13.9255,-0.0613,-0.3707,-0.0566,91,0.461,8,7.2238,-5.0231,-15.7633,0.1034,-0.5778,0.5776,61
0.498,9,13.8265,4.572,-13.753,-0.3557,0.4078,-0.1743,91,0.513,9,6.1552,-2.2581,-13.0336,-0.5972,-1.0885,1.0305,61
0.55,10,11.676,2.9476,-16.1581,-0.5096,0.976,-0.3135,91,0.565,10,5.3361,-1.8863,-10.5505,-1.0545,-0.9522,0.9388,61
0.602,11,7.8053,0.8102,-19.5752,0.2418,0.0389,-0.6414,91,0.617,11,5.4986,-1.0977,-8.1798,-0.1963,-0.7455,0.6586,61
0.654,12,10.3147,1.0172,-16.9058,0.853,-0.645,-0.4838,91,0.668,12,9.1304,-0.0289,-7.4888,-0.2032,-1.2109,0.4246,61
0.706,13,6.2888,0.7061,-9.7545,0.8995,-1.0627,-0.3151,91,0.72,13,11.781,-0.8489,-8.0812,0.1759,-0.8823,0.0865,61
0.758,14,6.2998,1.1675,-8.1121,0.633,-0.0972,-0.2161,91,0.772,14,11.937,0.2259,-9.1887,0.5503,-0.4505,-0.0198,61
0.809,15,7.2915,-0.2875,-8.1543,0.11,-0.4061,0.1373,91,0.824,15,8.9212,4.5042,-8.7186,0.3193,-0.137,-0.626,61
