right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.655,12,-1.2306,-11.7078,-10.4648,0.0569,0.1318,0.5598,75,0.09,1,-1.8576,8.6632,-5.3315,0.1375,0.068,-0.145,84,0.601,11,9.6783,-0.7594,-11.1946,-0.1723,-0.0796,-0.0021,74,85236.958,1648275,-6.2683,-5.9261,-5.8744,0.3411,0.0233,0.2654,46
0.707,13,-2.1515,-11.475,-10.4929,0.6363,0.3867,0.9987,75,0.142,2,-2.1769,9.4007,-4.2674,-0.044,-0.0219,-0.374,84,0.653,12,9.551,-0.7646,-10.9648,-0.2365,-0.1678,-0.0821,74,85237.009,1648276,-6.5429,-5.6627,-5.7461,0.1959,0.0795,0.225,46
0.758,14,-2.8615,-10.6217,-10.8554,1.1388,0.3896,1.3204,75,0.194,3,-2.583,9.4969,-4.3442,-0.4,0.1398,-0.5326,84,0.704,13,9.4011,-0.8099,-10.4819,-0.273,-0.5079,-0.2835,74,85237.061,1648277,-6.3765,-5.2817,-5.8133,0.1295,0.223,0.2983,46
0.81,15,-3.1842,-9.4037,-11.6344,1.5055,0.3484,1.4489,75,0.245,4,-1.3717,8.6497,-5.1412,-0.4603,0.0986,-0.4431,84,0.756,14,11.1067,-0.4993,-10.2537,-0.3074,-1.031,-0.5435,74,85237.113,1648278,-6.1509,-5.1031,-5.8617,0.1633,0.284,0.3036,46
0.862,16,-2.7414,-6.1934,-12.0691,1.7732,-0.0075,1.0108,75,0.297,5,0.1507,6.4046,-5.6484,-0.8841,-0.035,-0.0184,84,0.808,15,12.3281,-1.3618,-10.3561,-0.4497,-1.4259,-0.7298,74,85237.164,1648279,-6.3477,-5.468,-5.3396,0.1457,0.3131,0.2484,46
0.914,17,-2.7551,-3.6749,-11.2323,1.9685,-0.6186,0.4013,75,0.349,6,1.6522,6.4698,-5.9229,-0.2341,-0.0923,0.4145,84,0.86,16,12.1367,-2.0614,-10.5896,-0.0877,-1.5451,-0.7231,74,85237.216,1648280,-6.5089,-6.285,-4.6911,0.0455,0.2812,0.1986,46
0.965,18,-1.9072,-2.132,-10.6411,2.1111,-1.1208,-0.3806,75,0.401,7,2.2473,6.6805,-6.4087,-0.0415,-0.3352,0.7806,84,0.912,17,13.196,-2.5982,-8.0011,0.2882,-1.1794,-0.4132,74,85237.268,1648281,-6.3708,-6.9058,-3.9741,0.0176,0.1036,-0.1679,46
1.017,19,-1.5852,-0.9559,-8.575,2.2151,-1.4873,-0.9529,75,0.453,8,2.5247,7.5533,-6.8369,0.1404,-0.7785,1.0925,84,0.963,18,12.333,-0.6843,-7.4375,0.4596,-0.2072,-0.0081,74,85237.32,1648282,-7.0071,-7.7659,-3.3755,-0.005,-0.1273,-0.7986,46
1.069,20,3.9007,-3.2859,-3.6673,2.0679,-1.7549,-1.3706,75,0.505,9,3.1583,8.4468,-5.6969,0.2612,-1.1824,1.333,84,1.015,19,11.9194,0.392,-7.5064,0.1012,0.5271,0.4305,74,85237.371,1648283,-6.3611,-7.2944,-3.2276,-0.1325,-0.2612,-1.2589,46
1.121,21,7.6639,-7.5959,-5.88,0.8318,-0.5984,-0.3237,75,0.556,10,3.9163,10.379,-5.9097,0.2656,-1.2206,1.4337,84,1.067,20,12.4213,0.778,-8.5873,-0.1527,1.0631,0.744,74,85237.423,1648284,-5.4889,-6.4588,-3.7846,-0.5911,-0.3981,-1.5949,46
1.173,22,8.7419,-6.8893,-4.9899,1.0115,-0.6136,0.4364,75,0.608,11,3.5437,9.7947,-5.9725,0.2536,-0.944,1.2948,84,1.119,21,12.4945,0.5304,-9.9649,-0.0624,1.4542,0.8336,74,85237.475,1648285,-4.5962,-5.2921,-4.6547,-1.1093,-0.4124,-1.8401,46
1.224,23,5.7633,-4.6427,-4.3686,1.209,-0.0371,0.9846,75,0.66,12,3.2605,9.9374,-5.6588,0.8425,-0.8566,1.2633,84,1.17,22,12.3676,-0.343,-11.1974,-0.0199,1.7397,0.676,74,85237.527,1648286,-3.6778,-3.1666,-5.5329,-1.4875,-0.3494,-2.019,46
1.276,24,3.1388,-4.4953,-4.4392,0.9449,0.2086,1.1994,75,0.712,13,2.453,9.7878,-5.665,0.9137,-0.7421,1.1847,84,1.222,23,10.2036,0.4488,-14.0183,-0.0469,1.4934,0.5125,74,85237.578,1648287,-2.4287,-0.7337,-6.2765,-1.7635,-0.2898,-2.1496,46
1.328,25,1.6553,-2.5046,-3.8478,1.3059,0.5211,1.0467,75,0.764,14,2.0525,9.0309,-5.8885,0.5357,-0.6937,1.0418,84,1.274,24,12.6284,1.3059,-11.5275,-0.7094,0.4191,0.4821,74,85237.63,1648288,-1.5168,0.7424,-6.8282,-1.9461,-0.4107,-2.2449,46
