right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.643,12,0.8267,-5.3719,-20.205,0.4288,0.3516,1.8913,75,0.026,0,7.5558,5.3484,-11.192,-1.2106,0.0753,0.8306,88,0.523,10,11.6872,-1.6713,-14.0564,-0.7674,-1.0323,0.4776,70,0.354,6,11.2777,3.1036,-13.6496,-0.6536,-1.6436,1.5137,40,80641.955,1559431,-7.7851,8.7551,-15.0622,1.6013,-1.2991,1.423,47
0.695,13,0.5523,-6.4856,-20.7738,0.9873,0.2717,2.057,75,0.078,1,7.7913,4.6346,-11.6436,-0.9558,0.2508,0.7983,88,0.574,11,10.7762,-1.8629,-13.8187,-0.8053,-0.8765,0.3637,70,0.406,7,7.9479,3.1702,-15.9299,-1.1541,-0.9931,1.7851,40,80642.007,1559432,-9.4206,9.149,-15.2473,1.8425,-0.9232,1.7142,47
0.747,14,-0.1211,-7.3385,-21.0344,1.395,0.2403,2.1779,75,0.13,2,8.2789,4.2429,-11.9198,-0.7238,0.6273,0.6552,88,0.626,12,10.3465,-2.6145,-13.3715,-0.6501,-0.7448,0.2102,70,0.458,8,6.4938,3.0476,-14.049,-1.2237,-0.2591,1.9832,40,80642.059,1559433,-10.2108,9.6281,-15.0774,2.0187,-0.4117,1.9268,47
0.798,15,-0.8152,-7.507,-20.7911,1.6925,0.1925,2.2662,75,0.181,3,8.4276,3.8679,-11.4324,-0.5987,0.3886,0.5247,88,0.678,13,9.8197,-2.6085,-13.1037,-0.5509,-0.6019,0.0442,70,0.509,9,7.2224,4.8852,-13.5189,-0.8742,0.4959,2.1278,40,80642.111,1559434,-10.2434,8.8969,-14.5346,2.1472,0.2744,2.082,47
0.85,16,-0.9954,-8.0105,-20.2358,1.9096,0.1682,2.3306,75,0.233,4,8.3354,3.5129,-11.5453,-0.6432,0.3936,0.4152,88,0.73,14,9.636,-2.2174,-12.3558,-0.4937,-0.52,-0.0388,70,0.561,10,8.0796,6.3008,-13.5418,-1.1143,1.0469,2.2333,40,80642.163,1559435,-10.0847,7.5266,-13.9721,2.241,0.8876,2.1952,47
0.902,17,-1.4217,-7.5975,-18.5884,2.0681,0.2476,2.3776,75,0.285,5,7.9191,3.4628,-11.3056,-0.5744,0.3607,0.3461,88,0.782,15,9.4487,-2.3047,-12.0958,-0.4638,-0.5813,-0.0697,70,0.613,11,9.4265,7.1384,-14.3664,-1.4903,1.449,2.3103,40,80642.214,1559436,-9.263,5.0017,-12.5043,2.3094,1.3365,2.2779,47
0.954,18,-2.0184,-6.9109,-17.342,2.1838,0.3058,2.1641,75,0.337,6,7.5012,3.514,-10.7281,-0.7588,0.25,0.363,88,0.833,16,9.205,-2.2352,-12.2872,-0.3953,-0.7457,-0.0882,70,0.665,12,11.0994,7.3428,-16.0281,-1.7648,1.7425,2.3665,40,80642.266,1559437,-7.76,2.9904,-10.6049,2.3594,1.6641,2.3382,47
1.006,19,-2.491,-5.8449,-16.3883,2.2682,0.1073,1.752,75,0.388,7,7.2839,3.4714,-10.349,-1.0627,0.1262,0.3856,88,0.885,17,9.0446,-2.1827,-12.2216,-0.523,-1.0555,0.0232,70,0.716,13,9.0247,5.4311,-19.5447,-1.7094,1.9567,1.7886,40,80642.318,1559438,-6.7851,1.2616,-8.9905,2.3959,1.9032,2.3822,47
1.057,20,-3.3998,-2.5512,-16.8502,2.3298,-0.5648,1.1705,75,0.44,8,7.0312,2.9884,-10.0486,-1.3573,0.063,0.3352,88,0.937,18,9.9859,-2.6678,-12.7449,-0.6225,-1.4437,0.3006,70,0.768,14,5.8745,6.8605,-22.2458,-1.537,1.1499,1.1436,40,80642.369,1559439,-5.2997,0.5042,-7.4039,2.4225,2.0777,2.3492,47
1.109,21,-2.6883,-1.1923,-16.5295,2.2583,-1.0815,0.6381,75,0.492,9,6.6626,2.5942,-9.8003,-1.307,0.0759,0.2655,88,0.989,19,12.5539,-3.2435,-14.176,-0.9472,-1.7271,0.675,70,0.82,15,4.524,0.9482,-21.9803,-1.7573,0.4087,0.4628,40,80642.421,1559440,-4.1767,0.0088,-6.5911,2.4419,2.2049,2.0756,47
1.161,22,-1.3134,0.5975,-15.0545,2.2573,-1.4587,-0.2094,75,0.544,10,6.6829,2.6208,-9.6681,-1.5426,-0.0471,0.2941,88,1.041,20,12.5401,-3.3011,-12.7973,-1.3666,-1.7024,0.8532,70,0.872,16,6.1488,0.2648,-19.6945,-1.5734,-0.3671,-0.013,40,80642.473,1559441,-2.8899,0.3524,-6.0114,2.4561,1.9931,1.8125,47
1.213,23,-1.1263,2.3005,-12.3877,1.964,-1.7339,-0.8279,75,0.596,11,8.2045,1.7724,-10.3963,-1.4843,-0.3392,0.2052,88,1.092,21,9.4544,-2.0107,-11.4421,-1.5308,-0.6064,1.1504,70,0.924,17,7.2484,0.1818,-18.1872,-1.3301,-0.4769,-0.0778,40,80642.525,1559442,-1.7496,0.5894,-6.5415,2.1277,1.4396,1.8951,47
