right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.473,9,-1.8619,-0.029,-6.9096,1.677,-0.3909,0.1069,75,0.01,0,-0.7997,3.6067,-11.249,-1.7771,-0.9718,0.4959,86,80879.64,1564026,-3.5847,0.2734,-3.7854,1.4099,-1.4875,0.502,47
0.525,10,-0.8272,1.1272,-6.5303,1.8846,-0.9547,0.7332,75,0.062,1,0.7272,6.6437,-9.6905,-1.9383,-0.6004,1.0273,86,80879.692,1564027,-2.871,0.506,-4.8316,1.3794,-1.7473,0.4821,47
0.577,11,3.3031,6.2126,-2.175,2.0494,-1.3661,1.2117,75,0.113,2,4.8659,9.7479,-9.1209,-2.0665,-1.1109,1.4152,86,80879.744,1564028,-2.1089,0.3958,-6.1237,1.2045,-1.868,0.3811,47
0.629,12,7.4683,3.4871,-5.2454,0.8476,-1.6664,1.561,75,0.165,3,5.0288,3.334,-11.8999,-2.1883,-1.4834,1.6982,86,80879.795,1564029,-1.0986,0.4195,-7.6533,0.7425,-1.8492,0.0949,47
0.681,13,9.266,2.5004,-5.7069,0.1536,-0.7804,0.9159,75,0.217,4,7.722,0.8276,-12.8037,-0.9254,-1.1824,1.1461,86,80879.847,1564030,-1.2368,0.3858,-9.8891,0.6962,-2.0127,0.0856,47
0.732,14,9.2372,3.7485,-5.8683,0.209,0.1129,0.2248,75,0.269,5,10.0504,2.3068,-12.1599,-0.0294,-0.6118,0.9092,86,80879.899,1564031,-1.5777,-0.0282,-10.9662,0.8226,-2.1296,0.0736,47
0.784,15,8.2632,5.0679,-4.9277,0.4213,0.6266,-0.2207,75,0.32,6,10.8006,2.2052,-11.4321,-0.0156,-0.965,1.3267,86,80879.951,1564032,-1.0169,0.0059,-10.3003,1.168,-2.154,-0.1236,47
0.836,16,7.6853,5.6864,-3.0982,0.5918,1.1344,-0.6493,75,0.372,7,10.9978,1.9287,-11.3942,0.2821,-1.377,1.6337,86,80880.002,1564033,-0.5692,0.0516,-9.7929,1.4188,-2.1686,-0.2671,47
0.888,17,5.2164,7.0437,-3.0915,0.8561,1.5104,-1.149,75,0.424,8,10.638,1.7272,-11.5535,0.3443,-1.664,1.8577,86,80880.054,1564034,-2.3849,1.3729,-10.1796,0.7185,-1.7802,0.3014,47
0.94,18,4.0417,7.0862,-2.9487,0.7985,1.7785,-1.5137,75,0.476,9,10.424,1.2219,-11.8462,0.3718,-1.7038,2.0212,86,80880.106,1564035,-1.2755,1.2043,-10.1577,-0.1472,-1.5816,0.8956,47
0.991,19,2.4437,4.7799,-8.0404,1.1357,1.9804,-1.7799,75,0.528,10,9.7248,1.3012,-11.7201,0.4757,-1.3361,1.8938,86,80880.158,1564036,-0.5355,1.0618,-9.7846,-0.7853,-1.4177,1.3294,47
1.043,20,-0.0462,-1.7091,-13.8273,0.7435,0.9214,-0.7619,75,0.58,11,8.6436,1.15,-11.3881,0.3381,-0.9857,1.6452,86,80880.209,1564037,-0.0026,0.9347,-9.5258,-1.251,-1.2793,1.6459,47
1.095,21,1.1931,2.4548,-9.838,0.6583,0.0031,0.1206,75,0.631,12,7.5162,0.0688,-11.7499,0.134,-0.5743,1.3051,86,80880.261,1564038,-0.3406,1.5186,-10.0349,-1.5909,-1.197,1.877,47
1.147,22,5.7615,7.1816,-9.8082,0.0568,-0.6671,0.7646,75,0.683,13,7.7403,-0.4024,-11.6803,-0.1683,-0.4909,0.9304,86,80880.313,1564039,-0.5239,3.4826,-10.373,-1.839,-1.0382,2.0456,47
