right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.13,2,-3.4371,-1.1743,-17.5588,2.134,-1.6727,0.7301,75,0.435,8,-0.4463,6.5762,-15.9551,0.7747,-0.0178,-1.0646,84,0.591,11,9.4902,-0.7995,-10.4172,0.1018,-0.2173,0.0312,72,0.068,1,9.0504,-0.5368,-11.0357,-0.1975,0.0205,-0.0006,40,82808.012,1601310,-4.9304,-10.0331,-8.4607,0.4886,0.7075,-0.3816,47
0.182,3,-3.6348,1.9612,-17.4607,2.2318,-1.8901,-0.1222,75,0.486,9,-0.1974,6.3287,-16.0477,0.3214,0.5368,-1.4634,84,0.643,12,9.386,-1.1187,-10.4283,0.1807,-0.2477,0.0826,72,0.12,2,8.9881,-0.4102,-10.9681,-0.1054,0.0175,0.0662,40,82808.064,1601311,-5.7122,-10.0036,-8.0694,0.9384,0.4701,0.0256,47
0.234,4,0.7483,-1.2367,-13.2302,2.1962,-2.0488,-0.7643,75,0.538,10,-0.171,5.8668,-17.2722,-0.2499,1.045,-1.7362,84,0.695,13,9.4262,-0.5616,-10.106,0.1325,-0.2771,0.1433,72,0.172,3,8.9187,-0.394,-10.8647,0.0797,-0.0615,0.1716,40,82808.115,1601312,-6.9596,-8.6097,-7.3317,1.3588,0.1221,0.1652,47
0.286,5,5.6038,-0.2103,-11.0541,2.2773,-2.1647,-1.2329,75,0.59,11,-0.7854,5.191,-18.394,-0.1606,1.4417,-1.7288,84,0.746,14,9.3278,-0.7412,-10.6919,0.0375,-0.4276,0.199,72,0.224,4,8.7118,0.013,-10.1296,0.2123,-0.3612,0.3217,40,82808.167,1601313,-7.1632,-6.7756,-7.1383,1.6656,-0.1184,0.1957,47
0.337,6,9.0211,-2.6496,-9.2006,0.9847,-1.1847,-0.2232,75,0.642,12,-1.6794,4.9978,-19.0115,-0.4931,1.6578,-1.649,84,0.798,15,9.3766,-0.9372,-11.0476,0.0033,-0.5273,0.2282,72,0.275,5,10.1251,0.4955,-9.9385,0.1115,-0.9304,0.4917,40,82808.219,1601314,-6.1157,-5.2002,-7.1117,1.8895,-0.4817,0.1488,47
0.389,7,9.1551,-5.4015,-6.9918,0.5006,-0.2763,0.5137,75,0.694,13,-2.3153,4.1445,-19.422,-0.6657,1.6073,-1.4133,84,0.85,16,9.4121,-1.5885,-11.4474,-0.0196,-0.5885,0.2087,72,0.327,6,10.7706,2.6104,-8.0905,-0.221,-1.1946,0.1718,40,82808.271,1601315,-5.2674,-4.0385,-6.9811,2.0529,-0.9111,0.2462,47
0.441,8,6.5679,-5.4482,-6.1504,0.2146,0.475,0.9973,75,0.745,14,-2.7593,3.867,-19.1544,-0.5771,1.5525,-1.0886,84,0.902,17,9.3647,-1.7609,-11.5909,-0.0426,-0.7189,0.151,72,0.379,7,10.8979,2.4601,-7.6035,-0.8384,-0.7072,-0.2831,40,82808.322,1601316,-4.6459,-3.5632,-7.1185,2.1722,-1.328,0.3644,47
0.493,9,2.5506,-5.5207,-6.0116,0.124,0.871,1.3511,75,0.797,15,-3.3393,3.896,-19.1353,-0.4045,1.433,-0.7544,84,0.954,18,9.2143,-1.4427,-12.364,0.0298,-0.8129,0.0954,72,0.431,8,10.5215,2.2461,-8.1507,-0.151,0.1688,-0.7419,40,82808.374,1601317,-4.4756,-3.5167,-7.7241,2.2592,-1.6323,0.3772,47
0.545,10,0.7491,-6.338,-4.9525,0.4443,0.7897,1.6103,75,0.849,16,-3.0851,4.3211,-19.3272,-0.1852,1.3176,-0.4678,84,1.006,19,9.7867,-1.2013,-12.2651,-0.0076,-0.8243,0.0728,72,0.483,9,9.8846,0.6066,-10.2246,0.4528,0.8082,-1.2116,40,82808.426,1601318,-5.3502,-3.7002,-9.4382,2.3228,-1.8374,0.3908,47
0.596,11,-2.4465,-6.0974,-4.3362,0.5139,1.1202,1.8519,75,0.901,17,-1.6496,4.6356,-19.2619,-0.2661,1.0926,-0.3475,84,1.057,20,10.4621,-0.9623,-12.1407,-0.1631,-1.2271,0.0629,72,0.534,10,7.2577,-3.004,-14.9679,1.0052,1.186,-1.4582,40,82808.478,1601319,-5.0705,-3.7781,-11.2149,2.3691,-1.3808,0.3871,47
