right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.729,14,7.9798,-3.4942,-13.3623,1.0764,-1.664,0.0565,75,0.137,2,0.6736,7.7416,-14.3241,0.0503,-0.0268,0.4158,84,0.416,8,11.8693,1.9003,-8.8854,1.4897,0.117,0.4925,75,84989.161,1643485,1.0754,-1.5654,-0.7553,-1.684,0.1882,-0.6964,46
0.781,15,5.681,-5.9324,-12.3378,1.4023,-0.5321,0.5297,75,0.189,3,2.5033,8.3476,-14.6733,-0.4217,-0.0475,0.5371,84,0.468,9,10.7147,1.6154,-9.4252,1.0735,-0.1361,0.2809,75,84989.212,1643486,0.8418,-1.7971,-1.4056,-1.9069,0.5984,-0.6412,46
0.832,16,6.1622,-4.1393,-10.7089,1.6978,-0.873,0.5353,75,0.241,4,3.9154,8.0435,-14.3297,-0.4945,0.1802,0.4335,84,0.519,10,10.2617,0.9756,-10.3363,0.6246,-0.2351,0.215,75,84989.264,1643487,-0.1419,-2.2514,-1.1217,-2.0696,1.1254,-0.3721,46
0.884,17,5.7815,-3.967,-7.8415,1.2884,-0.5632,0.9533,75,0.293,5,4.3254,7.8873,-14.0054,-0.1919,0.3752,0.3803,84,0.571,11,10.0786,0.6815,-10.7619,0.5436,-0.3668,0.1117,75,84989.316,1643488,0.0352,-1.9332,-1.7334,-2.1884,1.51,-0.1285,46
0.936,18,4.0845,-5.002,-6.0853,1.6076,-0.037,0.8809,75,0.344,6,3.9284,8.0603,-13.5963,0.0516,0.4912,0.4214,84,0.623,12,9.8079,0.1665,-11.1002,0.2988,-0.3728,0.0401,75,84989.368,1643489,0.2699,-1.4868,-2.4267,-2.275,1.7907,0.136,46
0.988,19,2.7432,-4.7529,-4.5035,1.2912,0.6206,0.9793,75,0.396,7,3.1881,8.1285,-13.4566,0.2431,0.5208,0.2278,84,0.675,13,9.7735,-0.0724,-11.322,0.1344,-0.4128,-0.036,75,84989.419,1643490,1.1341,-1.1658,-3.0895,-2.3383,1.9956,0.395,46
1.039,20,2.3679,-4.7373,-3.3483,1.1371,0.8871,0.9883,75,0.448,8,2.6082,8.2089,-13.3452,0.4185,0.5085,-0.0764,84,0.727,14,9.6528,-0.2244,-11.599,-0.0123,-0.4668,-0.0951,75,84989.471,1643491,4.035,1.3636,-1.6731,-2.3845,2.1452,0.4653,46
1.091,21,3.1986,-4.2814,-3.6222,1.504,1.3222,1.1207,75,0.5,9,1.9005,7.9527,-13.1504,0.5821,0.4895,-0.3925,84,0.778,15,9.5692,-0.4296,-11.8682,-0.1268,-0.577,-0.1897,75,84989.523,1643492,2.5777,3.8692,-0.6733,-2.4182,2.2543,0.2287,46
1.143,22,3.4407,-2.6881,-7.6631,1.4123,0.8559,0.81,75,0.552,10,1.3196,8.2244,-12.9147,0.6824,0.2946,-0.5583,84,0.83,16,9.5537,-0.4028,-12.0826,-0.216,-0.719,-0.336,75,84989.575,1643493,1.7863,3.1003,-2.2562,-2.4428,2.334,-0.2597,46
1.195,23,1.2345,-0.3085,-8.9289,1.1654,0.0053,0.0947,75,0.603,11,1.2997,8.605,-12.8248,0.3704,0.0208,-0.5519,84,0.882,17,10.2379,-0.2867,-12.0725,-0.2361,-1.0545,-0.5676,75,84989.626,1643494,1.2393,2.5581,-3.5143,-2.4607,2.3921,-0.6148,46
