right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.265,5,-0.9668,2.1502,-12.0254,1.5857,1.3292,0.1503,75,0.571,11,-3.9271,8.9692,-7.7355,-0.1154,-0.8824,0.0132,86,0.042,0,9.6176,0.3731,-10.977,1.3788,-0.5789,-0.1704,71,0.462,8,8.8921,0.9726,-11.2383,-0.036,-0.0659,-0.136,40,82082.073,1587276,-6.0144,0.289,-6.172,-0.694,1.574,-1.5195,47
0.317,6,0.6592,3.3841,-16.7732,1.7941,1.6525,0.3168,75,0.623,12,-3.9528,8.8831,-7.5974,-0.1893,-0.6934,0.0541,86,0.094,1,9.7488,0.358,-11.1609,0.6858,-0.7558,-0.0562,71,0.514,9,8.8335,0.8551,-11.3041,0.0476,-0.0887,-0.1262,40,82082.124,1587277,-4.4375,0.2505,-6.7038,-0.6542,1.8374,-1.5415,47
0.369,7,1.5871,3.997,-15.3091,1.7785,1.3041,0.4979,75,0.675,13,-4.133,8.4821,-7.3789,-0.2059,-0.4995,0.1126,86,0.145,2,10.5138,-0.3122,-11.1638,0.3763,-1.1148,0.1326,71,0.566,10,8.7675,1.0628,-11.3245,0.3088,-0.098,-0.1481,40,82082.176,1587278,-3.1642,0.2735,-7.2015,-0.6508,2.0297,-1.539,47
0.42,8,2.565,1.2214,-18.9102,0.6206,0.2824,0.3261,75,0.727,14,-4.3504,8.2512,-7.3494,-0.1073,-0.2816,0.1631,86,0.197,3,10.7528,-1.3652,-11.7552,-0.1497,-1.3659,0.3703,71,0.618,11,8.6598,1.1492,-11.3594,0.3392,-0.1151,-0.1199,40,82082.228,1587279,-0.1752,0.4908,-6.7246,-0.7416,2.1592,-1.4576,47
0.472,9,1.7112,0.8369,-19.7259,-0.0404,-0.4632,0.1884,75,0.443,8,0.1203,8.9872,-7.2918,-0.5262,-0.3577,-0.423,86,0.249,4,10.7528,-2.1601,-11.1242,0.4163,-1.383,0.401,71,0.669,12,8.7048,1.1034,-11.532,0.2247,-0.1694,-0.0362,40,82082.28,1587280,1.0283,0.6419,-6.2897,-0.8363,2.1225,-1.2768,47
0.524,10,0.9566,0.3068,-19.7843,0.302,-0.9928,-0.0561,75,0.495,9,0.1185,8.3724,-7.2667,-0.464,-0.6324,-0.345,86,0.301,5,10.4883,-0.3442,-10.1619,0.9803,-0.9122,0.2669,71,0.721,13,8.7156,1.238,-11.6524,0.2138,-0.2148,0.0243,40,82082.331,1587281,0.732,0.4468,-7.2204,-0.7287,1.9455,-1.1417,47
0.576,11,-0.2333,1.1455,-19.0375,0.617,-1.3892,-0.2038,75,0.547,10,1.0617,9.8573,-6.5169,0.1632,-0.7847,-0.1931,86,0.353,6,10.3502,0.2424,-9.9305,0.8768,-0.1079,0.0564,71,0.773,14,8.7016,1.2828,-11.7725,0.2174,-0.2674,0.0764,40,82082.383,1587282,0.499,0.3278,-7.9503,-0.6499,1.8139,-1.042,47
0.835,16,-1.7019,1.7754,-7.3666,-0.4253,0.6426,0.8977,75,0.806,15,2.4563,8.2721,-6.2926,-0.3273,-0.2387,-0.4549,86,0.612,11,8.4313,-1.8345,-17.3928,-0.525,1.5138,-0.3391,71,1.032,19,8.5512,0.302,-12.6143,0.3643,-0.5471,0.2365,40,82082.642,1587287,1.8277,-0.4343,-10.2422,-0.7331,-0.0205,0.8734,47
0.886,17,-0.3236,2.4021,-6.1164,-0.2139,1.1514,0.9103,75,0.858,16,1.7725,7.9555,-6.1508,-0.3571,-0.1557,-0.3762,86,0.664,12,6.8792,-1.3369,-16.8906,-0.042,0.7311,-0.3005,71,1.084,20,8.7553,0.3356,-12.7645,0.3256,-0.7693,0.3737,40,82082.693,1587288,1.3804,-0.282,-10.125,-0.7473,-0.2003,1.0715,47
0.938,18,2.4155,1.7025,-12.4605,0.4632,1.5228,0.945,75,0.91,17,1.3664,7.9582,-6.0202,-0.39,-0.0818,-0.2936,86,0.715,13,7.9524,-0.0217,-13.5959,-0.129,0.0048,-0.0368,71,1.135,21,9.3417,-0.0252,-13.0012,0.2539,-1.116,0.5353,40,82082.745,1587289,1.0515,-0.1735,-10.0506,-0.7585,-0.3311,1.2166,47
0.99,19,5.0889,6.4785,-17.0908,-0.0026,0.8279,0.9623,75,0.962,18,0.9724,7.7275,-5.6733,-0.3911,0.0064,-0.216,86,0.767,14,7.9853,0.1344,-12.7241,-0.3853,-0.1307,0.1613,71,1.187,22,10.5369,-0.07,-13.0243,0.2938,-1.4798,0.695,40,82082.797,1587290,0.5304,-0.6964,-8.686,-0.077,-0.8309,0.4835,47
1.042,20,7.8614,2.8456,-18.1762,-0.517,-0.0651,0.8093,75,1.013,19,0.4612,7.3596,-5.5582,-0.3363,0.0761,-0.1554,86,0.819,15,8.1725,-0.5558,-11.8102,-0.3344,-0.3428,0.2574,71,1.239,23,12.1448,-0.1358,-12.4472,0.8062,-1.7468,0.8808,40,82082.849,1587291,2.6418,-0.1916,-4.9078,0.5705,-0.8756,-0.0054,47
1.093,21,7.2889,2.8469,-17.7911,-0.3814,-0.7168,0.2876,75,1.065,20,-0.0965,7.1485,-5.3996,-0.3289,0.0817,-0.0741,86,0.871,16,8.4189,-1.2997,-11.6093,-0.2291,-0.5342,0.2509,71,1.291,24,11.5761,-0.4913,-12.7645,1.2519,-1.7894,0.9056,40,82082.9,1587292,4.8258,3.0934,-4.8625,0.9909,-0.6627,-0.2162,47
1.145,22,5.8166,3.2003,-16.6971,-0.1154,-1.149,-0.3327,75,1.117,21,-0.0874,8.445,-4.4239,-0.0683,0.0946,0.0778,86,0.922,17,8.8621,-1.2141,-11.574,-0.2168,-0.5904,0.2832,71,1.342,25,8.5904,0.063,-13.9513,0.8814,-1.1155,0.8199,40,82082.952,1587293,3.5712,2.2568,-6.0759,1.397,-0.5798,-0.5515,47
1.197,23,3.6672,2.9785,-15.9553,0.0949,-0.918,-0.7904,75,1.169,22,0.1071,9.3799,-3.7076,-0.0635,0.3233,0.0716,86,0.974,18,8.8133,-1.8531,-11.7548,-0.2212,-0.5867,0.3162,71,1.394,26,7.0442,0.0185,-13.3257,0.6978,-0.1305,0.453,40,82083.004,1587294,2.457,1.5498,-7.0517,1.6934,-0.5186,-0.7961,47
1.249,24,1.1522,2.3157,-16.236,-0.1581,-0.6279,-0.9933,75,1.221,23,-0.0476,9.1993,-4.1464,-0.3193,0.1996,0.1414,86,1.026,19,8.7943,-2.309,-11.7805,-0.2144,-0.5641,0.2797,71,1.446,27,6.7182,0.3909,-13.2182,0.8142,0.5898,-0.1874,40,82083.056,1587295,0.896,0.4914,-5.4344,0.5581,0.3101,-0.1113,47
1.301,25,0.3741,1.0108,-15.1613,-0.1531,-0.4774,-0.9242,75,1.272,24,0.2906,9.6027,-4.582,0.0786,0.1083,0.1142,86,1.078,20,9.0041,-2.5145,-11.8299,-0.1487,-0.573,0.2392,71,1.498,28,8.3544,0.6447,-13.6963,0.2823,1.1154,-0.8082,40,82083.108,1587296,0.9105,0.2653,-5.8165,-0.2706,0.915,0.3877,47
1.353,26,0.6829,-1.2498,-11.8564,0.0225,0.1479,-0.5442,75,1.324,25,0.6991,9.626,-4.7664,-0.2812,0.0193,-0.14,86,1.13,21,9.0265,-2.5564,-11.9436,-0.1246,-0.5689,0.2328,71,1.55,29,9.5222,0.4569,-14.5438,-0.4602,1.499,-1.261,40,82083.159,1587297,0.9406,0.1113,-6.1207,-0.8753,1.3565,0.7517,47
1.404,27,0.3068,-1.1401,-13.456,-0.4779,0.0902,-0.3131,75,1.376,26,0.6138,8.7294,-5.328,-0.406,0.1204,-0.3294,86,1.181,22,8.6527,-2.7529,-12.1894,-0.1872,-0.5226,0.2344,71,1.601,30,10.6004,0.2054,-14.9009,-1.0129,1.779,-1.5575,40,82083.211,1587298,0.9474,-0.0019,-6.3267,-1.3167,1.6787,1.0166,47
1.456,28,0.6355,1.3866,-11.7537,-0.5967,0.7482,0.1618,75,1.428,27,0.2714,7.7416,-5.5975,-0.3214,0.1155,-0.4727,86,1.233,23,8.9125,-2.9652,-12.2988,-0.18,-0.5575,0.2089,71,1.653,31,11.2541,-0.3943,-15.2544,-1.2361,1.9834,-1.7553,40,82083.263,1587299,0.9617,-0.0865,-6.4915,-1.6389,1.9138,1.2096,47
1.508,29,2.0832,1.4299,-16.5749,0.2388,1.2285,0.4354,75,1.48,28,0.6593,7.8434,-5.7621,-0.4758,0.0309,-0.4204,86,1.285,24,9.1549,-2.9356,-12.3222,-0.1479,-0.7538,0.247,71,1.705,32,9.9953,-0.8137,-16.5393,-0.7959,2.1325,-1.9165,40,82083.315,1587300,0.9783,-0.1537,-6.6192,-1.874,2.0855,1.3509,47
