right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.181,3,10.0178,-5.9245,-6.9903,-0.5612,-1.9243,-1.7571,75,0.439,8,-1.3398,9.335,-18.14,-1.7895,0.2226,-1.3685,77,0.645,12,9.1135,-1.7642,-9.8694,-0.0583,0.0361,-0.0522,73,0.105,2,8.2631,1.1363,-11.9591,-0.615,0.686,0.0732,39,82517.564,1595695,-2.8595,2.6873,-19.0622,-0.2311,0.2528,0.1458,47
0.232,4,10.2387,-4.8741,-7.3734,-0.5427,-1.5994,-1.385,75,0.49,9,-1.9216,6.05,-17.3161,-1.986,0.0554,-1.5639,77,0.697,13,10.0349,-1.8918,-9.2106,-0.2613,-0.4245,-0.283,73,0.157,3,5.318,-2.042,-7.0917,-0.3936,0.6066,-0.1126,39,82517.616,1595696,-2.924,2.8015,-20.3543,-0.2154,0.2616,0.1101,47
0.284,5,9.7811,-4.1192,-7.874,-0.9161,-1.0555,-0.9111,75,0.542,10,-2.6706,4.786,-16.7327,-2.1295,-0.3184,-1.3935,77,0.748,14,10.9168,-3.3132,-8.5527,-0.3263,-0.7911,-0.3728,73,0.209,4,5.4771,-1.1864,-7.6371,-0.54,0.4396,-0.1491,39,82517.667,1595697,-3.2745,2.9588,-21.374,-0.2019,-0.0497,-0.5676,47
0.336,6,9.5466,-3.3249,-8.0666,-1.1885,-0.665,-0.4054,75,0.594,11,-3.1474,3.0046,-16.7266,-2.2342,-0.8865,-1.0128,77,0.8,15,10.1056,-3.5121,-7.7496,-0.6099,-0.3506,-0.1496,73,0.26,5,6.7496,-0.5761,-7.9356,-0.1824,0.3742,-0.216,39,82517.719,1595698,-2.8246,3.1253,-20.3921,0.0653,-0.6774,-1.0903,47
0.388,7,9.478,-2.3918,-8.5902,-1.1833,-0.5035,-0.043,75,0.646,12,-1.6888,1.7561,-16.063,-2.3107,-1.3197,-0.6813,77,0.852,16,9.8014,-3.4967,-7.7099,-0.9612,0.1877,0.2008,73,0.312,6,7.2795,0.2248,-8.3309,-0.1613,0.1703,-0.2035,39,82517.771,1595699,-2.0296,3.0145,-18.6421,0.5931,-1.1575,-1.4718,47
0.439,8,9.8213,-1.3835,-9.3934,-1.0594,-0.3597,0.3165,75,0.698,13,2.3192,-1.0642,-9.0873,-2.3665,-1.6358,-1.0207,77,0.904,17,9.3261,-2.7723,-9.0946,-0.8443,0.6057,0.5756,73,0.364,7,7.703,0.7586,-9.0341,-0.1365,-0.0548,-0.1197,39,82517.823,1595700,-1.1023,2.1842,-16.2272,1.0764,-1.5079,-1.7503,47
0.491,9,9.4938,-0.6263,-9.757,-0.8088,-0.2855,0.4792,75,0.75,14,6.6125,-2.219,-7.7776,-1.0554,-1.8666,-1.2743,77,0.956,18,9.0444,-1.8713,-10.4918,-0.8488,0.6349,0.5814,73,0.416,8,8.0931,0.9107,-9.3087,-0.136,-0.2252,-0.0472,39,82517.875,1595701,-0.3128,1.6094,-14.4697,1.4595,-1.7636,-1.9535,47
0.543,10,9.8546,0.1251,-10.1783,-0.646,-0.2412,0.5593,75,0.801,15,9.746,-2.954,-6.1713,-0.8562,-0.6832,-0.6015,77,1.008,19,7.2835,0.6394,-13.5849,-0.4391,0.2315,0.2342,73,0.468,9,8.2495,1.1331,-9.8521,-0.0365,-0.4031,-0.021,39,82517.927,1595702,0.3382,1.1362,-13.1541,1.7391,-1.9502,-2.1018,47
0.595,11,9.5047,0.5772,-10.3781,-0.5222,-0.0623,0.5502,75,0.853,16,10.2984,-0.7635,-4.6809,-0.9553,0.0923,-0.8083,77,1.059,20,9.5517,1.8004,-17.4651,-0.2874,0.1525,-0.3718,73,0.519,10,8.7468,0.9772,-9.9291,0.079,-0.7777,0.0875,39,82517.978,1595703,0.8917,0.6539,-12.0172,1.9431,-2.0864,-2.21,47
0.646,12,9.1493,0.8041,-10.408,-0.4562,0.0058,0.4449,75,0.905,17,7.9403,-0.3455,-2.0597,-1.1395,0.7465,-0.882,77,1.111,21,7.289,-0.2575,-18.2907,0.1601,0.7081,-0.4945,73,0.571,11,11.2265,1.6988,-8.6422,0.33,-1.2344,0.331,39,82518.03,1595704,0.9577,0.4062,-11.4972,2.0921,-2.0575,-2.289,47
