right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.256,4,2.6898,-8.7324,-13.9742,-0.172,-0.4489,-0.4682,76,0.778,15,6.6638,-2.6655,-10.6887,-0.9402,0.2798,-0.2837,85,0.198,3,8.3395,-1.2899,-12.8023,0.4797,0.8814,0.7277,75,84794.671,1639725,4.6119,-0.3213,-9.328,2.0079,-0.9049,2.1656,47
0.308,5,2.7632,-10.3045,-15.1398,-0.5078,-0.049,-0.5103,76,0.83,16,8.4127,-2.5362,-10.0756,-0.9028,-0.0122,-0.3343,85,0.25,4,8.6566,-1.3847,-12.6798,0.3232,0.746,0.7629,75,84794.723,1639726,7.6123,-0.9565,-9.6747,1.7238,0.0278,1.3919,47
0.359,6,2.0573,-10.6742,-14.5021,-0.5222,0.3162,-0.5193,76,0.882,17,7.2911,-3.6931,-9.7124,-0.5444,0.2342,-0.5796,85,0.301,5,9.8634,-1.2009,-12.583,0.2913,0.6892,0.6685,75,84794.774,1639727,8.7162,1.1023,-9.6182,1.2573,0.6703,0.3398,47
0.411,7,1.0217,-9.4966,-13.8721,-0.3263,0.3884,-0.5365,76,0.933,18,9.5257,-3.3932,-10.0447,-0.3794,0.0101,-0.2773,85,0.353,6,9.6379,-1.2659,-12.627,0.3086,0.6441,0.5306,75,84794.826,1639728,6.2214,1.3656,-9.6067,0.8111,0.9986,-0.428,47
0.463,8,0.8295,-8.7394,-13.5452,-0.1717,0.2917,-0.5178,76,0.985,19,8.9677,-2.5202,-9.9276,-0.1202,0.0558,-0.6218,85,0.405,7,9.748,-0.9639,-12.5031,0.3023,0.496,0.4725,75,84794.878,1639729,4.3765,1.4906,-9.6023,0.4677,1.2398,-0.9885,47
0.515,9,0.9282,-8.171,-13.7956,-0.0338,0.3742,-0.3782,76,0.067,1,2.9592,7.2439,-14.6317,0.1928,-0.2167,0.6069,85,0.457,8,9.6539,-0.9037,-11.9395,0.1173,0.4335,0.4947,75,84797.257,1639775,-6.7154,4.5827,-4.9475,0.2209,-0.7306,-0.073,47
0.567,10,1.338,-8.3708,-14.3249,-0.0512,0.5258,-0.2607,76,0.119,2,4.3345,7.9341,-14.9257,0.2757,-0.5011,0.2918,85,0.509,9,10.1502,-0.9612,-12.3334,-0.1046,0.0504,0.4951,75,84797.309,1639776,-6.037,4.0556,-5.2834,0.1597,-0.5477,-0.1709,47
0.618,11,1.8119,-10.1911,-14.8299,0.2906,0.524,-0.0754,76,0.17,3,3.6678,8.9625,-15.2793,0.2707,-0.6553,-0.2301,85,0.56,10,10.587,0.4514,-12.5623,-0.4611,0.0628,0.3262,75,84797.36,1639777,-5.7255,5.1454,-4.1776,0.2712,-0.5053,-0.085,47
0.67,12,2.0476,-11.5904,-14.3205,0.8789,0.4099,0.3869,76,0.222,4,3.9869,9.9184,-16.4175,0.1628,-0.915,-0.8543,85,0.612,11,10.1513,0.5852,-11.8293,-0.097,0.0684,-0.1515,75,84797.412,1639778,-7.45,5.8091,-3.2431,0.5876,-0.5507,0.2201,47
0.722,13,1.4439,-12.1762,-14.4202,1.3158,0.3596,0.959,76,0.274,5,2.9406,8.6259,-16.1301,0.2172,-1.0175,-1.2936,85,0.664,12,9.6868,0.4634,-11.1513,0.5953,0.1468,-0.5364,75,84797.464,1639779,-9.3577,6.9634,-2.1332,0.8905,-0.4593,0.4406,47
