right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.46,8,-2.7638,-8.9101,-16.4379,2.1307,-0.1466,2.1248,75,0.066,1,7.7777,3.1693,-10.2919,-0.2165,0.016,0.0999,77,0.459,8,13.9017,-1.6626,-10.1375,-1.1464,-1.8699,-0.1464,70,0.658,12,9.122,-2.1897,-12.0751,-1.2019,1.6363,-1.0756,39,82279.621,1591095,-0.5939,4.1307,-5.4044,-1.9991,-2.1155,-2.0941,47
0.511,9,-2.2681,-7.8156,-16.7023,2.2294,-0.662,2.181,75,0.118,2,7.8748,3.6421,-10.3202,-0.1546,0.0918,-0.0707,77,0.511,9,10.7064,-2.0975,-14.1289,-1.4589,-1.5646,-0.282,70,0.709,13,8.6137,-1.6664,-11.6755,-0.9658,1.3222,-0.7895,39,82279.673,1591096,-1.0377,2.6533,-3.6553,-2.1369,-2.2071,-2.2045,47
0.563,10,-1.9854,-6.0355,-18.0913,2.3015,-1.1504,2.2684,75,0.17,3,7.8565,3.863,-10.4333,-0.1693,0.0777,-0.1998,77,0.563,10,9.6491,-0.2081,-12.6388,-0.3882,-0.8487,0.035,70,0.761,14,8.0261,-1.4312,-11.5463,-0.826,0.9401,-0.502,39,82279.725,1591097,-1.1812,2.3379,-3.4326,-2.2375,-2.2739,-2.285,47
0.615,11,-1.9686,-1.5032,-17.8282,2.1073,-1.4937,2.3322,75,0.221,4,8.1147,4.1776,-10.5742,-0.2524,-0.0037,-0.2471,77,0.614,11,9.2576,1.286,-12.0973,0.1207,0.059,0.4328,70,0.813,15,7.6528,-1.0991,-11.9859,-0.5323,0.4454,-0.2134,39,82279.776,1591098,-0.4693,3.5078,-5.7325,-2.3109,-2.3227,-2.3437,47
0.666,12,-2.3748,-0.4207,-15.2845,1.3231,-1.7595,1.5645,75,0.273,5,8.1734,4.5174,-10.6685,-0.6475,-0.0718,-0.0875,77,0.666,12,10.0863,2.3049,-12.6115,-0.3768,0.7214,0.7362,70,0.865,16,9.1578,-1.7921,-10.3899,-0.2929,-0.1742,0.2682,39,82279.828,1591099,-1.2341,6.9917,-9.2891,-2.3645,-2.3583,-1.9863,47
0.718,13,-0.7522,-0.3892,-12.4253,1.1688,-1.9535,1.5041,75,0.325,6,8.5939,4.7099,-10.9611,-1.0061,-0.122,-0.0207,77,0.718,13,10.987,2.139,-14.0234,-0.4351,1.2049,1.0413,70,0.917,17,9.2599,-1.1302,-11.4369,-0.8909,-0.5852,0.5177,39,82279.88,1591100,-2.6114,8.5561,-12.1738,-1.6483,-2.2341,-2.0037,47
0.77,14,4.5086,-0.5737,-10.3499,0.2915,-2.0951,1.7744,75,0.377,7,9.22,4.6404,-12.4713,-1.1468,-0.1023,-0.318,77,0.77,14,11.6696,1.7378,-16.5658,0.134,1.5577,0.7193,70,0.968,18,8.6656,-1.2275,-11.8653,-0.1279,-0.9292,0.5499,39,82279.932,1591101,-1.5625,6.0002,-11.2284,-0.5755,-2.1935,-2.1385,47
0.822,15,6.0823,3.2297,-6.0826,-0.4646,-0.8778,1.5406,75,0.428,8,8.3047,4.2618,-13.087,-0.7982,0.2639,-0.9185,77,0.822,15,10.4772,0.9048,-19.4665,0.1271,1.6361,0.4915,70,1.02,19,8.943,-1.9509,-12.6842,-0.3316,-0.9288,0.6226,39,82279.983,1591102,-0.7646,4.1144,-10.5121,0.2157,-2.1517,-2.2368,47
0.874,16,5.7931,1.9892,-5.2906,-1.0165,0.0407,1.1941,75,0.48,9,6.7726,4.5784,-12.3905,-0.6355,0.2561,-1.2945,77,0.873,16,10.3424,0.9471,-18.4632,-0.5825,0.5208,0.358,70,1.072,20,9.3871,-1.2087,-12.7552,-0.2194,-0.9151,0.5765,39,82280.035,1591103,4.8004,-2.255,-5.1088,-0.0011,-1.7227,-1.2947,47
0.925,17,4.5424,3.5735,-5.2236,-1.0517,0.7122,0.5478,75,0.532,10,5.5903,4.723,-12.064,-0.993,-0.4443,-0.9555,77,0.925,17,10.7466,-1.8676,-17.3627,-0.0665,-0.2933,0.1668,70,1.124,21,9.4898,-1.564,-12.8488,0.037,-0.777,0.4847,39,82280.087,1591104,4.0118,-3.0517,-2.7818,-0.5106,-0.5686,-0.2693,47
