right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
0.754,14,0.6967,-2.7493,-10.2284,0.3204,-1.9179,-0.7759,73,0.026,0,7.1156,6.3688,-7.0589,-0.7203,-0.6613,1.8779,88,0.568,10,8.7803,-1.4283,-10.1657,0.2209,-0.1483,-0.9993,70,0.371,7,7.222,-2.568,-13.1573,-0.3842,-0.3417,0.5289,40,80423.868,1555215,-3.7925,3.9367,-13.5618,-1.3717,-1.5445,0.8427,47
0.805,15,5.5651,-4.8714,-4.874,0.7886,-0.7173,-0.6197,73,0.078,1,8.472,6.9294,-7.583,0.1047,-0.5942,2.0359,88,0.619,11,8.9268,-1.6214,-10.4819,0.6975,0.5701,-1.0419,70,0.423,8,7.4007,-2.7066,-13.2139,-0.4119,-0.3679,0.5025,40,80423.92,1555216,-4.0448,3.3148,-10.9362,-1.679,-0.9839,-0.061,47
0.857,16,6.0109,-4.6284,-2.5256,-0.0965,0.0864,-0.2518,73,0.13,2,8.8534,6.6519,-8.1862,0.7481,-0.7046,2.1513,88,0.671,12,9.7636,-2.42,-11.3281,1.1812,1.0945,-1.0449,70,0.474,9,7.583,-2.7251,-13.1529,-0.423,-0.4437,0.5142,40,80423.971,1555217,-4.1886,2.8375,-9.7015,-1.9033,-0.6394,-0.7206,47
0.909,17,4.9241,-5.6013,-2.7592,-0.6055,0.7455,0.3408,73,0.181,3,9.0975,6.3228,-8.6714,1.2177,-0.9043,2.2355,88,0.723,13,9.4639,-3.5371,-14.7135,1.5386,1.4771,-0.9092,70,0.526,10,7.4669,-3.0013,-12.9146,-0.4648,-0.762,0.631,40,80424.023,1555218,-4.275,2.4294,-8.7872,-2.067,-0.449,-1.202,47
0.961,18,2.9898,-5.7802,-3.6012,-0.1492,1.0535,0.8738,73,0.233,4,8.684,5.9531,-9.2489,1.533,-1.1735,2.2969,88,0.775,14,8.1109,-7.4199,-18.7434,1.1399,1.0978,-0.2283,70,0.578,11,10.2019,-4.169,-13.3799,-0.6173,-1.2229,0.6564,40,80424.075,1555219,-4.3313,2.0869,-8.1283,-2.1864,-0.3609,-1.5533,47
1.013,19,1.1758,-5.3911,-3.5638,0.0823,1.3631,1.3143,73,0.285,5,8.2929,5.2604,-9.5418,1.2374,-1.4837,2.2994,88,0.827,15,7.6806,-4.0857,-18.8379,0.3174,0.2406,0.0408,70,0.63,12,12.5631,-4.4371,-13.7143,-0.1919,-1.5593,0.6603,40,80424.127,1555220,-4.3562,1.7763,-7.6597,-2.2736,-0.3573,-1.8097,47
1.064,20,-2.0139,-6.1737,-3.4758,0.0707,1.6773,1.6359,73,0.337,6,8.1745,4.4852,-9.4187,0.4871,-1.6114,2.0315,88,0.878,16,8.4358,-2.2428,-17.0959,0.8062,-0.1605,0.1814,70,0.681,13,10.3473,-3.8241,-11.4728,0.4698,-1.5767,0.1514,40,80424.178,1555221,-4.3746,1.5109,-7.3386,-2.3373,-0.4052,-1.9969,47
1.116,21,-3.6271,-6.4608,-3.8598,0.5844,1.4301,1.8706,73,0.389,7,7.8893,2.8963,-9.1836,-0.0696,-1.3316,1.3954,88,0.93,17,8.3376,-2.4113,-15.7046,0.7336,-0.3676,0.1707,70,0.733,14,8.268,-3.9972,-9.0477,0.6809,-0.8139,-0.5143,40,80424.23,1555222,-6.0897,6.4338,-2.7926,-2.3495,-0.3886,-2.1335,47
1.168,22,-3.701,-5.7223,-6.4296,1.0257,0.9484,2.0419,73,0.441,8,8.5226,1.0531,-10.071,0.4663,-1.0426,0.4575,88,0.982,18,8.513,-1.819,-14.2882,0.6111,-0.5156,0.2447,70,0.785,15,7.5537,-5.1804,-8.2865,0.832,0.0909,-1.0468,40,80424.282,1555223,-6.9813,9.3952,-0.2279,-2.0788,-0.3825,-2.2332,47
1.22,23,-1.3056,-2.38,-4.3246,1.3541,0.0262,1.5094,73,0.492,9,9.0175,1.0688,-10.0379,1.012,-0.6199,-0.3109,88,1.034,19,8.9777,-1.4692,-13.5694,0.6582,-0.7552,0.2178,70,0.837,16,7.6795,-6.8767,-9.3138,1.2819,0.7513,-1.4354,40,80424.334,1555224,-1.5579,10.8044,-1.3776,-1.6737,-0.5565,-1.8405,47
1.272,24,-1.4681,-0.7876,-5.0349,1.4805,-0.3185,0.7784,73,0.544,10,10.0435,0.5298,-9.14,1.1849,-0.152,-0.778,88,1.086,20,9.1105,-1.7857,-12.7104,0.4423,-1.0537,0.2094,70,0.889,17,7.4667,-8.2369,-14.5345,1.6103,1.2122,-1.719,40,80424.386,1555225,-1.0418,7.9412,-3.5392,-0.9397,-1.0693,-1.0372,47
1.323,25,0.3555,-1.0183,-6.5301,1.0499,-0.9018,-0.1067,73,0.596,11,10.3693,-0.724,-9.3609,1.5365,0.3999,-1.1399,88,1.137,21,10.6258,-2.2655,-11.8573,-0.0785,-1.4425,0.1357,70,0.94,18,4.3515,-9.3267,-18.5891,0.7496,0.6693,-0.9042,40,80424.437,1555226,-0.6573,5.8362,-5.1312,-0.4051,-1.4435,-0.4466,47
