right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.501,9,9.5559,-0.4031,-7.6016,-0.7943,-0.1544,0.1271,88,0.021,0,-10.3462,0.4089,-7.5425,-0.1636,0.3891,0.0707,52
0.553,10,9.1729,-0.4095,-8.0843,-0.8205,-0.0154,0.2153,88,0.072,1,-10.3624,0.4213,-7.7647,-0.1121,0.4379,-0.0019,52
0.605,11,8.1335,-0.112,-8.9942,-0.7084,0.0654,0.3364,88,0.124,2,-10.4954,0.6001,-8.048,-0.0981,0.4912,-0.0772,52
0.657,12,9.3696,1.4825,-14.5693,-0.6686,-0.4616,0.0793,88,0.176,3,-10.4245,0.4463,-8.1416,-0.0318,0.5604,-0.2223,52
0.709,13,10.3923,0.9352,-16.322,-0.3258,-0.853,0.0916,88,0.228,4,-10.3775,0.6997,-8.8502,0.1408,0.6539,-0.4315,52
0.76,14,11.2584,-0.9621,-15.6823,-0.3492,-0.9294,0.2618,88,0.28,5,-10.4073,-0.1809,-9.1072,0.0789,0.6798,-0.4811,52
0.812,15,11.5089,-1.5519,-14.6004,-0.2262,-0.7175,0.0289,88,0.331,6,-10.4034,-0.3547,-9.2794,0.1892,0.7007,-0.4992,52
0.864,16,13.6654,-0.3622,-8.9999,0.0371,-0.8496,-0.1111,88,0.383,7,-10.5381,-0.7563,-9.5823,0.0923,0.786,-0.4606,52
0.916,17,13.1834,-2.2002,-5.259,0.154,-1.2934,-0.3463,88,0.435,8,-10.6141,-0.2828,-9.2315,0.0886,0.9872,-0.5054,52
0.967,18,10.037,-3.5381,-1.2542,-0.1344,-0.2657,-0.1475,88,0.487,9,-13.2192,0.6832,-7.9043,0.3623,1.4055,-1.0403,52
