right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.249,4,6.8607,0.676,-13.1349,0.4065,0.1124,-0.3151,80,0.05,0,7.7274,-0.6166,-10.7705,0.442,0.0168,1.5773,52
0.301,5,10.273,-3.5989,-14.0256,-0.1738,-0.5411,0.3985,80,0.102,1,8.8202,-0.6766,-10.348,0.6447,-0.1712,0.5324,52
0.353,6,12.6173,-2.8512,-12.3706,-0.0176,-0.8766,0.2669,80,0.154,2,11.5547,-4.1223,-15.5336,1.0136,-0.7917,1.0643,52
0.405,7,14.101,-1.995,-14.4104,0.1258,-0.8953,-0.1273,80,0.206,3,13.5504,-0.268,-17.6453,1.4144,-0.6719,1.4571,52
0.457,8,15.5573,1.7366,-10.1974,-0.0545,-0.6791,0.1939,80,0.258,4,11.987,1.4175,-14.1214,1.5859,-1.0763,1.7438,52
0.508,9,12.2287,0.9173,-9.1337,0.2326,-0.8499,-0.1493,80,0.31,5,8.0622,1.6388,-11.6759,0.8599,-0.1005,1.9531,52
0.56,10,10.5895,1.8535,-6.7658,-0.4023,0.0581,0.4439,80,0.361,6,0.4115,6.4787,-8.3166,1.1071,0.3878,2.1058,52
0.612,11,7.4952,0.6768,-9.9219,-0.0479,0.7208,0.7248,80,0.413,7,0.4865,5.7489,-10.1238,1.4827,-0.1429,2.2172,52
0.664,12,5.3425,-4.3489,-15.2463,0.542,0.6852,0.0799,80,0.465,8,0.3258,3.7227,-9.1375,1.4407,0.1901,0.9468,52
0.716,13,7.4718,-1.6957,-15.0299,1.0649,-0.1733,0.1673,80,0.517,9,0.1572,-0.2349,-10.6806,0.7473,0.4747,0.0196,52
0.767,14,9.5388,-2.2339,-15.1908,0.4239,-0.205,-0.1305,80,0.568,10,0.0757,-1.1912,-8.7491,0.0853,0.0057,-0.6571,52
0.819,15,11.2299,-2.1507,-10.1787,0.1398,-0.6199,-0.3635,80,0.62,11,4.6284,-4.8683,-14.3667,-0.4358,-0.6627,-1.151,52
0.871,16,10.1031,0.7483,-10.2214,0.6184,-1.1227,-0.732,80,0.672,12,2.9841,-5.3716,-11.5155,-0.5516,0.2013,-1.5114,52
0.922,17,5.5211,0.6091,-7.603,-0.0662,-0.1411,-0.5226,80,0.724,13,7.2953,-3.9076,-12.7938,-0.8161,-0.5199,-0.8078,52
0.974,18,4.0923,-0.218,-10.8897,0.6282,0.5754,0.2941,80,0.776,14,8.5421,-1.8455,-12.9261,-0.689,-0.396,0.0821,52
1.026,19,8.2311,-1.9786,-5.3637,0.1013,-0.2423,-0.084,80,0.828,15,5.6965,-2.4244,-12.5817,-1.1533,0.3959,-0.5192,52
