right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.039,0,-5.0333,0.1125,-7.3933,-1.3522,-1.827,-0.4699,97,0.407,7,-2.7013,-2.8669,1.7476,0.2708,0.4434,0.5913,64
0.091,1,-4.7804,0.6772,-5.8024,-1.2164,-1.9392,-0.5323,97,0.459,8,-5.7349,-1.0688,1.249,0.5783,1.0345,0.5014,64
0.143,2,-3.4539,0.7329,-5.9251,-1.4666,-2.021,-0.6349,97,0.511,9,-9.0032,4.2225,-4.7757,0.8393,0.4499,0.4537,64
0.194,3,-5.8348,0.417,-5.6639,-0.9138,-1.4138,-0.9554,97,0.563,10,-5.652,-2.2209,-5.5148,1.2396,0.794,0.2276,64
0.246,4,-10.9766,3.5801,-6.3136,-0.6069,-0.2859,-0.5777,97,0.614,11,-3.3821,-0.1021,-5.8971,1.2042,0.378,0.4362,64
0.298,5,-13.1459,2.977,-9.2601,-0.7851,0.5337,0.0407,97,0.666,12,0.2794,-1.4903,-3.5899,1.0434,0.2368,0.4623,64
0.35,6,-14.4673,1.8373,-10.7253,0.0533,0.4369,-0.0964,97,0.718,13,1.9534,0.1217,-3.1873,1.331,-0.2932,0.1237,64
0.402,7,-14.5332,4.0782,-9.2726,0.0811,-0.2534,-0.2976,97,0.77,14,-2.8468,-2.9032,-7.1027,1.1008,0.3845,0.2411,64
0.454,8,-12.9725,3.1294,-7.1735,0.4476,-0.7856,-0.7237,97,0.821,15,-1.9011,1.1813,-8.8123,0.1655,0.9915,0.7375,64
0.505,9,-10.5995,-0.8358,-6.5924,-0.3266,-1.1058,-0.2077,97,0.873,16,-4.6088,6.1484,-12.1189,0.3227,0.0926,-0.0015,64
0.557,10,-10.9157,-0.4964,-6.5581,0.3152,-0.2219,-0.053,97,0.925,17,-4.6273,7.178,-11.2856,0.6701,-0.4857,-0.2031,64
0.609,11,-12.7462,0.8969,-9.505,0.1741,0.5841,0.4319,97,0.977,18,-2.4659,7.5352,-9.996,0.4989,-0.5774,0.1184,64
0.661,12,-15.7796,4.4525,-12.3276,0.2384,1.1723,0.8325,97,1.029,19,0.9481,4.701,-6.1508,0.257,-0.3471,0.4975,64
0.713,13,-18.4183,4.1035,-13.58,0.504,0.6297,0.625,97,1.08,20,-0.6377,4.5438,-6.4686,0.4963,-0.2222,0.4993,64
0.764,14,-18.0744,5.136,-12.0842,0.3396,-0.1462,0.5079,97,1.132,21,-4.7618,2.9318,-6.3641,0.9593,0.5247,0.4259,64
0.816,15,-13.3685,4.5926,-10.5999,-0.0388,-0.7124,0.4232,97,1.184,22,-3.8076,2.0646,-8.7566,0.0857,1.0938,0.4265,64
0.868,16,-8.3747,2.805,-8.8012,-0.3034,-1.1257,0.2851,97,1.236,23,-5.5551,2.95,-12.0428,0.3105,0.7922,0.6259,64
0.92,17,-10.7863,2.8062,-8.1468,0.2431,-0.1679,0.0773,97,1.287,24,-2.7047,-2.0457,-12.5004,-0.4112,0.9526,0.2795,64
0.972,18,-14.6097,5.0442,-7.74,0.3942,0.6234,0.2058,97,1.339,25,0.7601,-2.2724,-12.5809,0.2741,0.6778,0.3518,64
1.023,19,-14.955,6.3494,-11.0395,-0.0707,1.201,0.6154,97,1.391,26,3.3026,-2.3668,-10.3529,-0.1579,0.315,0.835,64
1.075,20,-15.8834,6.8513,-13.4369,-0.0731,1.3622,0.7862,97,1.443,27,1.3622,-1.5553,-3.8451,0.5987,0.1059,0.6642,64
1.127,21,-15.8031,8.0357,-12.0506,-0.4842,0.6514,0.3836,97,1.495,28,1.3678,-3.7648,1.8082,-0.0643,-0.0212,0.5112,64
1.179,22,-14.3864,6.7306,-9.9761,-0.5769,-0.1303,-0.2873,97,1.546,29,-3.2741,-2.2521,1.5899,0.2619,0.6954,0.8218,64
1.231,23,-10.8265,5.0882,-8.1989,-0.6199,-0.7009,-0.9046,97,1.598,30,-2.8256,1.4096,-4.5269,0.0554,1.2184,0.734,64
1.282,24,-5.4643,2.4963,-6.9592,-0.7425,-0.9125,-1.2122,97,1.65,31,0.6856,-4.2739,1.5977,-0.2604,0.2484,0.9008,64
1.334,25,-9.8288,3.3149,-6.3143,-0.245,0.08,-1.0813,97,1.702,32,3.2482,1.5355,1.8464,-0.2104,-0.4596,0.156,64
1.386,26,-13.5702,3.7377,-9.2616,-0.2582,0.8044,-0.6169,97,1.754,33,3.5792,1.5496,-1.806,0.4454,-0.9763,0.836,64
1.438,27,-12.0835,3.8079,-12.15,-0.2488,1.2763,0.0855,97,1.806,34,5.3601,-0.6138,1.5713,0.097,-1.2139,1.0359,64
1.49,28,-16.714,3.5893,-11.7809,0.4969,1.6297,-0.2223,97,1.857,35,6.6599,-0.752,4.2501,0.1931,-1.5268,0.6106,64
1.541,29,-17.7586,4.9881,-9.5721,0.0018,0.715,-0.0319,97,1.909,36,5.6805,-1.248,8.0036,0.7129,-0.5719,0.267,64
1.593,30,-15.8479,2.916,-8.023,0.2549,-0.0839,-0.2979,97,1.961,37,0.8329,3.5984,0.1541,-0.0813,0.2935,0.9493,64
1.645,31,-10.3427,3.7985,-8.3588,-0.0332,-0.667,-0.4479,97,2.013,38,-2.1561,2.7127,-5.5749,0.4991,0.7338,1.0173,64
1.697,32,-10.8451,2.4146,-9.3121,0.3752,0.2592,-0.3271,97,2.065,39,-9.4157,-0.6002,-9.7561,0.7403,0.6483,0.3531,64
1.749,33,-15.8102,6.977,-12.1754,0.2499,0.9352,0.0834,97,2.116,40,-8.8399,2.9647,-9.591,0.8913,0.0719,0.5427,64
1.801,34,-16.3446,7.934,-14.2766,0.0251,1.304,0.4868,97,2.168,41,-3.7039,2.0838,-6.7728,0.3401,-0.1472,1.0931,64
