right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.18,3,9.0467,1.3108,-11.4929,0.4069,-1.5678,-0.2501,86,0.072,1,7.2633,2.7234,-16.4231,0.1392,-0.2549,-0.3849,51
0.232,4,8.8382,1.6556,-12.2219,0.2394,-1.4678,-0.4924,86,0.124,2,10.4184,3.5546,-17.3228,0.4081,-0.4504,0.2499,51
0.284,5,8.7152,2.1098,-12.9197,0.2008,-1.2968,-0.3322,86,0.176,3,12.7211,2.7017,-13.8958,0.7094,0.1126,0.5365,51
0.335,6,9.6022,2.1558,-14.2122,0.4086,-0.8985,0.2207,86,0.228,4,14.4017,7.2639,-10.5607,0.748,-0.5846,-0.2799,51
0.387,7,12.2738,2.2889,-13.183,0.1107,0.0032,0.1799,86,0.279,5,13.1874,1.937,-9.9236,1.0045,-1.0934,-0.8757,51
0.439,8,10.3875,2.2267,-12.808,-0.4298,0.4081,0.2609,86,0.331,6,7.0809,1.274,-8.2223,0.0788,-1.2071,-0.9527,51
0.491,9,9.788,-1.549,-6.7638,-0.9889,0.301,0.8622,86,0.383,7,9.5223,-2.9634,-7.6302,-0.6196,-1.5478,-0.3492,51
0.543,10,5.7514,-1.0884,-6.5519,-1.397,0.898,1.1495,86,0.435,8,8.4894,-1.7254,-8.4068,0.1153,-1.7316,-0.1458,51
0.594,11,4.7406,-1.645,-9.4718,-0.4116,1.1817,0.9071,86,0.487,9,5.792,0.5861,-10.0692,-0.0616,-1.2085,0.4934,51
0.646,12,2.7187,-0.9746,-10.853,0.3761,1.2475,0.7191,86,0.538,10,5.0564,2.2051,-15.3301,0.1935,-1.4709,1.0404,51
0.698,13,6.4589,-0.4493,-12.6957,0.2734,1.0698,0.5313,86,0.59,11,3.3612,6.1235,-19.1698,0.6152,-0.3885,1.3989,51
0.75,14,7.8113,1.1523,-14.3805,0.4349,0.1085,0.5035,86,0.642,12,-0.0802,9.7613,-20.2656,0.7943,0.4014,1.3184,51
0.802,15,10.1424,0.6489,-15.1944,0.1741,0.594,0.3896,86,0.694,13,-5.5311,5.2175,-17.8176,0.2171,-0.085,0.2908,51
0.854,16,11.8559,1.3908,-9.9154,0.0765,-0.1309,0.7592,86,0.746,14,-4.8,2.9273,-14.4616,0.1517,-0.7288,0.0082,51
0.905,17,13.9187,-0.4288,-8.3295,-0.5114,-0.7689,0.9929,86,0.798,15,1.1643,2.3431,-14.0374,0.1801,-1.1987,-0.2081,51
0.957,18,11.5097,0.8938,-6.1839,-0.8709,-0.0362,1.1621,86,0.85,16,5.4205,2.1424,-15.3564,0.2967,-0.3087,-0.4808,51
1.009,19,7.5532,4.9405,-11.6393,0.0374,0.6519,1.4686,86,0.901,17,1.6079,3.7889,-19.1159,-0.0003,0.4596,0.3295,51
1.061,20,4.0327,5.0432,-16.4998,0.7038,0.8077,0.5795,86,0.953,18,0.7867,4.9641,-21.9328,0.2415,0.9257,0.9204,51
1.113,21,2.0088,-1.5563,-17.5996,0.261,-0.0839,0.9877,86,1.005,19,-0.539,8.9151,-22.8833,0.5716,0.1686,1.129,51
1.164,22,4.3777,0.2238,-17.6715,0.3358,-0.6918,0.9501,86,1.057,20,-1.9155,9.1542,-21.1953,0.4238,-0.1947,0.5684,51
1.216,23,8.4608,0.9467,-16.8603,0.176,0.1335,0.8239,86,1.109,21,-4.4652,7.3906,-17.0384,-0.2727,-0.5976,-0.023,51
1.268,24,10.8034,1.0419,-12.6256,-0.0876,-0.3297,1.0509,86,1.16,22,-3.5184,3.1803,-13.8625,-0.3261,-1.0908,-0.0982,51
1.32,25,11.4097,-0.4925,-11.4292,-0.6625,-0.9141,0.8869,86,1.212,23,0.2034,1.7564,-13.1358,-0.1481,-1.0231,0.0632,51
1.372,26,7.1407,-2.9934,-5.787,-1.1588,0.0112,0.9862,86,1.264,24,4.64,2.0862,-14.8072,0.1084,-0.347,-0.0339,51
1.423,27,4.1199,-0.0849,-7.4169,-0.2499,0.6866,1.3975,86,1.316,25,8.4747,5.7528,-18.1024,-0.0431,-0.3616,0.6099,51
1.475,28,2.495,1.2447,-13.4181,0.4941,1.0795,0.7549,86,1.368,26,8.7033,7.4073,-21.1931,0.0831,0.2317,0.5181,51
1.527,29,2.8732,-2.1457,-14.2195,0.0162,0.1145,0.2618,86,1.419,27,6.6296,7.1759,-21.5238,0.2863,0.1237,0.2018,51
1.579,30,5.812,0.2531,-14.7071,0.0613,-0.0929,0.2967,86,1.471,28,3.1554,5.2671,-16.0385,0.3081,0.4667,-0.0428,51
1.63,31,9.5076,-0.9998,-13.1421,-0.3099,-0.0678,0.4112,86,1.523,29,-1.8807,1.9704,-12.6415,0.3069,0.9444,0.1441,51
1.682,32,11.825,-2.1756,-8.0569,-0.9014,-0.7229,0.1345,86,1.574,30,-3.5864,2.6829,-14.3916,0.296,0.3275,0.4411,51
1.734,33,13.8962,-5.8861,-8.6374,-1.3138,-0.9551,0.3179,86,1.626,31,2.4998,2.3962,-14.9427,0.4485,-0.3172,0.4085,51
1.786,34,11.1015,-9.0291,-4.9132,-1.2308,-0.0187,0.9098,86,1.678,32,3.6036,3.0688,-16.0178,0.5,0.1793,-0.0619,51
1.838,35,8.9051,-1.245,-11.5725,-0.2217,0.6647,1.3417,86,1.73,33,-1.3257,4.0744,-19.6717,-0.0086,0.6982,0.4705,51
1.89,36,11.7651,4.4432,-5.8621,-0.4992,0.8256,0.4538,86,1.782,34,4.1497,4.2434,-15.5053,0.5852,-0.1572,-0.3109,51
1.941,37,13.8524,7.5157,-10.3228,0.31,-0.0358,0.4203,86,1.833,35,4.6161,4.98,-17.5267,0.4929,-0.6634,-0.4578,51
1.993,38,12.9668,7.0395,-12.3391,0.1818,-0.273,0.6759,86,1.885,36,1.5827,4.9533,-15.7776,0.5246,-0.9577,-0.8713,51
2.045,39,14.7295,5.6653,-11.7335,-0.3854,0.1252,0.5934,86,1.937,37,-0.9011,2.7503,-13.4492,-0.006,-1.162,-1.0607,51
2.097,40,16.016,3.9147,-7.8035,-0.9443,-0.582,0.3481,86,1.989,38,-1.4614,0.8637,-11.8716,-0.2743,-1.5149,-0.9422,51
2.149,41,14.1912,1.1529,-11.969,-1.3644,-1.0982,-0.2172,86,2.041,39,2.2556,0.0401,-11.1583,-0.2914,-1.2307,-0.6689,51
2.2,42,11.4208,-2.162,-8.7933,-1.5361,-0.1231,0.4142,86,2.092,40,5.944,0.5633,-11.6331,-0.2041,-0.4725,-0.8208,51
2.252,43,6.4514,-0.8949,-7.3658,-0.6709,0.5885,0.98,86,2.144,41,9.4555,3.209,-14.5987,-0.2978,0.3401,-0.0658,51
2.304,44,5.7241,-0.0349,-13.3808,0.1869,1.0891,0.6685,86,2.196,42,9.5064,5.5679,-18.6359,-0.3696,0.9332,0.073,51
