right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.072,1,0.9122,4.9162,-14.6612,0.768,-0.2048,-0.1526,88,0.111,2,-0.4272,6.7708,-19.8032,1.2444,-0.1548,0.0339,52
0.124,2,3.7684,3.856,-14.5965,0.8962,-0.76,-0.7291,88,0.163,3,3.2172,5.5444,-13.9136,1.5829,-0.1139,-0.1486,52
0.176,3,7.2838,2.9776,-14.2217,0.0412,-1.2281,-0.9209,88,0.215,4,4.7807,4.0324,-9.5574,0.8249,-0.3798,-0.0498,52
0.227,4,7.6906,3.821,-15.6587,0.0641,-0.2179,-0.5097,88,0.266,5,5.4218,2.0902,-7.2162,1.2129,0.4078,-0.7078,52
0.279,5,6.966,5.4969,-19.4333,-0.1697,0.5193,0.3058,88,0.318,6,4.4291,1.2242,-13.2479,0.2082,0.9826,-0.7106,52
0.331,6,2.2375,7.3244,-19.5748,-0.5096,0.9942,0.7342,88,0.37,7,0.7214,0.0238,-17.6501,-0.36,0.0503,-0.1797,52
0.383,7,-1.5231,7.0447,-18.4858,0.3046,0.7838,0.2102,88,0.422,8,1.8101,-5.2794,-15.6257,0.074,0.7217,-0.2289,52
0.435,8,0.6341,6.3941,-18.1977,0.5752,0.3529,-0.4125,88,0.474,9,4.209,-5.2881,-18.1659,0.6247,0.6552,-0.5498,52
0.486,9,1.5897,4.812,-17.6373,0.4421,-0.3278,-0.9494,88,0.525,10,8.1892,-6.1459,-16.7361,0.4342,0.6811,-0.5748,52
0.538,10,6.426,2.4836,-16.6624,0.4559,-0.9126,-1.2039,88,0.577,11,9.6072,-2.9295,-12.1694,0.727,0.6539,-0.5847,52
0.59,11,9.7715,-0.0771,-16.1932,0.9071,-0.2642,-1.1218,88,0.629,12,12.129,-0.5099,-6.274,0.6939,0.0906,-0.323,52
0.642,12,8.1384,1.8554,-19.7747,1.0759,0.4856,-0.1845,88,0.681,13,10.4126,1.1049,-5.0509,0.7119,0.7511,-0.8014,52
0.694,13,6.5381,4.1305,-22.4374,0.1513,1.0215,0.4137,88,0.733,14,8.6416,0.2738,-9.084,-0.1575,1.2331,-0.8369,52
0.745,14,1.3953,4.1938,-21.404,0.1819,0.8751,0.246,88,0.784,15,3.0853,-1.0868,-14.6111,-0.792,0.3418,-0.1769,52
0.797,15,-0.1303,4.2149,-19.1618,0.2575,0.4625,-0.058,88,0.836,16,7.3691,-6.09,-18.4816,-0.9688,-0.4173,0.2133,52
0.849,16,0.9973,3.3134,-17.5746,0.5337,0.1072,-0.3466,88,0.888,17,10.4956,-3.7701,-20.5544,-0.8445,-0.1564,0.0745,52
0.901,17,2.5691,2.3367,-16.4243,0.461,-0.3044,-0.5605,88,0.94,18,12.2195,-3.1445,-16.3732,-1.0656,0.2538,0.0282,52
0.953,18,6.2203,1.509,-15.3251,-0.1449,-0.8577,-0.519,88,0.991,19,9.7845,0.1887,-13.2343,-0.103,0.0534,-0.0453,52
1.004,19,8.227,1.1856,-15.9758,-0.5155,-0.2742,-0.0342,88,1.043,20,10.3739,2.727,-7.6599,-0.2232,0.7239,-0.4081,52
1.056,20,10.2241,3.1296,-17.6764,-0.4645,0.4783,0.6528,88,1.095,21,9.3831,1.2841,-7.9663,0.2794,1.2133,-0.9411,52
1.108,21,9.5828,5.5208,-20.5067,-0.5753,1.0274,1.1542,88,1.147,22,6.1355,-0.847,-13.1822,-0.1323,1.5705,-0.8904,52
1.16,22,5.6893,6.2644,-21.6477,-0.8301,0.9573,0.9901,88,1.199,23,1.2425,4.155,-7.0132,0.2787,0.6392,-0.9834,52
1.212,23,4.2414,4.9524,-19.7224,-0.6725,0.5352,0.1894,88,1.25,24,-1.9804,8.3247,-13.0997,0.7224,-0.1182,-0.0815,52
1.263,24,4.5166,4.3999,-17.398,0.1832,0.0106,-0.4619,88,1.302,25,3.6719,6.9003,-13.4154,1.0926,-0.3566,-0.0708,52
1.315,25,6.2827,3.987,-14.8504,0.3968,-0.5815,-0.9248,88,1.354,26,7.7512,7.5137,-9.2317,1.4721,-0.2207,-0.1422,52
1.367,26,9.12,2.9607,-14.148,-0.321,-1.0978,-1.0842,88,1.406,27,7.8501,7.1304,-8.4972,0.9412,-0.64,0.2159,52
1.419,27,11.9219,2.3668,-16.5957,-0.6854,-0.3661,-0.4049,88,1.458,28,5.2815,4.0101,-6.9956,0.7359,0.2179,-0.373,52
1.471,28,12.611,4.5175,-18.7982,-0.9956,0.0846,0.3818,88,1.509,29,4.737,0.6467,-11.6038,-0.0818,0.844,-0.7948,52
1.522,29,7.8485,4.2863,-18.5229,-1.334,0.1398,0.1829,88,1.561,30,-1.4374,-2.7155,-16.4502,-0.2078,0.3299,-0.349,52
1.574,30,4.0208,3.3749,-17.8282,-0.3217,0.0619,-0.3744,88,1.613,31,0.9697,-6.8375,-19.9102,-0.8287,0.5878,0.2688,52
1.626,31,4.6386,3.1544,-16.8861,0.41,-0.1458,-0.7717,88,1.665,32,4.2949,-5.6866,-20.2051,0.0388,0.3953,0.1965,52
1.678,32,5.2993,3.1499,-15.5319,0.8261,-0.632,-0.913,88,1.717,33,8.2519,-4.8364,-15.4755,-0.2475,0.2756,0.0788,52
1.73,33,7.6524,2.6731,-14.1268,0.3495,-1.1347,-0.9031,88,1.768,34,8.6886,1.3371,-10.7859,0.4166,-0.4657,0.595,52
1.781,34,8.1282,2.587,-13.7339,-0.0534,-0.1695,-0.4588,88,1.82,35,7.2747,2.0526,-5.6979,0.7787,0.3451,-0.2064,52
1.833,35,8.9611,4.4504,-15.7671,0.3994,0.5546,0.3429,88,1.872,36,8.2655,-2.1611,-11.4966,1.1191,0.9368,-0.8221,52
1.885,36,7.5673,7.5035,-19.1357,-0.3447,0.6981,0.928,88,1.924,37,0.5599,-5.3716,-16.3719,0.9814,1.2538,-0.1139,52
1.937,37,2.0464,7.5339,-18.8988,-0.1297,0.3849,0.7683,88,1.976,38,-3.8338,-7.5467,-17.4119,0.0392,0.9148,0.5972,52
1.989,38,2.0219,7.0066,-16.6372,0.4613,-0.006,-0.0636,88,2.027,39,2.3192,-9.5758,-18.507,0.3377,0.6769,0.6726,52
2.04,39,4.4225,5.5899,-14.9302,1.0132,-0.4619,-0.6897,88,2.079,40,4.4026,-4.9357,-14.3815,0.2817,0.3793,0.7067,52
2.092,40,8.0651,4.9522,-14.3766,0.3419,-1.0105,-0.9996,88,2.131,41,8.3291,1.1668,-7.8885,-0.4715,-0.2443,1.0783,52
2.144,41,8.5609,3.0127,-15.3169,0.2619,-0.2809,-0.9698,88,2.183,42,7.3244,-1.4114,-5.7127,-0.2063,0.5067,0.1704,52
2.196,42,8.2894,3.3823,-16.9842,-0.4438,0.4734,-0.0417,88,2.234,43,6.4573,-2.8747,-12.1506,-0.3219,1.0547,-0.5471,52
2.248,43,7.3458,4.6835,-18.7225,-0.9069,1.0238,0.6473,88,2.286,44,9.8301,3.194,-6.2603,0.1241,0.103,0.0506,52
2.299,44,3.9629,5.0599,-19.0163,-0.2363,1.0496,0.3646,88,2.338,45,7.0441,4.8939,-12.4631,-0.2972,-0.5662,0.2483,52
2.351,45,3.3623,4.7775,-18.5493,0.5041,0.7725,-0.2002,88,2.39,46,10.2584,4.9454,-11.6617,0.4188,-0.5216,0.1802,52
2.403,46,4.3777,4.2434,-16.8502,-0.0557,-0.0187,-0.3696,88,2.442,47,8.844,7.4113,-9.5737,0.9694,-0.8656,0.4654,52
2.455,47,8.4608,2.6289,-16.9793,-0.407,-0.687,-0.7208,88,2.493,48,8.5088,6.705,-4.9158,0.338,-0.3258,0.2815,52
2.507,48,10.3903,2.5524,-18.3257,-0.8973,-0.5615,-0.2843,88,2.545,49,8.5548,4.6901,-4.7277,0.6891,0.4472,-0.4425,52
2.558,49,10.3498,4.2619,-19.4638,-1.3301,-0.2758,0.4702,88,2.597,50,6.0085,1.3804,-11.4317,-0.1741,1.0114,-0.5619,52
2.61,50,5.6174,4.1977,-18.806,-1.001,-0.0046,0.5615,88,2.649,51,-1.0874,-1.652,-16.3246,-0.4753,0.4087,0.0407,52
2.662,51,3.0909,3.4492,-16.8558,-0.3839,-0.0112,-0.0469,88,2.701,52,-6.2662,4.0864,-19.8956,-0.0088,0.1833,0.5349,52
2.714,52,2.9757,3.5163,-15.915,0.3638,-0.1471,-0.4745,88,2.752,53,0.5439,4.1836,-19.2259,0.5766,-0.086,0.5803,52
2.766,53,2.94,3.8627,-15.307,0.3599,-0.6534,-0.7104,88,2.804,54,5.5143,1.9343,-15.949,0.8339,0.0427,0.1236,52
2.817,54,6.6632,4.0279,-16.5382,-0.2286,-1.1503,-1.0018,88,2.856,55,3.1439,3.4755,-13.7291,0.5827,-0.1189,0.1025,52
2.869,55,9.7568,3.9775,-18.1661,0.0781,-0.9596,-1.2884,88,2.908,56,3.7003,3.9675,-8.942,-0.2518,0.5974,-0.0225,52
2.921,56,8.7111,4.0709,-20.671,-0.1251,-0.1711,-0.4211,88,2.96,57,5.4916,2.4331,-10.7977,-0.5543,1.121,-0.1763,52
2.973,57,4.7832,4.6833,-21.8691,-0.2807,0.0466,0.3672,88,3.011,58,1.7374,2.1461,-15.0124,-1.0817,1.321,0.4486,52
3.025,58,2.5862,4.6735,-20.8152,-0.369,-0.2468,0.814,88,3.063,59,6.3853,6.8585,-8.349,-1.338,0.2973,0.0333,52
3.076,59,0.8074,4.4734,-18.9348,-0.3056,-0.5917,0.8859,88,3.115,60,-0.8124,1.7603,-12.6893,-0.8577,0.7689,-0.175,52
3.128,60,0.5497,2.8548,-17.3729,-0.4574,-1.0053,0.8095,88,3.167,61,2.6221,0.4726,-14.6247,-0.1927,0.6571,-0.3804,52
3.18,61,2.1235,1.8089,-16.0883,-0.486,-1.4071,0.665,88,3.219,62,5.7666,-2.1473,-14.303,-0.5498,0.8168,-0.1469,52
