right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.12,2,10.1046,0.0578,-14.1169,-0.4758,-1.3267,0.1881,86,0.002,0,8.4992,0.2227,-17.7145,-1.1548,0.0493,-0.6587,52
0.172,3,10.2322,-0.164,-14.4826,-0.6454,-1.5983,0.0126,86,0.054,1,9.9747,-0.804,-16.0525,-1.5199,-0.3497,-1.1522,52
0.223,4,11.1231,-0.5429,-15.648,-0.9249,-1.0867,-0.3241,86,0.106,2,12.3973,-5.8836,-17.5542,-1.7864,-0.3191,-1.5123,52
0.275,5,12.5622,-1.808,-15.2925,-1.1729,-1.1023,-0.3879,86,0.158,3,13.0557,-7.8641,-14.7411,-0.6291,0.1475,-0.4608,52
0.327,6,14.3523,-4.6751,-12.4058,-1.4734,-1.4779,-0.5613,86,0.209,4,4.056,-0.4474,-18.7399,-0.5683,-0.0999,-0.2267,52
0.379,7,15.7407,-1.1431,-17.0592,-1.7506,-1.752,-1.0449,86,0.261,5,-2.5123,1.3334,-19.8818,0.2599,0.6078,0.4001,52
0.43,8,13.7813,-2.5049,-17.9632,-0.6662,-1.9521,-1.2848,86,0.313,6,1.2406,-0.0524,-18.7714,0.5511,0.492,0.6855,52
0.482,9,5.9684,1.4369,-19.1085,-0.3062,-0.7464,-0.6797,86,0.365,7,6.0228,-0.8467,-19.0737,0.4603,0.4013,0.479,52
0.534,10,0.9266,4.0307,-18.4945,0.453,0.0954,-0.179,86,0.417,8,7.9617,4.4885,-18.1213,1.0106,0.5907,0.4058,52
0.586,11,1.1454,6.7101,-17.2097,0.0531,-0.055,0.4213,86,0.468,9,4.2283,2.5331,-19.5765,0.3535,0.5932,0.9695,52
