right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.408,7,12.9735,1.0955,-19.4477,0.7768,-0.7942,-1.8369,77,0.066,1,10.2638,-1.1585,-21.4051,-0.0467,-1.3259,-0.5645,51
0.46,8,13.2586,2.7942,-18.966,1.2435,-1.253,-1.3436,77,0.118,2,12.6082,-1.1174,-15.8059,-0.1687,-1.5228,-0.0242,51
0.512,9,10.0943,-0.0284,-18.086,0.2323,-1.5216,-0.9101,77,0.169,3,13.1204,-1.1453,-8.9281,-0.0201,-1.2739,0.0836,51
0.563,10,3.6101,-0.3407,-16.2562,0.8461,-1.1996,-1.1462,77,0.221,4,11.367,0.2321,-5.7761,0.6292,-0.2448,-0.6104,51
0.615,11,0.3709,0.1176,-13.7699,1.2941,-1.0997,-1.1223,77,0.273,5,8.799,-2.5478,-12.1968,0.2749,0.5063,-0.4878,51
0.667,12,1.2583,0.0685,-13.083,0.8116,-1.2824,-1.1612,77,0.325,6,6.0069,-2.4981,-12.8366,-0.1305,0.3456,-0.1092,51
0.719,13,5.7174,0.7157,-15.2599,0.1105,-1.1628,-1.2011,77,0.377,7,9.0041,-2.5361,-17.3349,-0.541,-0.4109,-0.0853,51
0.77,14,6.7046,0.1785,-18.8762,0.609,-0.1703,-1.1062,77,0.428,8,11.6889,-2.8247,-15.5843,-0.1922,-0.9153,-0.5177,51
0.822,15,5.9264,0.9151,-21.7816,0.3434,0.5541,-0.9339,77,0.48,9,13.0638,-0.0569,-8.9984,0.5344,-1.3272,-0.1039,51
0.874,16,3.1813,0.1595,-23.902,-0.1613,1.0625,-0.1894,77,0.532,10,14.6518,2.0239,-3.9597,0.365,-0.9504,-0.0384,51
0.926,17,-3.0023,-0.9469,-22.1682,-0.6059,0.1021,0.034,77,0.584,11,13.6089,2.7199,-2.1717,0.4402,-0.0087,-0.6994,51
0.978,18,-5.2847,-0.8113,-19.4757,-0.003,-0.5989,0.1648,77,0.636,12,10.0904,-3.3117,-9.5662,-0.3558,0.6786,-0.845,51
1.029,19,0.6679,-0.7564,-18.2033,0.386,-1.1105,0.0521,77,0.687,13,12.4817,0.1924,-4.3741,0.3918,0.8423,-0.8882,51
1.081,20,5.7532,2.2075,-18.2588,-0.2363,-1.0373,-0.3388,77,0.739,14,10.0916,0.3718,-10.9333,0.0628,-0.0496,-1.1764,51
1.133,21,7.2651,4.5568,-21.331,0.2886,-0.0787,-0.891,77,0.791,15,12.4826,-2.775,-14.4488,0.1864,0.1142,-1.4367,51
