right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.261,5,10.3975,-1.4878,-15.2038,-0.6623,-0.5373,-0.1639,88,0.002,0,10.0972,-0.4613,-16.7798,0.9891,-0.582,-0.822,52
0.313,6,11.9617,-1.388,-13.8716,-0.5368,-0.2515,-0.3447,88,0.054,1,9.5344,0.7684,-16.6283,1.1208,-0.8051,-1.0839,52
0.364,7,12.5856,-4.7219,-12.8602,-0.9521,-0.538,-0.7259,88,0.105,2,7.4709,0.8715,-15.6231,0.2105,-0.6953,-0.899,52
0.416,8,8.8783,-5.9348,-9.1824,-1.2405,-0.0861,-0.3642,88,0.157,3,5.2457,-0.6653,-14.3677,-0.2356,-0.484,-0.3555,52
0.468,9,4.7139,-4.4877,-8.4832,-1.0278,0.5434,0.4119,88,0.209,4,4.3791,-0.7437,-12.7889,-0.0061,-0.3347,0.2445,52
0.519,10,8.7062,-0.0282,-3.6946,-0.4677,-0.1157,-0.0998,88,0.261,5,6.311,-0.809,-11.8636,-0.5203,-0.2512,0.5888,52
0.571,11,7.5818,-0.5681,-10.7014,0.0943,-0.7578,0.297,88,0.313,6,9.7233,-0.5925,-13.7875,-0.0668,0.1664,0.7125,52
0.623,12,8.8456,0.0108,-12.9281,-0.3217,-0.5791,-0.1705,88,0.364,7,11.4376,-1.3443,-16.9759,0.0708,0.5696,0.3206,52
0.675,13,11.7216,0.0345,-11.5003,0.1671,-0.8382,-0.197,88,0.416,8,10.89,-1.1024,-20.3709,0.7263,0.0459,-0.4374,52
0.727,14,11.5692,-5.2119,-11.6025,-0.4537,-1.0261,-0.8067,88,0.468,9,5.9511,-0.5375,-19.95,1.1101,-0.6333,-0.9824,52
0.778,15,13.0732,-8.1123,-7.0241,-0.3545,-0.9688,-0.6018,88,0.52,10,0.6443,-0.889,-16.5679,0.6115,-1.129,-0.7452,52
0.83,16,6.6507,-7.0286,-6.8085,0.2216,-0.0287,0.2385,88,0.571,11,-1.068,-1.6248,-13.1699,-0.0696,-1.2542,-0.0184,52
0.882,17,6.267,-0.9898,-12.974,0.8383,0.5003,0.8299,88,0.623,12,3.3609,-1.5977,-10.615,-0.0867,-0.7504,0.6327,52
0.934,18,-0.7502,-5.9595,-17.4739,-0.0634,0.0297,0.1716,88,0.675,13,7.5702,-0.5073,-12.2749,-0.1872,-0.0178,0.6891,52
0.986,19,-2.0364,-4.0065,-17.4681,-0.0952,0.7,-0.5299,88,0.727,14,10.6424,-1.2266,-15.5721,0.5238,0.6719,-0.1487,52
1.038,20,3.767,-3.1479,-17.2952,0.3855,0.6392,-0.6913,88,0.779,15,12.6418,-3.4618,-19.3464,0.6008,1.1754,-0.7799,52
1.09,21,8.0151,-4.26,-15.2812,-0.1198,0.3107,-1.003,88,0.83,16,9.6892,-4.2006,-20.8436,0.8749,1.0847,-0.9245,52
1.141,22,7.4409,-5.0875,-12.6209,0.5891,0.0958,-1.4016,88,0.882,17,1.599,-2.9522,-20.2594,0.7569,0.6851,-0.4404,52
1.193,23,3.6997,-5.9941,-9.2013,0.0111,0.7483,-0.3452,88,0.934,18,-2.5027,-2.3406,-17.4954,0.1442,0.3743,0.2436,52
1.245,24,6.0599,0.7297,-14.7185,0.6714,1.2245,0.4258,88,0.986,19,1.1218,-1.5406,-15.4277,-0.5718,0.639,0.8226,52
1.297,25,9.6886,5.8845,-8.1581,-0.0904,0.272,-0.2937,88,1.037,20,5.936,-1.809,-13.451,-1.0944,0.2412,0.7977,52
1.349,26,4.1886,6.0764,-13.959,0.6105,-0.4595,0.0916,88,1.089,21,9.4496,-1.8946,-13.638,-0.3648,0.1171,0.353,52
1.401,27,6.2642,3.9467,-15.6019,0.0712,-0.466,-0.2584,88,1.141,22,11.7258,-2.3025,-14.792,0.4085,0.6055,-0.3563,52
1.452,28,9.8376,0.6934,-12.9947,0.2536,-0.4072,-0.5933,88,1.193,23,9.1788,-3.1008,-17.4627,0.9006,1.0894,-0.6562,52
1.504,29,12.3075,-3.3926,-10.3948,0.492,-0.8615,-1.0741,88,1.245,24,3.7516,-2.6288,-19.551,0.7904,0.9912,-0.2302,52
1.556,30,8.8538,-5.9306,-6.6481,-0.179,0.0496,-0.1097,88,1.296,25,0.2914,-1.5399,-20.4591,0.0235,0.5211,0.5038,52
1.608,31,6.6546,-1.1527,-9.2728,-0.3072,0.7145,0.5977,88,1.348,26,1.2974,-0.1478,-18.2281,-0.6599,-0.0222,1.0454,52
1.66,32,1.118,4.5106,-14.7726,0.4523,1.1961,1.1128,88,1.4,27,5.9751,-1.7156,-13.8497,-1.0988,-0.4754,0.51,52
1.711,33,-4.5082,-1.945,-18.7866,0.2651,0.5499,0.1381,88,1.452,28,9.4782,-2.919,-10.8025,-0.1273,-0.8868,-0.2992,52
1.763,34,1.9755,-1.3786,-19.4557,-0.4805,0.6818,0.0761,88,1.504,29,12.0349,-2.3351,-11.0013,0.4811,0.0377,-0.5246,52
1.815,35,6.7075,-1.8712,-19.1991,0.2956,0.2448,-0.289,88,1.555,30,13.9009,-2.1534,-16.0104,0.5711,0.7125,-0.5322,52
1.867,36,10.1612,-6.2947,-13.914,-0.438,0.0243,-0.4212,88,1.607,31,10.6409,-1.2585,-19.4496,0.2852,0.4754,-0.2454,52
1.919,37,9.3357,-5.8283,-11.2153,0.3568,-0.1349,-0.9259,88,1.659,32,2.5724,0.0747,-18.5274,0.0676,0.0399,0.0955,52
1.97,38,5.1971,-6.2219,-7.5287,0.0482,0.5799,0.0001,88,1.711,33,-0.1406,0.3933,-16.5479,-0.3878,-0.1302,0.3241,52
