right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.36,6,9.6291,-0.1058,-11.254,0.0242,-0.0094,0.0154,75,0.04,0,8.8209,1.5859,-8.9762,0.0002,0.0018,0.0109,51
0.411,7,9.6205,-0.1253,-11.2211,0.0186,-0.0099,0.0157,75,0.092,1,8.8245,1.5957,-8.9802,-0.0007,0.0017,0.0056,51
0.463,8,9.6051,-0.1439,-11.2247,0.0119,-0.0193,0.0112,75,0.144,2,8.8213,1.59,-8.9674,0.0,-0.0008,0.0056,51
0.515,9,9.5985,-0.1252,-11.2665,0.0157,-0.0235,0.0102,75,0.196,3,8.8207,1.5882,-8.9652,0.0044,-0.0024,0.002,51
0.567,10,9.6049,-0.1466,-11.2787,0.0119,-0.0285,0.0077,75,0.247,4,8.8309,1.6211,-8.9587,0.0134,-0.0075,0.005,51
0.619,11,9.6133,-0.1047,-11.2692,0.005,-0.0263,0.0056,75,0.299,5,8.8342,1.5928,-8.967,0.0191,-0.0304,0.0247,51
0.67,12,9.5823,-0.0905,-11.2941,-0.0067,-0.0278,0.0058,75,0.351,6,8.8715,1.5844,-8.9371,0.0535,-0.031,0.0309,51
0.722,13,9.5548,-0.1308,-11.3553,0.0382,-0.039,0.0021,75,0.403,7,8.9438,1.5143,-8.9408,0.079,-0.0193,0.022,51
0.774,14,9.3907,-0.0584,-11.46,0.0311,-0.0467,-0.0123,75,0.455,8,8.9219,1.6968,-8.9975,0.131,-0.1084,0.0344,51
0.826,15,9.4602,-0.222,-11.5523,0.0392,-0.0634,-0.0169,75,0.507,9,9.0154,1.9828,-9.8805,0.5778,-0.145,0.0341,51
0.878,16,9.4247,-0.3887,-11.3511,0.0403,-0.1632,-0.0502,75,0.558,10,8.2329,2.7652,-9.3322,0.5677,-0.2942,-0.0937,51
0.929,17,9.401,-0.2607,-11.3093,0.0532,-0.415,-0.0852,75,0.61,11,7.9667,0.9652,-9.2157,0.2857,-0.2151,-0.0109,51
0.981,18,9.3691,-0.3138,-11.3284,0.0588,-0.7608,-0.0822,75,0.662,12,7.7317,1.9331,-9.6702,0.2571,-0.3354,0.5785,51
1.033,19,9.1951,-0.7927,-12.3317,0.0371,-0.9415,-0.1903,75,0.714,13,7.8203,1.5495,-9.6065,0.2977,-0.5637,0.888,51
1.085,20,8.1964,-0.0387,-12.8744,-0.0449,-1.0765,-0.3528,75,0.765,14,8.2634,1.1041,-10.1155,0.0475,-1.0782,0.9936,51
1.137,21,9.0234,0.8497,-13.5017,0.0184,-1.2275,-0.3332,75,0.817,15,8.6372,0.6059,-11.1403,-0.176,-1.4465,1.0507,51
1.188,22,9.0131,1.1752,-15.0503,-0.1551,-1.0719,-0.2309,75,0.869,16,8.856,0.1092,-12.124,-0.1904,-1.1267,0.8258,51
1.24,23,9.9033,1.3503,-16.4043,-0.399,-0.6205,-0.0225,75,0.921,17,11.5808,1.1109,-12.1037,0.5038,-1.2863,-0.0687,51
1.292,24,12.4936,2.18,-12.1409,-0.677,0.0708,0.0294,75,0.973,18,13.4239,3.4598,-13.8167,1.0424,-1.4605,0.1542,51
1.344,25,12.7852,0.6847,-12.5404,-0.35,-0.6217,-0.5311,75,1.024,19,12.6481,7.1361,-7.5506,1.4355,-1.1293,-0.3078,51
1.395,26,14.5969,-0.2751,-12.6721,0.4211,-1.1272,-0.7443,75,1.076,20,4.8245,8.3133,-8.4163,1.4684,-0.1423,-0.8372,51
1.447,27,11.1438,0.4054,-11.4799,0.8347,-1.496,-0.6771,75,1.128,21,4.4829,4.4896,-9.5869,0.9535,-0.7706,-1.2825,51
1.499,28,8.3169,-0.0192,-10.4842,0.3244,-1.7653,-0.3287,75,1.18,22,4.4124,0.4853,-10.1325,0.3634,0.1216,-1.2509,51
1.551,29,6.8052,0.5813,-10.5515,0.174,-1.9618,-0.0051,75,1.231,23,-2.2522,5.6464,-4.7874,0.8935,-0.0413,-0.2326,51
1.603,30,8.1998,0.3204,-12.2739,0.3986,-1.6593,-0.1677,75,1.283,24,2.6469,-1.0617,-10.1315,-0.0162,0.3169,-0.5033,51
1.655,31,7.1804,0.5295,-15.5425,0.0509,-0.5326,-0.463,75,1.335,25,3.8598,-1.3351,-11.4027,0.1101,0.071,-0.5621,51
