right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.209,4,8.6897,-2.6879,-13.0384,0.1714,-0.3508,-0.9868,90,0.013,0,9.1034,0.6788,-10.9538,-0.0886,0.0315,-0.1405,51
0.26,5,7.8728,-3.5403,-13.8761,0.4463,-0.4869,-0.3099,90,0.065,1,8.7792,1.3639,-10.6614,-0.035,0.0181,-0.0923,51
0.312,6,6.2783,-5.6617,-9.1607,-0.32,0.0599,-0.3061,90,0.117,2,8.73,1.5721,-10.2573,-0.0127,-0.1854,0.2471,51
0.364,7,6.0081,-4.3328,-10.1924,-0.5625,0.034,-0.3533,90,0.169,3,9.0382,2.1624,-10.1128,-0.0845,-0.6704,0.8568,51
0.416,8,7.5386,-2.8582,-10.9012,-0.4379,0.0443,-0.3469,90,0.221,4,10.2756,1.3012,-11.1414,0.2257,-1.0279,1.2592,51
0.468,9,6.6658,-2.3832,-12.1353,-0.4421,-0.0729,-0.6362,90,0.272,5,11.7762,-0.7008,-13.5643,0.1092,-1.417,1.5994,51
0.519,10,8.0979,-0.3915,-12.5302,-0.3771,-0.7068,-0.5128,90,0.324,6,13.7121,-2.3905,-15.707,0.4427,-1.701,1.8476,51
0.571,11,8.6437,0.6942,-13.6104,-0.3816,-0.6157,-0.2207,90,0.376,7,13.8348,-4.0805,-16.3344,0.3952,-1.9083,2.0288,51
0.623,12,10.9823,0.5298,-14.6824,-0.5142,0.1169,0.2425,90,0.428,8,11.6357,-4.6861,-15.9702,0.4032,-2.0543,1.6968,51
0.675,13,13.2811,-0.7959,-14.4897,-0.7191,-0.1563,0.6493,90,0.479,9,7.5536,-3.803,-14.3586,0.4284,-1.743,1.2463,51
0.726,14,9.9021,-1.4501,-15.2475,-1.1783,0.0544,0.3002,90,0.531,10,2.453,-2.3028,-11.9338,0.5848,-1.5171,0.9965,51
0.778,15,9.4185,-4.887,-9.7804,-1.1361,-0.4912,0.4509,90,0.583,11,-0.3477,-1.1006,-9.7457,0.2782,-1.5007,1.1317,51
0.83,16,7.4125,-3.1699,-9.5912,-0.3289,-0.2081,0.9594,90,0.635,12,-0.9785,-0.9198,-8.8566,0.0848,-1.4744,1.4221,51
0.882,17,5.0799,0.3561,-11.3337,0.4365,0.3704,0.6021,90,0.687,13,1.7176,-1.7475,-10.5562,0.0439,-1.0628,1.6039,51
0.934,18,8.9733,-4.9771,-5.6877,-0.017,-0.2391,1.0403,90,0.738,14,4.6513,-4.3472,-14.3995,0.0807,-0.1094,1.7217,51
0.985,19,11.8148,0.3122,-9.0947,0.2059,-0.3395,0.3817,90,0.79,15,6.229,-8.4201,-17.7934,-0.1322,0.5588,1.3576,51
1.037,20,13.8887,1.0501,-8.4696,-0.2094,-0.2861,0.6068,90,0.842,16,5.1906,-11.3745,-20.9676,-0.1905,1.0836,0.536,51
1.089,21,14.1709,-0.3076,-11.8164,-0.3487,-0.2478,0.6377,90,0.894,17,2.5869,-10.6519,-21.2286,0.5323,1.0001,-0.0195,51
1.141,22,13.8703,-2.6311,-11.5656,-0.924,-0.7993,0.0282,90,0.946,18,-3.0434,-7.3211,-19.3382,0.7087,0.5725,0.3598,51
1.193,23,9.5414,-6.2498,-9.975,-1.3496,-0.0772,0.1983,90,0.997,19,-4.2333,-4.3592,-15.6811,0.267,-0.249,0.9429,51
