right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.388,7,7.0742,-1.7509,-22.6811,-0.0798,0.5889,-0.1558,87,0.142,2,12.5588,0.1496,-6.3394,-0.1635,-0.7736,0.4934,52
0.44,8,-0.1611,-2.556,-19.7127,-0.2271,-0.1152,0.4152,87,0.193,3,13.9146,1.029,-2.019,-0.7943,-1.2314,0.628,52
0.492,9,-5.2144,-2.1225,-14.9728,-0.2719,-0.2095,0.8579,87,0.245,4,11.518,2.1791,0.0197,0.0949,-0.2138,-0.0185,52
0.544,10,0.3529,-0.3908,-13.4045,-0.5154,0.5255,0.0689,87,0.297,5,7.0021,-1.3754,-7.9668,-0.4165,0.529,-0.6138,52
0.595,11,5.5233,-4.7915,-15.865,0.2837,0.3527,-0.0951,87,0.349,6,10.138,-5.1105,-3.2068,-0.7536,-0.0713,-0.4726,52
0.647,12,9.2969,-1.1473,-14.9547,-0.2311,-0.416,0.5914,87,0.401,7,11.4725,-3.8154,-6.4147,-0.2866,-0.7168,-0.6862,52
0.699,13,7.5598,-2.0158,-16.8187,-0.0328,-0.1723,0.6006,87,0.452,8,12.9282,-2.2689,-8.903,-0.098,-0.5122,0.1777,52
0.751,14,2.5697,-1.301,-18.2034,-0.5572,0.5526,0.3813,87,0.504,9,14.3578,2.3369,-4.0162,-0.408,-1.0406,0.4489,52
0.803,15,-3.4487,-1.6229,-18.7268,-1.0819,0.9576,0.3367,87,0.556,10,15.5962,4.7885,-0.3235,-0.9749,-1.4263,0.5304,52
0.854,16,-5.3084,-1.2758,-17.5122,-0.6902,1.0236,0.2595,87,0.608,11,12.5392,3.7125,2.2972,-0.0368,-0.356,0.032,52
0.906,17,-1.9463,-0.6392,-16.4617,-0.5155,1.104,-0.0622,87,0.66,12,11.4877,1.2249,-6.3046,-0.7039,0.4252,-0.5574,52
0.958,18,3.8453,0.3748,-15.6952,0.3003,0.1366,-0.2374,87,0.711,13,13.5015,6.1862,-12.5826,-0.0723,0.2041,-0.9353,52
1.01,19,8.0722,1.2544,-15.2924,0.5337,-0.5737,-0.1572,87,0.763,14,11.4317,4.6264,-12.6463,0.2834,-0.5178,-0.8137,52
1.062,20,7.3539,0.1708,-18.9458,0.3701,0.1961,-0.1885,87,0.815,15,12.9676,4.4071,-13.2445,0.3293,-0.2969,-0.2169,52
1.113,21,5.2585,-0.1234,-21.434,-0.0418,0.6848,0.0221,87,0.867,16,14.5816,4.1397,-7.0586,-0.0879,-0.8835,-0.0759,52
1.165,22,-1.4863,-0.6469,-20.4521,-0.5114,0.4159,0.4124,87,0.919,17,15.0758,4.0452,-4.7042,-0.7412,-1.3116,0.1572,52
1.217,23,-6.3331,-0.128,-17.1692,-0.1778,0.1868,0.5685,87,0.97,18,11.6121,4.8478,-2.3633,0.1337,-0.2723,-0.2919,52
1.269,24,-4.1102,-0.0009,-15.0646,-0.2663,0.7785,0.2868,87,1.022,19,10.6099,3.2474,-7.5209,-0.2136,0.4862,-0.7501,52
1.321,25,2.266,-3.023,-15.8719,-0.8669,1.0328,-0.3932,87,1.074,20,7.2025,2.2477,-13.4703,-0.1932,0.5258,-0.7079,52
1.372,26,6.9195,0.3533,-14.6668,0.0439,0.0804,-0.0064,87,1.125,21,4.3004,1.0395,-17.7927,-0.1993,-0.2831,-0.1384,52
1.424,27,7.7627,-2.285,-15.6763,0.3611,-0.3804,0.1524,87,1.177,22,6.4919,2.492,-17.188,0.2674,-0.8699,0.2235,52
1.476,28,5.3912,-2.4931,-19.131,0.5108,0.4007,-0.4534,87,1.229,23,9.8554,0.3955,-14.5705,0.0318,-0.4696,0.5348,52
1.528,29,-1.1559,-3.7963,-20.7275,-0.2772,0.9708,-0.465,87,1.281,24,8.1526,0.7928,-11.9879,-0.364,-0.454,0.7704,52
1.58,30,-6.1678,-4.6822,-19.8285,-0.4229,0.5162,-0.2229,87,1.333,25,9.6193,-0.5214,-6.1416,-0.9427,-0.6606,0.4793,52
1.631,31,-7.5111,-3.7731,-17.522,-0.4166,0.1248,0.0869,87,1.384,26,8.3316,-0.2862,-3.764,-0.0134,0.2029,-0.2455,52
1.683,32,-4.547,-2.292,-15.5724,-0.5197,0.6168,-0.019,87,1.436,27,6.601,-2.2816,-7.9807,-0.5643,0.833,-0.8506,52
1.735,33,1.9471,-4.749,-17.1883,-0.8252,0.6914,-0.3795,87,1.488,28,4.3525,-2.9037,-13.8058,-0.2198,1.2406,-0.5808,52
1.787,34,6.6869,-8.703,-16.9739,0.0742,-0.1688,0.0257,87,1.54,29,-2.296,3.0393,-18.0573,0.3343,0.2386,-0.8008,52
1.838,35,6.5616,-5.0599,-17.8533,0.7307,-0.5256,-0.2102,87,1.591,30,3.4377,2.767,-17.3079,0.6228,-0.1793,0.095,52
1.89,36,3.868,-5.1037,-20.1597,0.5662,0.2947,-0.8119,87,1.643,31,7.1243,3.4742,-14.1316,0.109,-0.6119,0.2391,52
1.942,37,-2.5011,-5.888,-19.4391,-0.262,0.8935,-0.8437,87,1.695,32,5.9285,7.6078,-11.3195,-0.5332,-1.1134,0.5286,52
1.994,38,-7.1496,-6.1608,-17.5833,-0.4718,1.0227,-0.4711,87,1.747,33,5.5751,5.5954,-5.6538,0.1007,-0.5916,0.2939,52
2.046,39,-8.4329,-2.2466,-15.9252,-0.9602,0.5945,-0.4087,87,1.799,34,5.1054,4.6697,-5.0789,0.7482,0.2532,-0.3251,52
2.097,40,-6.123,-1.5824,-14.6816,-0.8648,0.8147,-0.3816,87,1.85,35,4.1461,1.4976,-9.3517,0.4044,0.8698,-0.7276,52
2.149,41,0.7969,-1.7982,-16.9105,-0.186,0.6712,-0.909,87,1.902,36,4.7693,6.3851,-14.8065,0.69,1.2263,-0.8518,52
2.202,42,5.8474,-1.0989,-16.9371,0.5408,-0.1836,-1.0461,87,1.954,37,8.5981,6.773,-15.1684,0.8243,0.2282,-0.8539,52
2.253,43,6.4094,-1.2709,-18.6405,-0.0117,-0.3394,-0.5151,87,2.006,38,11.3926,4.8594,-11.2716,0.7966,0.12,0.015,52
2.305,44,5.6553,-0.6142,-19.2966,-0.0552,0.2852,0.2455,87,2.058,39,9.8927,3.4509,-8.9283,0.5767,-0.2468,0.5213,52
2.357,45,-0.8143,0.2951,-17.4714,-0.5344,0.8639,0.8341,87,2.109,40,12.3374,2.3411,-3.9085,-0.2562,-0.8469,0.4926,52
2.408,46,-5.9185,0.3145,-15.1905,-0.0574,0.8447,1.2543,87,2.161,41,8.6916,5.0751,-0.6641,0.4877,0.0669,-0.1777,52
2.46,47,-6.8864,1.2143,-13.9542,-0.2002,0.5892,1.3384,87,2.213,42,9.028,4.6936,-5.1586,-0.3211,0.7338,-0.798,52
2.512,48,-0.4629,1.4537,-14.8336,-0.8213,0.4468,0.745,87,2.265,43,5.7764,3.7745,-11.7461,-0.9114,1.2205,-0.6281,52
2.564,49,4.9279,-1.0966,-18.3893,-0.2609,0.1754,-0.1303,87,2.317,44,9.3331,0.481,-13.5235,-0.7406,0.224,-0.6348,52
2.616,50,8.8623,-2.0213,-21.028,0.1617,-0.0565,-0.4709,87,2.368,45,11.822,0.8365,-13.8419,-0.1696,0.0174,0.0046,52
2.667,51,9.3046,-1.0133,-21.7956,0.3418,-0.0633,-0.236,87,2.42,46,10.2548,4.1608,-9.7866,-0.4746,-0.6541,0.1665,52
2.719,52,1.9381,-1.0018,-19.4987,-0.051,0.0296,-0.0445,87,2.472,47,12.0795,5.0204,-8.3362,-1.0143,-1.1442,0.3975,52
