right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.4,7,8.6841,0.4388,-13.7676,0.3772,-0.2438,-0.5267,81,0.139,2,8.0978,2.8483,-12.2044,0.5084,-1.0827,0.1957,50
0.452,8,8.5619,0.3732,-13.6341,0.2642,-0.7138,-0.648,81,0.191,3,4.9689,3.5257,-16.8686,0.345,-0.4431,0.437,50
0.504,9,9.627,0.418,-14.0211,0.1326,-1.1237,-0.7135,81,0.242,4,5.8444,2.7724,-16.8397,0.4082,-0.9033,0.3553,50
0.555,10,11.0682,0.0831,-14.4371,-0.1009,-1.2465,-0.9633,81,0.294,5,6.6627,2.6656,-17.004,0.2984,-0.3283,0.2673,50
0.607,11,11.132,1.8901,-16.0062,0.4694,-1.5627,-1.0116,81,0.346,6,9.9801,2.8969,-15.4554,-0.286,-0.2044,0.3443,50
0.659,12,10.3334,1.7458,-17.2927,0.0716,-1.3811,-0.7461,81,0.398,7,7.908,3.3208,-13.6056,0.2319,-0.544,0.3099,50
0.711,13,9.5055,1.8398,-17.5137,-0.6223,-1.3345,-0.5253,81,0.45,8,6.018,3.1421,-7.3222,-0.1471,0.0368,0.0393,50
0.763,14,5.6111,2.2757,-16.5666,-0.2437,-1.3757,-0.7511,81,0.502,9,5.4828,2.6581,-12.2253,-0.5882,0.7118,-0.6427,50
0.814,15,3.2562,2.2553,-15.3527,-0.0268,-1.4349,-1.0866,81,0.553,10,-1.0361,4.3344,-16.9038,-0.2243,0.9385,-0.1035,50
0.866,16,6.0414,1.5512,-14.691,-0.0214,-1.718,-1.1622,81,0.605,11,-2.2136,5.2389,-18.8522,-0.1383,0.4182,-0.016,50
0.918,17,9.6705,0.7906,-13.3217,-0.564,-1.9272,-0.769,81,0.657,12,1.0787,4.3319,-19.0492,-0.0995,0.6768,-0.2168,50
